,cur_gameloop,joint_action,layout,layout_name,reward,score,state,time_elapsed,time_left,trial_id,player_0_is_human,player_1_is_human,player_0_id,player_1_id
0,0.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.165,180.0,110,True,True,46,47
1,1.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.315,180.0,110,True,True,46,47
2,2.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.479,180.0,110,True,True,46,47
3,3.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.639,179.0,110,True,True,46,47
4,4.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.799,179.0,110,True,True,46,47
5,5.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",0.962,179.0,110,True,True,46,47
6,6.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.112,179.0,110,True,True,46,47
7,7.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.262,179.0,110,True,True,46,47
8,8.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.419,179.0,110,True,True,46,47
9,9.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.579,178.0,110,True,True,46,47
10,10.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.739,178.0,110,True,True,46,47
11,11.0,"[[0, -1], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 2], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",1.899,178.0,110,True,True,46,47
12,12.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.06,178.0,110,True,True,46,47
13,13.0,"[[0, 0], [-1, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [3, 1], ""orientation"": [0, -1], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.219,178.0,110,True,True,46,47
14,14.0,"[[-1, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [0, -1], ""held_object"": null}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.379,178.0,110,True,True,46,47
15,15.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [-1, 0], ""held_object"": null}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.539,177.0,110,True,True,46,47
16,16.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [-1, 0], ""held_object"": null}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.699,177.0,110,True,True,46,47
17,17.0,"['INTERACT', [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [-1, 0], ""held_object"": null}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",2.859,177.0,110,True,True,46,47
18,18.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [-1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.018,177.0,110,True,True,46,47
19,19.0,"[[1, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [-1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.179,177.0,110,True,True,46,47
20,20.0,"[[0, 0], [1, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [2, 1], ""orientation"": [-1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.339,177.0,110,True,True,46,47
21,21.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [3, 1], ""orientation"": [1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.5,177.0,110,True,True,46,47
22,22.0,"[[0, 0], [1, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [3, 1], ""orientation"": [1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.65,176.0,110,True,True,46,47
23,23.0,"[[1, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [1, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [1, 1]}}, {""position"": [3, 1], ""orientation"": [1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.801,176.0,110,True,True,46,47
24,24.0,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [2, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [2, 1]}}, {""position"": [3, 1], ""orientation"": [1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",3.984,176.0,110,True,True,46,47
25,25.0,"[[0, 0], 'INTERACT']","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0.0,0.0,"{""players"": [{""position"": [2, 1], ""orientation"": [1, 0], ""held_object"": {""name"": ""onion"", ""position"": [2, 1]}}, {""position"": [3, 1], ""orientation"": [1, 0], ""held_object"": null}], ""objects"": [], ""bonus_orders"": [], ""all_orders"": [{""ingredients"": [""onion""]}, {""ingredients"": [""onion"", ""onion""]}, {""ingredients"": [""onion"", ""onion"", ""onion""]}, {""ingredients"": [""tomato""]}, {""ingredients"": [""tomato"", ""tomato""]}, {""ingredients"": [""tomato"", ""tomato"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""onion"", ""tomato""]}, {""ingredients"": [""onion"", ""tomato"", ""tomato""]}], ""timestep"": 0}",4.148,176.0,110,True,True,46,47
