run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,60.0,0.3974999785423279,0.44999998807907104
cross,cross-1_0,seed-1,40.0,0.3349999785423279,0.16749998927116394
cross,cross-1_0,seed-2,0.0,0.48749998211860657,0.7274999618530273
cross,cross-1_0,seed-3,0.0,0.23999999463558197,0.2824999988079071
cross,cross-1_0,seed-4,40.0,0.7874999642372131,0.17000000178813934
cross,cross-1_0,mean,28.0,0.4494999945163727,0.359499990940094
cross,cross-0_1,seed-0,40.0,0.41999998688697815,0.26249998807907104
cross,cross-0_1,seed-1,20.0,0.39249998331069946,0.2175000011920929
cross,cross-0_1,seed-2,40.0,0.3400000035762787,0.512499988079071
cross,cross-0_1,seed-3,0.0,0.5149999856948853,0.9274999499320984
cross,cross-0_1,seed-4,0.0,0.032499998807907104,0.029999999329447746
cross,cross-0_1,mean,20.0,0.3400000035762787,0.38999995589256287
cross,cross-1_1,seed-0,200.0,0.8675000071525574,0.8499999642372131
cross,cross-1_1,seed-1,200.0,0.8624999523162842,0.8449999690055847
cross,cross-1_1,seed-2,200.0,0.8075000047683716,0.8349999785423279
cross,cross-1_1,seed-3,200.0,0.824999988079071,0.8174999952316284
cross,cross-1_1,seed-4,200.0,0.8549999594688416,0.8624999523162842
cross,cross-1_1,mean,200.0,0.8434999585151672,0.8420000076293945
cross,cross-0_0,seed-0,160.0,0.8474999666213989,0.8299999833106995
cross,cross-0_0,seed-1,160.0,0.8349999785423279,0.85999995470047
cross,cross-0_0,seed-2,160.0,0.7949999570846558,0.824999988079071
cross,cross-0_0,seed-3,160.0,0.8050000071525574,0.8499999642372131
cross,cross-0_0,seed-4,160.0,0.8324999809265137,0.8399999737739563
cross,cross-0_0,mean,160.0,0.8229999542236328,0.8410000205039978
