run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,40.0,0.21249999105930328,0.23999999463558197
cross,cross-1_0,seed-1,100.0,0.33249998092651367,0.41749998927116394
cross,cross-1_0,seed-2,40.0,0.2449999898672104,0.5649999976158142
cross,cross-1_0,seed-3,60.0,0.6049999594688416,0.2574999928474426
cross,cross-1_0,seed-4,20.0,0.3824999928474426,0.3799999952316284
cross,cross-1_0,mean,52.0,0.3554999828338623,0.3720000088214874
cross,cross-0_1,seed-0,0.0,0.1274999976158142,0.3774999976158142
cross,cross-0_1,seed-1,20.0,0.8424999713897705,0.8274999856948853
cross,cross-0_1,seed-2,40.0,0.3050000071525574,0.22999998927116394
cross,cross-0_1,seed-3,20.0,0.1274999976158142,0.16749998927116394
cross,cross-0_1,seed-4,0.0,0.8774999976158142,0.09999999403953552
cross,cross-0_1,mean,16.0,0.4560000002384186,0.34049999713897705
cross,cross-1_1,seed-0,200.0,0.8474999666213989,0.8324999809265137
cross,cross-1_1,seed-1,200.0,0.8474999666213989,0.8524999618530273
cross,cross-1_1,seed-2,200.0,0.8424999713897705,0.8574999570846558
cross,cross-1_1,seed-3,200.0,0.8324999809265137,0.8374999761581421
cross,cross-1_1,seed-4,200.0,0.8650000095367432,0.8524999618530273
cross,cross-1_1,mean,200.0,0.8469999432563782,0.846500039100647
cross,cross-0_0,seed-0,180.0,0.8574999570846558,0.8449999690055847
cross,cross-0_0,seed-1,180.0,0.8449999690055847,0.8700000047683716
cross,cross-0_0,seed-2,180.0,0.8374999761581421,0.8449999690055847
cross,cross-0_0,seed-3,180.0,0.8549999594688416,0.875
cross,cross-0_0,seed-4,180.0,0.8449999690055847,0.8774999976158142
cross,cross-0_0,mean,180.0,0.8479999899864197,0.862500011920929
