run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,0.0,0.1875,0.08249999582767487
cross,cross-1_4,seed-1,0.0,0.07999999821186066,0.11499999463558197
cross,cross-1_4,seed-2,20.0,0.17999999225139618,0.2175000011920929
cross,cross-1_4,seed-3,0.0,0.23999999463558197,0.08999999612569809
cross,cross-1_4,seed-4,0.0,0.14999999105930328,0.19249999523162842
cross,cross-1_4,mean,4.0,0.16750000417232513,0.13950000703334808
cross,cross-1_3,seed-0,0.0,0.054999999701976776,0.11749999970197678
cross,cross-1_3,seed-1,0.0,0.044999998062849045,0.08749999850988388
cross,cross-1_3,seed-2,40.0,0.19749999046325684,0.22999998927116394
cross,cross-1_3,seed-3,40.0,0.2149999886751175,0.2175000011920929
cross,cross-1_3,seed-4,0.0,0.3050000071525574,0.13249999284744263
cross,cross-1_3,mean,16.0,0.16349999606609344,0.15700000524520874
cross,cross-1_0,seed-0,160.0,0.6674999594688416,0.6474999785423279
cross,cross-1_0,seed-1,160.0,0.6674999594688416,0.6499999761581421
cross,cross-1_0,seed-2,160.0,0.6674999594688416,0.6424999833106995
cross,cross-1_0,seed-3,120.0,0.5724999904632568,0.5874999761581421
cross,cross-1_0,seed-4,160.0,0.612500011920929,0.612500011920929
cross,cross-1_0,mean,152.0,0.637499988079071,0.6279999613761902
cross,cross-1_2,seed-0,20.0,0.4699999988079071,0.5224999785423279
cross,cross-1_2,seed-1,160.0,0.5999999642372131,0.6775000095367432
cross,cross-1_2,seed-2,20.0,0.26499998569488525,0.5874999761581421
cross,cross-1_2,seed-3,20.0,0.36249998211860657,0.4724999964237213
cross,cross-1_2,seed-4,20.0,0.375,0.367499977350235
cross,cross-1_2,mean,48.0,0.414499968290329,0.5254999995231628
cross,cross-4_1,seed-0,0.0,0.07000000029802322,0.17749999463558197
cross,cross-4_1,seed-1,0.0,0.1599999964237213,0.20999999344348907
cross,cross-4_1,seed-2,0.0,0.17000000178813934,0.08249999582767487
cross,cross-4_1,seed-3,0.0,0.1574999988079071,0.20250000059604645
cross,cross-4_1,seed-4,0.0,0.05999999865889549,0.1525000035762787
cross,cross-4_1,mean,0.0,0.12350000441074371,0.16499999165534973
cross,cross-4_3,seed-0,0.0,0.9874999523162842,0.9950000047683716
cross,cross-4_3,seed-1,0.0,0.9874999523162842,0.9925000071525574
cross,cross-4_3,seed-2,0.0,0.9874999523162842,0.9950000047683716
cross,cross-4_3,seed-3,0.0,0.19749999046325684,0.19499999284744263
cross,cross-4_3,seed-4,0.0,0.9874999523162842,0.9975000023841858
cross,cross-4_3,mean,0.0,0.8295000195503235,0.8350000381469727
