run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,20.0,0.7074999809265137,0.75
cross,cross-1_0,seed-1,0.0,0.23250000178813934,0.23499999940395355
cross,cross-1_0,seed-2,0.0,0.16249999403953552,0.2224999964237213
cross,cross-1_0,seed-3,20.0,0.7425000071525574,0.675000011920929
cross,cross-1_0,seed-4,0.0,0.9474999904632568,0.05249999836087227
cross,cross-1_0,mean,8.0,0.5584999918937683,0.3869999945163727
cross,cross-0_1,seed-0,0.0,0.044999998062849045,0.9099999666213989
cross,cross-0_1,seed-1,20.0,0.17999999225139618,0.2149999886751175
cross,cross-0_1,seed-2,0.0,0.03999999910593033,0.9424999952316284
cross,cross-0_1,seed-3,0.0,0.7924999594688416,0.6599999666213989
cross,cross-0_1,seed-4,40.0,0.19499999284744263,0.3050000071525574
cross,cross-0_1,mean,12.0,0.250499963760376,0.6065000295639038
cross,cross-1_1,seed-0,160.0,0.8624999523162842,0.8799999952316284
cross,cross-1_1,seed-1,160.0,0.8624999523162842,0.8650000095367432
cross,cross-1_1,seed-2,160.0,0.8799999952316284,0.8725000023841858
cross,cross-1_1,seed-3,160.0,0.8725000023841858,0.8675000071525574
cross,cross-1_1,seed-4,160.0,0.8474999666213989,0.875
cross,cross-1_1,mean,160.0,0.8649999499320984,0.8720000386238098
cross,cross-0_0,seed-0,160.0,0.8524999618530273,0.8999999761581421
cross,cross-0_0,seed-1,160.0,0.9249999523162842,0.9325000047683716
cross,cross-0_0,seed-2,160.0,0.9399999976158142,0.9274999499320984
cross,cross-0_0,seed-3,160.0,0.9350000023841858,0.9399999976158142
cross,cross-0_0,seed-4,160.0,0.9174999594688416,0.9300000071525574
cross,cross-0_0,mean,160.0,0.9139999747276306,0.9260000586509705
