run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,0.0,0.032499998807907104,0.01249999925494194
cross,cross-1_0,seed-1,0.0,0.0,0.007499999832361937
cross,cross-1_0,seed-2,0.0,0.09999999403953552,0.017500000074505806
cross,cross-1_0,seed-3,0.0,0.85999995470047,0.014999999664723873
cross,cross-1_0,seed-4,0.0,0.0,0.007499999832361937
cross,cross-1_0,mean,0.0,0.19849999248981476,0.012000001035630703
cross,cross-0_1,seed-0,0.0,0.007499999832361937,0.022499999031424522
cross,cross-0_1,seed-1,0.0,0.017500000074505806,0.5999999642372131
cross,cross-0_1,seed-2,0.0,0.08249999582767487,0.2574999928474426
cross,cross-0_1,seed-3,0.0,0.0625,0.25
cross,cross-0_1,seed-4,0.0,0.2524999976158142,0.14499999582767487
cross,cross-0_1,mean,0.0,0.08449999988079071,0.25499996542930603
cross,cross-1_1,seed-0,160.0,0.8624999523162842,0.8700000047683716
cross,cross-1_1,seed-1,160.0,0.9074999690055847,0.8700000047683716
cross,cross-1_1,seed-2,160.0,0.8774999976158142,0.8849999904632568
cross,cross-1_1,seed-3,160.0,0.887499988079071,0.8849999904632568
cross,cross-1_1,seed-4,160.0,0.8725000023841858,0.9149999618530273
cross,cross-1_1,mean,160.0,0.8815000653266907,0.8850000500679016
cross,cross-0_0,seed-0,160.0,0.7124999761581421,0.875
cross,cross-0_0,seed-1,160.0,0.7549999952316284,0.8899999856948853
cross,cross-0_0,seed-2,160.0,0.737500011920929,0.9024999737739563
cross,cross-0_0,seed-3,160.0,0.73499995470047,0.8675000071525574
cross,cross-0_0,seed-4,160.0,0.7425000071525574,0.8725000023841858
cross,cross-0_0,mean,160.0,0.7364999651908875,0.8815000653266907
