run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,0.0,0.5550000071525574,0.24249999225139618
cross,cross-1_0,seed-1,0.0,0.17000000178813934,0.125
cross,cross-1_0,seed-2,40.0,0.4074999988079071,0.3125
cross,cross-1_0,seed-3,0.0,0.3824999928474426,0.1574999988079071
cross,cross-1_0,seed-4,0.0,0.3100000023841858,0.13499999046325684
cross,cross-1_0,mean,8.0,0.36500000953674316,0.19449999928474426
cross,cross-0_1,seed-0,0.0,0.14999999105930328,0.17499999701976776
cross,cross-0_1,seed-1,0.0,0.06499999761581421,0.04749999940395355
cross,cross-0_1,seed-2,0.0,0.09999999403953552,0.08249999582767487
cross,cross-0_1,seed-3,0.0,0.05999999865889549,0.03999999910593033
cross,cross-0_1,seed-4,0.0,0.07999999821186066,0.042500000447034836
cross,cross-0_1,mean,0.0,0.09099999815225601,0.07750000059604645
cross,cross-1_1,seed-0,180.0,0.9599999785423279,0.9524999856948853
cross,cross-1_1,seed-1,180.0,0.9474999904632568,0.9524999856948853
cross,cross-1_1,seed-2,180.0,0.9399999976158142,0.9350000023841858
cross,cross-1_1,seed-3,180.0,0.9524999856948853,0.9325000047683716
cross,cross-1_1,seed-4,180.0,0.9350000023841858,0.9274999499320984
cross,cross-1_1,mean,180.0,0.9470000267028809,0.9399999976158142
cross,cross-0_0,seed-0,140.0,0.75,0.7724999785423279
cross,cross-0_0,seed-1,140.0,0.7524999976158142,0.7425000071525574
cross,cross-0_0,seed-2,140.0,0.7774999737739563,0.7649999856948853
cross,cross-0_0,seed-3,140.0,0.7849999666213989,0.762499988079071
cross,cross-0_0,seed-4,140.0,0.7799999713897705,0.7699999809265137
cross,cross-0_0,mean,140.0,0.7689999938011169,0.762499988079071
