run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,20.0,0.19999998807907104,0.1850000023841858
cross,cross-1_0,seed-1,20.0,0.16499999165534973,0.1525000035762787
cross,cross-1_0,seed-2,0.0,0.1525000035762787,0.044999998062849045
cross,cross-1_0,seed-3,20.0,0.25999999046325684,0.23999999463558197
cross,cross-1_0,seed-4,20.0,0.21249999105930328,0.16249999403953552
cross,cross-1_0,mean,16.0,0.1979999989271164,0.15699999034404755
cross,cross-0_1,seed-0,0.0,0.12999999523162842,0.125
cross,cross-0_1,seed-1,0.0,0.08249999582767487,0.17000000178813934
cross,cross-0_1,seed-2,0.0,0.16749998927116394,0.16499999165534973
cross,cross-0_1,seed-3,40.0,0.1824999898672104,0.19999998807907104
cross,cross-0_1,seed-4,0.0,0.022499999031424522,0.17249999940395355
cross,cross-0_1,mean,8.0,0.11699999868869781,0.1665000021457672
cross,cross-1_1,seed-0,160.0,0.9074999690055847,0.8974999785423279
cross,cross-1_1,seed-1,160.0,0.92249995470047,0.8924999833106995
cross,cross-1_1,seed-2,160.0,0.9099999666213989,0.8999999761581421
cross,cross-1_1,seed-3,160.0,0.9124999642372131,0.8774999976158142
cross,cross-1_1,seed-4,160.0,0.875,0.8700000047683716
cross,cross-1_1,mean,160.0,0.9054999351501465,0.887499988079071
cross,cross-0_0,seed-0,160.0,0.8549999594688416,0.8650000095367432
cross,cross-0_0,seed-1,160.0,0.8725000023841858,0.8524999618530273
cross,cross-0_0,seed-2,160.0,0.8824999928474426,0.8774999976158142
cross,cross-0_0,seed-3,160.0,0.8524999618530273,0.8474999666213989
cross,cross-0_0,seed-4,160.0,0.8624999523162842,0.8624999523162842
cross,cross-0_0,mean,160.0,0.8649999499320984,0.8610000610351562
