run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,0.0,0.41999998688697815,0.2824999988079071
cross,cross-1_0,seed-1,0.0,0.26999998092651367,0.20499999821186066
cross,cross-1_0,seed-2,0.0,0.4599999785423279,0.5
cross,cross-1_0,seed-3,0.0,0.3149999976158142,0.3149999976158142
cross,cross-1_0,seed-4,20.0,0.44749999046325684,0.375
cross,cross-1_0,mean,4.0,0.3824999928474426,0.33550000190734863
cross,cross-0_1,seed-0,0.0,0.3449999988079071,0.4274999797344208
cross,cross-0_1,seed-1,0.0,0.4050000011920929,0.27250000834465027
cross,cross-0_1,seed-2,0.0,0.4099999964237213,0.367499977350235
cross,cross-0_1,seed-3,0.0,0.1899999976158142,0.3174999952316284
cross,cross-0_1,seed-4,0.0,0.4025000035762787,0.2800000011920929
cross,cross-0_1,mean,0.0,0.3504999876022339,0.3330000042915344
cross,cross-1_1,seed-0,120.0,0.8675000071525574,0.8349999785423279
cross,cross-1_1,seed-1,120.0,0.8524999618530273,0.7949999570846558
cross,cross-1_1,seed-2,120.0,0.8050000071525574,0.8299999833106995
cross,cross-1_1,seed-3,120.0,0.8824999928474426,0.8149999976158142
cross,cross-1_1,seed-4,120.0,0.8474999666213989,0.8075000047683716
cross,cross-1_1,mean,120.0,0.8510000109672546,0.8165000081062317
cross,cross-0_0,seed-0,180.0,0.9199999570846558,0.9099999666213989
cross,cross-0_0,seed-1,180.0,0.9074999690055847,0.9049999713897705
cross,cross-0_0,seed-2,180.0,0.9199999570846558,0.9099999666213989
cross,cross-0_0,seed-3,180.0,0.9124999642372131,0.8974999785423279
cross,cross-0_0,seed-4,180.0,0.9049999713897705,0.8924999833106995
cross,cross-0_0,mean,180.0,0.9129999279975891,0.902999997138977
