run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,100.0,0.7899999618530273,0.41999998688697815
cross,cross-1_0,seed-1,120.0,0.7924999594688416,0.4949999749660492
cross,cross-1_0,seed-2,100.0,0.8349999785423279,0.42249998450279236
cross,cross-1_0,seed-3,40.0,0.6474999785423279,0.22999998927116394
cross,cross-1_0,seed-4,140.0,0.73499995470047,0.5324999690055847
cross,cross-1_0,mean,100.0,0.7599999904632568,0.41999998688697815
cross,cross-0_1,seed-0,120.0,0.5699999928474426,0.5799999833106995
cross,cross-0_1,seed-1,120.0,0.5475000143051147,0.5274999737739563
cross,cross-0_1,seed-2,120.0,0.5224999785423279,0.5299999713897705
cross,cross-0_1,seed-3,120.0,0.5299999713897705,0.5024999976158142
cross,cross-0_1,seed-4,40.0,0.2449999898672104,0.5399999618530273
cross,cross-0_1,mean,104.0,0.4830000102519989,0.5359999537467957
cross,cross-1_1,seed-0,180.0,0.8899999856948853,0.8774999976158142
cross,cross-1_1,seed-1,180.0,0.8999999761581421,0.8725000023841858
cross,cross-1_1,seed-2,180.0,0.8774999976158142,0.8849999904632568
cross,cross-1_1,seed-3,180.0,0.8924999833106995,0.887499988079071
cross,cross-1_1,seed-4,180.0,0.9024999737739563,0.8799999952316284
cross,cross-1_1,mean,180.0,0.8925000429153442,0.8805000185966492
cross,cross-0_0,seed-0,160.0,0.8449999690055847,0.8324999809265137
cross,cross-0_0,seed-1,160.0,0.8974999785423279,0.8700000047683716
cross,cross-0_0,seed-2,160.0,0.887499988079071,0.8824999928474426
cross,cross-0_0,seed-3,160.0,0.8549999594688416,0.8349999785423279
cross,cross-0_0,seed-4,160.0,0.8924999833106995,0.875
cross,cross-0_0,mean,160.0,0.8755000233650208,0.859000027179718
