run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,140.0,0.5974999666213989,0.6599999666213989
cross,cross-1_0,seed-1,60.0,0.5174999833106995,0.5724999904632568
cross,cross-1_0,seed-2,100.0,0.5974999666213989,0.5349999666213989
cross,cross-1_0,seed-3,100.0,0.5099999904632568,0.5924999713897705
cross,cross-1_0,seed-4,20.0,0.17749999463558197,0.3375000059604645
cross,cross-1_0,mean,84.0,0.47999998927116394,0.5394999980926514
cross,cross-0_1,seed-0,120.0,0.7400000095367432,0.48499998450279236
cross,cross-0_1,seed-1,20.0,0.6574999690055847,0.2474999874830246
cross,cross-0_1,seed-2,40.0,0.6699999570846558,0.2449999898672104
cross,cross-0_1,seed-3,20.0,0.5724999904632568,0.19749999046325684
cross,cross-0_1,seed-4,0.0,0.5774999856948853,0.12999999523162842
cross,cross-0_1,mean,40.0,0.643500030040741,0.26100000739097595
cross,cross-1_1,seed-0,160.0,0.8100000023841858,0.8299999833106995
cross,cross-1_1,seed-1,160.0,0.8199999928474426,0.7999999523162842
cross,cross-1_1,seed-2,160.0,0.8149999976158142,0.7924999594688416
cross,cross-1_1,seed-3,160.0,0.8199999928474426,0.8100000023841858
cross,cross-1_1,seed-4,160.0,0.8149999976158142,0.8050000071525574
cross,cross-1_1,mean,160.0,0.8159999847412109,0.8075000047683716
cross,cross-0_0,seed-0,180.0,0.8924999833106995,0.9149999618530273
cross,cross-0_0,seed-1,180.0,0.8849999904632568,0.9099999666213989
cross,cross-0_0,seed-2,180.0,0.8949999809265137,0.9049999713897705
cross,cross-0_0,seed-3,180.0,0.8499999642372131,0.8849999904632568
cross,cross-0_0,seed-4,180.0,0.8675000071525574,0.9024999737739563
cross,cross-0_0,mean,180.0,0.8779999613761902,0.9035000205039978
