run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,-100.0,0.5824999809265137,0.3149999976158142
cross,cross-1_0,seed-1,-80.0,0.574999988079071,0.3400000035762787
cross,cross-1_0,seed-2,-140.0,0.5924999713897705,0.35999998450279236
cross,cross-1_0,seed-3,-140.0,0.5324999690055847,0.3725000023841858
cross,cross-1_0,seed-4,-120.0,0.5174999833106995,0.3349999785423279
cross,cross-1_0,mean,-116.0,0.5600000023841858,0.34450003504753113
cross,cross-0_1,seed-0,-140.0,0.5899999737739563,0.41749998927116394
cross,cross-0_1,seed-1,-60.0,0.6699999570846558,0.3774999976158142
cross,cross-0_1,seed-2,-160.0,0.6349999904632568,0.48499998450279236
cross,cross-0_1,seed-3,-40.0,0.5575000047683716,0.5099999904632568
cross,cross-0_1,seed-4,0.0,0.6299999952316284,0.4074999988079071
cross,cross-0_1,mean,-80.0,0.6165000200271606,0.43950000405311584
cross,cross-1_1,seed-0,120.0,0.6049999594688416,0.429999977350235
cross,cross-1_1,seed-1,80.0,0.6225000023841858,0.429999977350235
cross,cross-1_1,seed-2,160.0,0.6024999618530273,0.429999977350235
cross,cross-1_1,seed-3,180.0,0.6175000071525574,0.3974999785423279
cross,cross-1_1,seed-4,160.0,0.6399999856948853,0.4724999964237213
cross,cross-1_1,mean,140.0,0.6175000071525574,0.4320000112056732
cross,cross-0_0,seed-0,180.0,0.7049999833106995,0.4424999952316284
cross,cross-0_0,seed-1,140.0,0.73499995470047,0.39499998092651367
cross,cross-0_0,seed-2,180.0,0.7224999666213989,0.3974999785423279
cross,cross-0_0,seed-3,120.0,0.7124999761581421,0.3799999952316284
cross,cross-0_0,seed-4,180.0,0.6899999976158142,0.4399999976158142
cross,cross-0_0,mean,160.0,0.7129999995231628,0.41099998354911804
