run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,20.0,0.19249999523162842,0.6725000143051147
cross,cross-1_0,seed-1,0.0,0.10249999910593033,0.6674999594688416
cross,cross-1_0,seed-2,0.0,0.39499998092651367,0.5349999666213989
cross,cross-1_0,seed-3,0.0,0.23999999463558197,0.26249998807907104
cross,cross-1_0,seed-4,20.0,0.11249999701976776,0.5999999642372131
cross,cross-1_0,mean,8.0,0.2084999829530716,0.54749995470047
cross,cross-0_1,seed-0,0.0,0.5224999785423279,0.5550000071525574
cross,cross-0_1,seed-1,0.0,0.22499999403953552,0.2824999988079071
cross,cross-0_1,seed-2,0.0,0.3149999976158142,0.2549999952316284
cross,cross-0_1,seed-3,0.0,0.2449999898672104,0.2474999874830246
cross,cross-0_1,seed-4,0.0,0.26999998092651367,0.2750000059604645
cross,cross-0_1,mean,0.0,0.3154999911785126,0.3229999840259552
cross,cross-1_1,seed-0,200.0,0.6150000095367432,0.6324999928474426
cross,cross-1_1,seed-1,200.0,0.6399999856948853,0.625
cross,cross-1_1,seed-2,200.0,0.6599999666213989,0.6449999809265137
cross,cross-1_1,seed-3,200.0,0.625,0.6599999666213989
cross,cross-1_1,seed-4,200.0,0.6549999713897705,0.6200000047683716
cross,cross-1_1,mean,200.0,0.6389999985694885,0.6365000009536743
cross,cross-0_0,seed-0,0.0,0.5024999976158142,0.2849999964237213
cross,cross-0_0,seed-1,0.0,0.22749999165534973,0.2574999928474426
cross,cross-0_0,seed-2,0.0,0.28999999165534973,0.2824999988079071
cross,cross-0_0,seed-3,0.0,0.5024999976158142,0.21249999105930328
cross,cross-0_0,seed-4,0.0,0.20999999344348907,0.29249998927116394
cross,cross-0_0,mean,0.0,0.3465000092983246,0.26600000262260437
