run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,-120.0,0.4650000035762787,0.8374999761581421
cross,cross-1_0,seed-1,80.0,0.5699999928474426,0.45499998331069946
cross,cross-1_0,seed-2,60.0,0.5824999809265137,0.4399999976158142
cross,cross-1_0,seed-3,-180.0,0.5674999952316284,0.8824999928474426
cross,cross-1_0,seed-4,-180.0,0.5224999785423279,0.8999999761581421
cross,cross-1_0,mean,-68.0,0.5415000319480896,0.703000009059906
cross,cross-1_2,seed-0,-100.0,0.45499998331069946,0.699999988079071
cross,cross-1_2,seed-1,-100.0,0.41749998927116394,0.7450000047683716
cross,cross-1_2,seed-2,-60.0,0.3499999940395355,0.7099999785423279
cross,cross-1_2,seed-3,-140.0,0.44749999046325684,0.824999988079071
cross,cross-1_2,seed-4,-120.0,0.38999998569488525,0.8224999904632568
cross,cross-1_2,mean,-104.0,0.41200000047683716,0.7605000138282776
cross,cross-0_1,seed-0,-80.0,0.5799999833106995,0.3050000071525574
cross,cross-0_1,seed-1,-60.0,0.625,0.3125
cross,cross-0_1,seed-2,-60.0,0.5450000166893005,0.32249999046325684
cross,cross-0_1,seed-3,-40.0,0.5924999713897705,0.3174999952316284
cross,cross-0_1,seed-4,-20.0,0.5374999642372131,0.32749998569488525
cross,cross-0_1,mean,-52.0,0.5759999752044678,0.31700000166893005
cross,cross-0_2,seed-0,-20.0,0.2574999928474426,0.20499999821186066
cross,cross-0_2,seed-1,-20.0,0.2524999976158142,0.22499999403953552
cross,cross-0_2,seed-2,-20.0,0.48499998450279236,0.3425000011920929
cross,cross-0_2,seed-3,-80.0,0.5450000166893005,0.38499999046325684
cross,cross-0_2,seed-4,0.0,0.3149999976158142,0.3425000011920929
cross,cross-0_2,mean,-28.0,0.3710000216960907,0.30000001192092896
cross,cross-2_1,seed-0,40.0,0.6624999642372131,0.29749998450279236
cross,cross-2_1,seed-1,40.0,0.6574999690055847,0.3474999964237213
cross,cross-2_1,seed-2,60.0,0.5450000166893005,0.33249998092651367
cross,cross-2_1,seed-3,120.0,0.6699999570846558,0.3349999785423279
cross,cross-2_1,seed-4,-20.0,0.4074999988079071,0.367499977350235
cross,cross-2_1,mean,48.0,0.5884999632835388,0.335999995470047
cross,cross-2_0,seed-0,-140.0,0.5299999713897705,0.38749998807907104
cross,cross-2_0,seed-1,0.0,0.5374999642372131,0.44999998807907104
cross,cross-2_0,seed-2,-40.0,0.45499998331069946,0.32749998569488525
cross,cross-2_0,seed-3,-60.0,0.2874999940395355,0.26249998807907104
cross,cross-2_0,seed-4,-180.0,0.4975000023841858,0.375
cross,cross-2_0,mean,-84.0,0.46149998903274536,0.3605000078678131
cross,cross-1_1,seed-0,180.0,0.7874999642372131,0.5450000166893005
cross,cross-1_1,seed-1,180.0,0.79749995470047,0.5774999856948853
cross,cross-1_1,seed-2,180.0,0.7774999737739563,0.5274999737739563
cross,cross-1_1,seed-3,180.0,0.7724999785423279,0.5625
cross,cross-1_1,seed-4,180.0,0.8050000071525574,0.6200000047683716
cross,cross-1_1,mean,180.0,0.7880000472068787,0.5665000081062317
cross,cross-0_0,seed-0,160.0,0.7899999618530273,0.7450000047683716
cross,cross-0_0,seed-1,180.0,0.7924999594688416,0.6599999666213989
cross,cross-0_0,seed-2,140.0,0.7749999761581421,0.7024999856948853
cross,cross-0_0,seed-3,180.0,0.7699999809265137,0.6599999666213989
cross,cross-0_0,seed-4,140.0,0.75,0.6674999594688416
cross,cross-0_0,mean,160.0,0.7754999995231628,0.6869999766349792
cross,cross-2_2,seed-0,160.0,0.6924999952316284,0.5625
cross,cross-2_2,seed-1,120.0,0.7099999785423279,0.5699999928474426
cross,cross-2_2,seed-2,120.0,0.6524999737739563,0.5525000095367432
cross,cross-2_2,seed-3,160.0,0.6624999642372131,0.5550000071525574
cross,cross-2_2,seed-4,160.0,0.6624999642372131,0.5600000023841858
cross,cross-2_2,mean,144.0,0.6759999394416809,0.5600000023841858
