run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,160.0,0.7199999690055847,0.6924999952316284
cross,cross-1_0,seed-1,160.0,0.7174999713897705,0.6899999976158142
cross,cross-1_0,seed-2,180.0,0.699999988079071,0.7049999833106995
cross,cross-1_0,seed-3,160.0,0.699999988079071,0.6825000047683716
cross,cross-1_0,seed-4,180.0,0.7299999594688416,0.7024999856948853
cross,cross-1_0,mean,168.0,0.7135000228881836,0.6944999694824219
cross,cross-0_1,seed-0,160.0,0.7400000095367432,0.6775000095367432
cross,cross-0_1,seed-1,180.0,0.7425000071525574,0.6974999904632568
cross,cross-0_1,seed-2,180.0,0.7299999594688416,0.6875
cross,cross-0_1,seed-3,160.0,0.762499988079071,0.6775000095367432
cross,cross-0_1,seed-4,160.0,0.7574999928474426,0.6899999976158142
cross,cross-0_1,mean,168.0,0.7465000152587891,0.6860000491142273
cross,cross-1_1,seed-0,180.0,0.8299999833106995,0.8274999856948853
cross,cross-1_1,seed-1,160.0,0.7799999713897705,0.7924999594688416
cross,cross-1_1,seed-2,180.0,0.8075000047683716,0.7899999618530273
cross,cross-1_1,seed-3,180.0,0.8424999713897705,0.8075000047683716
cross,cross-1_1,seed-4,180.0,0.8199999928474426,0.8299999833106995
cross,cross-1_1,mean,176.0,0.8159999847412109,0.8094999194145203
cross,cross-0_0,seed-0,180.0,0.8824999928474426,0.8274999856948853
cross,cross-0_0,seed-1,180.0,0.8675000071525574,0.8224999904632568
cross,cross-0_0,seed-2,180.0,0.8524999618530273,0.8100000023841858
cross,cross-0_0,seed-3,180.0,0.8675000071525574,0.7999999523162842
cross,cross-0_0,seed-4,180.0,0.8774999976158142,0.8149999976158142
cross,cross-0_0,mean,180.0,0.8694999814033508,0.8149999976158142
