run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,60.0,0.6049999594688416,0.27250000834465027
cross,cross-1_0,seed-1,120.0,0.4699999988079071,0.2474999874830246
cross,cross-1_0,seed-2,140.0,0.41749998927116394,0.4975000023841858
cross,cross-1_0,seed-3,60.0,0.8499999642372131,0.7874999642372131
cross,cross-1_0,seed-4,140.0,0.5399999618530273,0.3649999797344208
cross,cross-1_0,mean,104.0,0.5764999985694885,0.4339999854564667
cross,cross-0_1,seed-0,140.0,0.5600000023841858,0.4274999797344208
cross,cross-0_1,seed-1,80.0,0.7324999570846558,0.8025000095367432
cross,cross-0_1,seed-2,140.0,0.45499998331069946,0.5525000095367432
cross,cross-0_1,seed-3,140.0,0.36249998211860657,0.550000011920929
cross,cross-0_1,seed-4,100.0,0.35499998927116394,0.4449999928474426
cross,cross-0_1,mean,120.0,0.49300000071525574,0.5554999709129333
cross,cross-1_1,seed-0,180.0,0.8224999904632568,0.8424999713897705
cross,cross-1_1,seed-1,180.0,0.824999988079071,0.8349999785423279
cross,cross-1_1,seed-2,180.0,0.8524999618530273,0.8474999666213989
cross,cross-1_1,seed-3,180.0,0.8499999642372131,0.8324999809265137
cross,cross-1_1,seed-4,180.0,0.8324999809265137,0.8624999523162842
cross,cross-1_1,mean,180.0,0.8364999890327454,0.8440000414848328
cross,cross-0_0,seed-0,180.0,0.6974999904632568,0.7999999523162842
cross,cross-0_0,seed-1,180.0,0.7199999690055847,0.8100000023841858
cross,cross-0_0,seed-2,180.0,0.7274999618530273,0.7824999690055847
cross,cross-0_0,seed-3,180.0,0.7124999761581421,0.8050000071525574
cross,cross-0_0,seed-4,180.0,0.7274999618530273,0.7874999642372131
cross,cross-0_0,mean,180.0,0.7170000076293945,0.796999990940094
