run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(2,5)_seed-0",0.0,0.6899999976158142,0.98499995470047
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(2,5)_seed-1",0.0,0.7400000095367432,1.0
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(2,5)_seed-2",0.0,0.9624999761581421,0.9874999523162842
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,5)_seed-0",-40.0,0.4399999976158142,0.7299999594688416
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,5)_seed-1",-100.0,0.5450000166893005,0.7099999785423279
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,5)_seed-2",-60.0,0.4975000023841858,0.7425000071525574
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(2,5)_seed-0",-140.0,0.5,0.6150000095367432
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(2,5)_seed-1",0.0,0.5099999904632568,0.492499977350235
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(2,5)_seed-2",-80.0,0.4325000047683716,0.5099999904632568
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(2,5)_seed-0",-100.0,0.48749998211860657,0.429999977350235
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(2,5)_seed-1",-180.0,0.5999999642372131,0.4749999940395355
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(2,5)_seed-2",-180.0,0.574999988079071,0.4399999976158142
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-0",0.0,0.5525000095367432,0.05999999865889549
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-1",0.0,0.9674999713897705,0.9950000047683716
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-2",0.0,0.7224999666213989,1.0
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(3,6)_seed-0",-120.0,0.32999998331069946,0.48499998450279236
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(3,6)_seed-1",-120.0,0.4724999964237213,0.5600000023841858
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(3,6)_seed-2",-40.0,0.41999998688697815,0.5575000047683716
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(1,6)_seed-0",0.0,0.42249998450279236,0.5149999856948853
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(1,6)_seed-1",-80.0,0.32999998331069946,0.5475000143051147
