run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-0",0.0,0.2874999940395355,0.13249999284744263
cross,cross-1_4,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-1",0.0,0.5049999952316284,0.4650000035762787
cross,cross-1_4,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-2",0.0,0.4050000011920929,0.3375000059604645
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-0",-100.0,0.5224999785423279,0.4899999797344208
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-1",60.0,0.4949999749660492,0.4675000011920929
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-2",-60.0,0.5550000071525574,0.3449999988079071
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",0.0,0.9599999785423279,0.9774999618530273
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",0.0,0.3174999952316284,0.8949999809265137
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",0.0,0.29249998927116394,0.41499999165534973
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-0",0.0,0.2775000035762787,0.9674999713897705
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-1",0.0,0.2199999988079071,0.3075000047683716
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-2",0.0,0.39499998092651367,0.45249998569488525
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-0",0.0,0.32499998807907104,0.39499998092651367
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-1",0.0,0.3425000011920929,0.13249999284744263
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-2",0.0,0.3700000047683716,0.09749999642372131
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-0",20.0,0.5999999642372131,0.6624999642372131
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-1",-20.0,0.44999998807907104,0.367499977350235
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-2",0.0,0.4975000023841858,0.9449999928474426
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-0",0.0,0.2849999964237213,0.26999998092651367
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-1",0.0,0.23499999940395355,0.2524999976158142
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-2",0.0,0.1875,0.3974999785423279
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-0",0.0,0.2224999964237213,0.41749998927116394
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-1",0.0,0.29249998927116394,0.10749999433755875
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-2",0.0,0.3799999952316284,0.4350000023841858
cross,cross-1_4,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-0",0.0,0.2849999964237213,0.1850000023841858
cross,cross-1_4,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-1",0.0,0.26249998807907104,0.9699999690055847
cross,cross-1_4,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-2",0.0,0.29999998211860657,0.42499998211860657
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-0",0.0,0.29499998688697815,0.5049999952316284
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-1",0.0,0.33249998092651367,0.9074999690055847
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-2",0.0,0.6324999928474426,0.9749999642372131
cross,cross-1_4,mean,-3.3333333333333335,0.3842499554157257,0.49000003933906555
cross,cross-1_3,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-0",-60.0,0.3725000023841858,0.5224999785423279
cross,cross-1_3,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-1",-180.0,0.3700000047683716,0.42249998450279236
cross,cross-1_3,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-2",-60.0,0.3824999928474426,0.5600000023841858
cross,cross-1_3,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-0",-100.0,0.35749998688697815,0.5424999594688416
cross,cross-1_3,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-1",-180.0,0.3474999964237213,0.429999977350235
cross,cross-1_3,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-2",-60.0,0.4025000035762787,0.5824999809265137
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",-80.0,0.4399999976158142,0.7475000023841858
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",-180.0,0.4050000011920929,0.512499988079071
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",-140.0,0.41499999165534973,0.5674999952316284
cross,cross-1_3,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-0",40.0,0.3149999976158142,0.8100000023841858
cross,cross-1_3,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-1",-100.0,0.5074999928474426,0.6899999976158142
cross,cross-1_3,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-2",-140.0,0.39249998331069946,0.574999988079071
cross,cross-1_3,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-0",0.0,0.3375000059604645,0.4424999952316284
cross,cross-1_3,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-1",0.0,0.45499998331069946,0.3349999785423279
cross,cross-1_3,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-2",0.0,0.45249998569488525,0.4074999988079071
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-0",-180.0,0.4025000035762787,0.48749998211860657
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-1",-100.0,0.39499998092651367,0.6049999594688416
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-2",-180.0,0.35999998450279236,0.5224999785423279
cross,cross-1_3,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-0",0.0,0.41999998688697815,0.5049999952316284
cross,cross-1_3,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-1",0.0,0.5174999833106995,0.3974999785423279
cross,cross-1_3,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-2",0.0,0.44749999046325684,0.41749998927116394
cross,cross-1_3,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-0",0.0,0.42249998450279236,0.36249998211860657
cross,cross-1_3,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-1",0.0,0.3774999976158142,0.35749998688697815
cross,cross-1_3,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-2",0.0,0.3474999964237213,0.41749998927116394
cross,cross-1_3,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-0",-100.0,0.41749998927116394,0.5999999642372131
cross,cross-1_3,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-1",-100.0,0.36249998211860657,0.5525000095367432
cross,cross-1_3,"tilde-008_step-1000000_ego(2,1)_par(1,6)_seed-2",-100.0,0.45499998331069946,0.6825000047683716
cross,cross-1_3,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-0",-20.0,0.38499999046325684,0.7674999833106995
cross,cross-1_3,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-1",-180.0,0.429999977350235,0.5174999833106995
cross,cross-1_3,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-2",20.0,0.47749999165534973,0.7400000095367432
cross,cross-1_3,mean,-72.66666666666667,0.40566667914390564,0.5360000133514404
cross,cross-1_0,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-0",0.0,0.3499999940395355,0.7699999809265137
cross,cross-1_0,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-1",0.0,0.4899999797344208,0.5049999952316284
cross,cross-1_0,"tilde-000_step-21400000_ego(2,2)_par(2,5)_seed-2",0.0,0.3349999785423279,0.9774999618530273
cross,cross-1_0,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-0",0.0,0.5049999952316284,0.6324999928474426
cross,cross-1_0,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-1",0.0,0.8149999976158142,0.7849999666213989
cross,cross-1_0,"tilde-001_step-5400000_ego(1,2)_par(1,6)_seed-2",0.0,0.6100000143051147,0.675000011920929
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",-180.0,0.5349999666213989,0.42499998211860657
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",-140.0,0.574999988079071,0.7299999594688416
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",-100.0,0.5249999761581421,0.5874999761581421
cross,cross-1_0,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-0",0.0,0.4749999940395355,0.8174999952316284
cross,cross-1_0,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-1",0.0,0.7099999785423279,0.699999988079071
cross,cross-1_0,"tilde-003_step-16400000_ego(1,1)_par(1,6)_seed-2",0.0,0.5625,0.9549999833106995
cross,cross-1_0,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-0",0.0,0.3649999797344208,0.8799999952316284
cross,cross-1_0,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-1",0.0,0.42249998450279236,0.5049999952316284
cross,cross-1_0,"tilde-004_step-14600000_ego(3,2)_par(3,5)_seed-2",0.0,0.45249998569488525,0.6100000143051147
cross,cross-1_0,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-0",-60.0,0.41499999165534973,0.574999988079071
cross,cross-1_0,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-1",-140.0,0.3499999940395355,0.7049999833106995
cross,cross-1_0,"tilde-005_step-1400000_ego(1,2)_par(3,6)_seed-2",-20.0,0.3774999976158142,0.6274999976158142
cross,cross-1_0,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-0",0.0,0.36249998211860657,0.737500011920929
cross,cross-1_0,"tilde-006_step-22800000_ego(3,2)_par(2,5)_seed-1",0.0,0.3774999976158142,0.39499998092651367
