run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,1)_seed-0",0.0,0.054999999701976776,0.367499977350235
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,1)_seed-1",0.0,0.10999999940395355,0.17000000178813934
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,1)_seed-2",0.0,0.057499997317790985,0.45499998331069946
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,6)_seed-0",0.0,0.17249999940395355,0.2849999964237213
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,6)_seed-1",0.0,0.16249999403953552,0.23499999940395355
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,6)_seed-2",0.0,0.17000000178813934,0.26999998092651367
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-0",0.0,0.41999998688697815,0.017500000074505806
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-1",0.0,0.11999999731779099,0.2549999952316284
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-2",0.0,0.10749999433755875,0.44999998807907104
cross,cross-1_4,"tilde-003_step-16400000_ego(1,3)_par(1,2)_seed-0",0.0,0.022499999031424522,0.014999999664723873
cross,cross-1_4,"tilde-003_step-16400000_ego(1,3)_par(1,2)_seed-1",0.0,0.009999999776482582,0.01249999925494194
cross,cross-1_4,"tilde-003_step-16400000_ego(1,3)_par(1,2)_seed-2",0.0,0.014999999664723873,0.5550000071525574
cross,cross-1_4,"tilde-004_step-14600000_ego(2,6)_par(1,6)_seed-0",0.0,0.1824999898672104,0.17999999225139618
cross,cross-1_4,"tilde-004_step-14600000_ego(2,6)_par(1,6)_seed-1",0.0,0.09999999403953552,0.23499999940395355
cross,cross-1_4,"tilde-004_step-14600000_ego(2,6)_par(1,6)_seed-2",0.0,0.17499999701976776,0.23749999701976776
cross,cross-1_4,"tilde-005_step-1400000_ego(2,6)_par(1,5)_seed-0",0.0,0.3174999952316284,0.12999999523162842
cross,cross-1_4,"tilde-005_step-1400000_ego(2,6)_par(1,5)_seed-1",0.0,0.13750000298023224,0.02499999850988388
cross,cross-1_4,"tilde-005_step-1400000_ego(2,6)_par(1,5)_seed-2",0.0,0.08249999582767487,0.07499999552965164
cross,cross-1_4,"tilde-006_step-22800000_ego(3,5)_par(1,6)_seed-0",0.0,0.2199999988079071,0.41499999165534973
cross,cross-1_4,"tilde-006_step-22800000_ego(3,5)_par(1,6)_seed-1",0.0,0.20499999821186066,0.23999999463558197
cross,cross-1_4,"tilde-006_step-22800000_ego(3,5)_par(1,6)_seed-2",0.0,0.1574999988079071,0.2449999898672104
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(3,2)_seed-0",0.0,0.05999999865889549,0.4624999761581421
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(3,2)_seed-1",0.0,0.07499999552965164,0.4325000047683716
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(3,2)_seed-2",0.0,0.07249999791383743,0.44749999046325684
cross,cross-1_4,"tilde-008_step-1000000_ego(1,6)_par(1,3)_seed-0",0.0,0.07499999552965164,0.3174999952316284
cross,cross-1_4,"tilde-008_step-1000000_ego(1,6)_par(1,3)_seed-1",0.0,0.0024999999441206455,0.7249999642372131
cross,cross-1_4,"tilde-008_step-1000000_ego(1,6)_par(1,3)_seed-2",0.0,0.004999999888241291,0.7599999904632568
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.01249999925494194,0.2175000011920929
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",0.0,0.06499999761581421,0.3725000023841858
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-2",0.0,0.019999999552965164,0.2775000035762787
cross,cross-1_4,mean,0.0,0.11291667819023132,0.29608333110809326
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(3,1)_seed-0",0.0,0.019999999552965164,0.007499999832361937
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(3,1)_seed-1",0.0,0.019999999552965164,0.019999999552965164
