run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-0",0.0,0.20499999821186066,0.1850000023841858
cross,cross-1_4,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-1",20.0,0.26999998092651367,0.25
cross,cross-1_4,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-2",0.0,0.16749998927116394,0.3125
cross,cross-1_4,"tilde-001_step-5400000_ego(3,6)_par(1,5)_seed-0",0.0,0.2175000011920929,0.21249999105930328
cross,cross-1_4,"tilde-001_step-5400000_ego(3,6)_par(1,5)_seed-1",0.0,0.1850000023841858,0.2574999928474426
cross,cross-1_4,"tilde-001_step-5400000_ego(3,6)_par(1,5)_seed-2",0.0,0.19249999523162842,0.25999999046325684
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,2)_seed-0",0.0,0.2149999886751175,0.20499999821186066
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,2)_seed-1",0.0,0.20499999821186066,0.25999999046325684
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,2)_seed-2",20.0,0.21249999105930328,0.1599999964237213
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,4)_seed-0",0.0,0.2524999976158142,0.21249999105930328
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,4)_seed-1",0.0,0.1875,0.2549999952316284
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,4)_seed-2",0.0,0.12999999523162842,0.1599999964237213
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,5)_seed-0",0.0,0.20250000059604645,0.26749998331069946
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,5)_seed-1",0.0,0.1824999898672104,0.2199999988079071
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,5)_seed-2",0.0,0.19249999523162842,0.25999999046325684
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,4)_seed-0",0.0,0.22999998927116394,0.3024999797344208
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,4)_seed-1",20.0,0.1899999976158142,0.20499999821186066
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(3,4)_seed-2",0.0,0.23999999463558197,0.26249998807907104
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,1)_seed-0",20.0,0.2224999964237213,0.11749999970197678
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,1)_seed-1",0.0,0.19249999523162842,0.3449999988079071
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,1)_seed-2",20.0,0.09749999642372131,0.08500000089406967
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,6)_seed-0",0.0,0.21249999105930328,0.5899999737739563
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,6)_seed-1",0.0,0.17999999225139618,0.23250000178813934
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,6)_seed-2",0.0,0.16499999165534973,0.2750000059604645
cross,cross-1_4,"tilde-008_step-1000000_ego(3,6)_par(2,6)_seed-0",0.0,0.19499999284744263,0.2874999940395355
cross,cross-1_4,"tilde-008_step-1000000_ego(3,6)_par(2,6)_seed-1",20.0,0.20250000059604645,0.29499998688697815
cross,cross-1_4,"tilde-008_step-1000000_ego(3,6)_par(2,6)_seed-2",0.0,0.16249999403953552,0.2849999964237213
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.27250000834465027,0.22999998927116394
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",0.0,0.16749998927116394,0.4949999749660492
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-2",0.0,0.2574999928474426,0.29499998688697815
cross,cross-1_4,mean,4.0,0.20016667246818542,0.2593333125114441
cross,cross-1_3,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-0",120.0,0.5949999690055847,0.5724999904632568
cross,cross-1_3,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-1",120.0,0.5924999713897705,0.5625
cross,cross-1_3,"tilde-000_step-21400000_ego(1,6)_par(1,4)_seed-2",120.0,0.574999988079071,0.5824999809265137
