run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-0",-50.0,0.5625,0.4424999952316284
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-1",80.0,0.5274999737739563,0.2824999988079071
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-2",-60.0,0.574999988079071,0.44749999046325684
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-0",-140.0,0.5324999690055847,0.429999977350235
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-1",-105.0,0.5399999618530273,0.5324999690055847
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-2",20.0,0.492499977350235,0.3125
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(1,5)_seed-0",20.0,0.6175000071525574,0.3024999797344208
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(1,5)_seed-1",20.0,0.6549999713897705,0.32999998331069946
cross,cross-1_4,"tilde-002_step-21800000_ego(1,1)_par(1,5)_seed-2",-40.0,0.5324999690055847,0.429999977350235
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(2,5)_seed-0",-100.0,0.6324999928474426,0.6200000047683716
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(2,5)_seed-1",-160.0,0.5399999618530273,0.5799999833106995
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(2,5)_seed-2",-140.0,0.6274999976158142,0.5324999690055847
cross,cross-1_4,"tilde-004_step-14600000_ego(2,2)_par(2,6)_seed-0",60.0,0.5949999690055847,0.29749998450279236
cross,cross-1_4,"tilde-004_step-14600000_ego(2,2)_par(2,6)_seed-1",-140.0,0.6024999618530273,0.5525000095367432
cross,cross-1_4,"tilde-004_step-14600000_ego(2,2)_par(2,6)_seed-2",-140.0,0.5999999642372131,0.5475000143051147
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,6)_seed-0",-40.0,0.5625,0.4650000035762787
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,6)_seed-1",-120.0,0.5099999904632568,0.574999988079071
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,6)_seed-2",-60.0,0.5924999713897705,0.44999998807907104
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,6)_seed-0",40.0,0.5999999642372131,0.3075000047683716
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,6)_seed-1",-20.0,0.4749999940395355,0.38749998807907104
cross,cross-1_4,"tilde-006_step-22800000_ego(3,2)_par(2,6)_seed-2",-40.0,0.5450000166893005,0.367499977350235
cross,cross-1_4,"tilde-007_step-22600000_ego(1,2)_par(2,5)_seed-0",-120.0,0.4975000023841858,0.5324999690055847
cross,cross-1_4,"tilde-007_step-22600000_ego(1,2)_par(2,5)_seed-1",-20.0,0.574999988079071,0.5149999856948853
cross,cross-1_4,"tilde-007_step-22600000_ego(1,2)_par(2,5)_seed-2",-80.0,0.5974999666213989,0.47749999165534973
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-0",-180.0,0.5374999642372131,0.550000011920929
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-1",-60.0,0.5824999809265137,0.5149999856948853
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-2",-180.0,0.5424999594688416,0.5249999761581421
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-0",-140.0,0.5349999666213989,0.5849999785423279
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-1",-80.0,0.5274999737739563,0.3700000047683716
cross,cross-1_4,"tilde-009_step-17200000_ego(3,2)_par(2,6)_seed-2",-100.0,0.5199999809265137,0.32999998331069946
cross,cross-1_4,mean,-69.16666666666667,0.5610833764076233,0.4530833661556244
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-0",0.0,0.20749999582767487,0.3725000023841858
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-1",0.0,0.33249998092651367,0.48499998450279236
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(1,5)_seed-2",0.0,0.3050000071525574,0.637499988079071
