run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,6)_seed-0",-20.0,0.3400000035762787,0.6324999928474426
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,6)_seed-1",0.0,0.2549999952316284,0.7824999690055847
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,6)_seed-2",0.0,0.19749999046325684,0.7524999976158142
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-0",0.0,0.5,0.6449999809265137
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-1",0.0,0.26999998092651367,0.6150000095367432
cross,cross-1_4,"tilde-001_step-5400000_ego(3,2)_par(2,5)_seed-2",0.0,0.3199999928474426,0.612500011920929
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(3,6)_seed-0",0.0,0.26249998807907104,0.6725000143051147
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(3,6)_seed-1",0.0,0.4449999928474426,0.6225000023841858
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(3,6)_seed-2",0.0,0.4424999952316284,0.6599999666213989
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,5)_seed-0",-20.0,0.4325000047683716,0.8299999833106995
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,5)_seed-1",0.0,0.4050000011920929,0.26499998569488525
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,5)_seed-2",0.0,0.4975000023841858,0.32749998569488525
cross,cross-1_4,"tilde-004_step-14600000_ego(3,1)_par(3,6)_seed-0",20.0,0.20999999344348907,0.6674999594688416
cross,cross-1_4,"tilde-004_step-14600000_ego(3,1)_par(3,6)_seed-1",0.0,0.1824999898672104,0.7299999594688416
cross,cross-1_4,"tilde-004_step-14600000_ego(3,1)_par(3,6)_seed-2",0.0,0.26499998569488525,0.6524999737739563
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(2,5)_seed-0",-20.0,0.5575000047683716,0.3974999785423279
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(2,5)_seed-1",-40.0,0.375,0.5299999713897705
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(2,5)_seed-2",60.0,0.6074999570846558,0.41499999165534973
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(1,5)_seed-0",0.0,0.29999998211860657,0.7024999856948853
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(1,5)_seed-1",-20.0,0.35249999165534973,0.6449999809265137
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(1,5)_seed-2",-45.0,0.42249998450279236,0.5299999713897705
cross,cross-1_4,"tilde-007_step-22600000_ego(1,1)_par(2,6)_seed-0",-20.0,0.5224999785423279,0.8924999833106995
