run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(2,5)_seed-0",40.0,0.35249999165534973,0.5349999666213989
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(2,5)_seed-1",-80.0,0.5849999785423279,0.637499988079071
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(2,5)_seed-2",-120.0,0.6100000143051147,0.6800000071525574
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-0",0.0,0.10999999940395355,0.4650000035762787
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-1",0.0,0.9124999642372131,0.29249998927116394
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-2",0.0,0.9624999761581421,0.41999998688697815
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(2,5)_seed-0",-160.0,0.6150000095367432,0.7400000095367432
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(2,5)_seed-1",100.0,0.4074999988079071,0.26499998569488525
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(2,5)_seed-2",-140.0,0.5974999666213989,0.6949999928474426
cross,cross-1_4,"tilde-003_step-16400000_ego(2,1)_par(1,5)_seed-0",-180.0,0.5999999642372131,0.4899999797344208
cross,cross-1_4,"tilde-003_step-16400000_ego(2,1)_par(1,5)_seed-1",140.0,0.6024999618530273,0.5349999666213989
cross,cross-1_4,"tilde-003_step-16400000_ego(2,1)_par(1,5)_seed-2",-100.0,0.5600000023841858,0.5274999737739563
cross,cross-1_4,"tilde-004_step-14600000_ego(1,2)_par(3,5)_seed-0",-180.0,0.6049999594688416,0.3700000047683716
cross,cross-1_4,"tilde-004_step-14600000_ego(1,2)_par(3,5)_seed-1",-140.0,0.6049999594688416,0.3700000047683716
cross,cross-1_4,"tilde-004_step-14600000_ego(1,2)_par(3,5)_seed-2",-120.0,0.4949999749660492,0.4949999749660492
cross,cross-1_4,"tilde-005_step-1400000_ego(3,1)_par(2,5)_seed-0",-180.0,0.5674999952316284,0.5399999618530273
cross,cross-1_4,"tilde-005_step-1400000_ego(3,1)_par(2,5)_seed-1",-100.0,0.6049999594688416,0.45499998331069946
cross,cross-1_4,"tilde-005_step-1400000_ego(3,1)_par(2,5)_seed-2",-180.0,0.6175000071525574,0.4699999988079071
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(2,6)_seed-0",-40.0,0.7549999952316284,0.19499999284744263
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(2,6)_seed-1",-140.0,0.5625,0.5399999618530273
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(2,6)_seed-2",-80.0,0.7425000071525574,0.23999999463558197
