run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-0",20.0,0.5024999976158142,0.5249999761581421
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-1",-40.0,0.4050000011920929,0.4074999988079071
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-2",0.0,0.3474999964237213,0.35749998688697815
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,6)_seed-0",-40.0,0.6699999570846558,0.5424999594688416
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,6)_seed-1",-45.0,0.550000011920929,0.4350000023841858
cross,cross-1_4,"tilde-001_step-5400000_ego(2,1)_par(2,6)_seed-2",80.0,0.5774999856948853,0.5224999785423279
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(1,6)_seed-0",20.0,0.6899999976158142,0.3425000011920929
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(1,6)_seed-1",0.0,0.6449999809265137,0.4050000011920929
cross,cross-1_4,"tilde-002_step-21800000_ego(1,2)_par(1,6)_seed-2",-60.0,0.6399999856948853,0.22499999403953552
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,5)_seed-0",-100.0,0.5999999642372131,0.2800000011920929
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,5)_seed-1",0.0,0.6024999618530273,0.42249998450279236
cross,cross-1_4,"tilde-003_step-16400000_ego(1,1)_par(1,5)_seed-2",120.0,0.6175000071525574,0.4449999928474426
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-0",-120.0,0.6175000071525574,0.27250000834465027
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-1",0.0,0.574999988079071,0.5099999904632568
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-2",20.0,0.7475000023841858,0.4449999928474426
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(3,6)_seed-0",-40.0,0.4449999928474426,0.47749999165534973
