run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-0",-180.0,0.4724999964237213,0.8474999666213989
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-1",-100.0,0.5949999690055847,0.5224999785423279
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-2",-100.0,0.5949999690055847,0.8050000071525574
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-0",-140.0,0.5475000143051147,0.6825000047683716
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-1",0.0,0.48499998450279236,0.6474999785423279
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-2",-140.0,0.574999988079071,0.6424999833106995
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",-140.0,0.550000011920929,0.6850000023841858
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",-100.0,0.6274999976158142,0.4949999749660492
cross,cross-1_4,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",-100.0,0.5450000166893005,0.6649999618530273
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-0",-100.0,0.5424999594688416,0.7849999666213989
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-1",-100.0,0.5424999594688416,0.6074999570846558
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-2",-180.0,0.5324999690055847,0.6474999785423279
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-0",-100.0,0.5849999785423279,0.7849999666213989
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-1",-100.0,0.6225000023841858,0.6324999928474426
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-2",-185.0,0.512499988079071,0.7799999713897705
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-0",-120.0,0.5525000095367432,0.737500011920929
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-1",-160.0,0.5600000023841858,0.8524999618530273
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-2",-100.0,0.5049999952316284,0.7799999713897705
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-0",-120.0,0.5774999856948853,0.737500011920929
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-1",-180.0,0.48249998688697815,0.8399999737739563
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-2",-120.0,0.5450000166893005,0.7574999928474426
cross,cross-1_4,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-0",-120.0,0.5199999809265137,0.7124999761581421
cross,cross-1_4,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-1",-40.0,0.5799999833106995,0.6800000071525574
cross,cross-1_4,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-2",-140.0,0.5824999809265137,0.6899999976158142
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-0",-120.0,0.5600000023841858,0.7450000047683716
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-1",-120.0,0.5724999904632568,0.7524999976158142
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-2",-80.0,0.5249999761581421,0.675000011920929
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-0",-100.0,0.550000011920929,0.6049999594688416
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-1",-120.0,0.5424999594688416,0.7224999666213989
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-2",-120.0,0.5899999737739563,0.6725000143051147
cross,cross-1_4,mean,-117.5,0.5525000095367432,0.7063332796096802
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-0",0.0,0.9899999499320984,1.0
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-1",0.0,1.0,0.9899999499320984
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-2",0.0,0.9950000047683716,1.0
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-0",0.0,0.98499995470047,1.0
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-1",40.0,0.8899999856948853,0.9824999570846558
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-2",0.0,0.9749999642372131,1.0
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",60.0,0.7099999785423279,0.8549999594688416
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",180.0,0.7149999737739563,0.4099999964237213
cross,cross-1_3,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",0.0,0.9975000023841858,1.0
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-0",0.0,0.9824999570846558,0.9599999785423279
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-1",120.0,0.7174999713897705,0.5899999737739563
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-2",0.0,1.0,1.0
cross,cross-1_3,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-0",0.0,0.9950000047683716,1.0
cross,cross-1_3,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-1",0.0,0.9925000071525574,0.9649999737739563
cross,cross-1_3,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-2",0.0,0.9899999499320984,1.0
cross,cross-1_3,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-0",0.0,1.0,0.8424999713897705
cross,cross-1_3,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-1",0.0,0.9950000047683716,1.0
cross,cross-1_3,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-2",0.0,1.0,0.9874999523162842
cross,cross-1_3,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-0",0.0,0.9950000047683716,1.0
cross,cross-1_3,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-1",0.0,0.9950000047683716,0.9399999976158142
cross,cross-1_3,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-2",0.0,1.0,0.9925000071525574
cross,cross-1_3,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-0",20.0,0.8675000071525574,0.8949999809265137
cross,cross-1_3,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-1",120.0,0.5874999761581421,0.8399999737739563
cross,cross-1_3,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-2",140.0,0.5974999666213989,0.9174999594688416
cross,cross-1_3,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-0",0.0,0.9975000023841858,1.0
cross,cross-1_3,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-1",0.0,1.0,1.0
cross,cross-1_3,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-2",120.0,0.637499988079071,0.7949999570846558
cross,cross-1_3,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-0",0.0,0.9749999642372131,1.0
cross,cross-1_3,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-1",0.0,0.9874999523162842,0.9950000047683716
cross,cross-1_3,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-2",0.0,0.9649999737739563,0.9950000047683716
cross,cross-1_3,mean,26.666666666666668,0.9178333878517151,0.9317500591278076
cross,cross-1_0,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-0",60.0,0.6649999618530273,0.7674999833106995
cross,cross-1_0,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-1",0.0,0.9975000023841858,0.9874999523162842
cross,cross-1_0,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-2",120.0,0.625,0.79749995470047
cross,cross-1_0,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-0",0.0,0.9824999570846558,0.9375
cross,cross-1_0,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-1",-160.0,0.5874999761581421,0.8899999856948853
cross,cross-1_0,"tilde-001_step-5400000_ego(1,1)_par(3,6)_seed-2",0.0,0.9975000023841858,0.004999999888241291
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-0",120.0,0.7099999785423279,0.4899999797344208
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-1",60.0,0.8100000023841858,0.41499999165534973
cross,cross-1_0,"tilde-002_step-21800000_ego(3,2)_par(2,5)_seed-2",0.0,0.9975000023841858,0.0
cross,cross-1_0,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-0",75.0,0.5600000023841858,0.48499998450279236
cross,cross-1_0,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-1",20.0,0.6524999737739563,0.5450000166893005
cross,cross-1_0,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-2",140.0,0.6649999618530273,0.79749995470047
cross,cross-1_0,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-0",60.0,0.5799999833106995,0.5024999976158142
cross,cross-1_0,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-1",140.0,0.6399999856948853,0.6324999928474426
cross,cross-1_0,"tilde-004_step-14600000_ego(2,1)_par(2,5)_seed-2",180.0,0.6324999928474426,0.6225000023841858
cross,cross-1_0,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-0",80.0,0.5625,0.7774999737739563
cross,cross-1_0,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-1",-120.0,0.4949999749660492,0.6649999618530273
cross,cross-1_0,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-2",40.0,0.5575000047683716,0.7299999594688416
cross,cross-1_0,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-0",80.0,0.6449999809265137,0.7024999856948853
cross,cross-1_0,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-1",160.0,0.5649999976158142,0.79749995470047
cross,cross-1_0,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-2",160.0,0.5974999666213989,0.6474999785423279
cross,cross-1_0,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-0",0.0,0.9975000023841858,0.9874999523162842
cross,cross-1_0,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-1",80.0,0.6349999904632568,0.5099999904632568
cross,cross-1_0,"tilde-007_step-22600000_ego(2,1)_par(2,6)_seed-2",40.0,0.6800000071525574,0.6499999761581421
cross,cross-1_0,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-0",20.0,0.6574999690055847,0.6775000095367432
cross,cross-1_0,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-1",20.0,0.7549999952316284,0.7174999713897705
cross,cross-1_0,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-2",0.0,0.5949999690055847,0.6200000047683716
cross,cross-1_0,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-0",120.0,0.7649999856948853,0.3824999928474426
cross,cross-1_0,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-1",-120.0,0.5724999904632568,0.7149999737739563
cross,cross-1_0,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-2",60.0,0.6899999976158142,0.47749999165534973
cross,cross-1_0,mean,47.833333333333336,0.6957499384880066,0.6310834288597107
cross,cross-1_2,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-0",0.0,0.762499988079071,0.9874999523162842
cross,cross-1_2,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-1",0.0,0.6424999833106995,0.9899999499320984
cross,cross-1_2,"tilde-000_step-21400000_ego(3,2)_par(3,5)_seed-2",0.0,0.9049999713897705,0.9874999523162842
