run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(3,3)_seed-0",0.0,0.007499999832361937,0.44749999046325684
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(3,3)_seed-1",20.0,0.17999999225139618,0.3649999797344208
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(3,3)_seed-2",0.0,0.19999998807907104,0.3700000047683716
cross,cross-1_4,"tilde-001_step-5400000_ego(3,5)_par(2,1)_seed-0",20.0,0.3449999988079071,0.4399999976158142
cross,cross-1_4,"tilde-001_step-5400000_ego(3,5)_par(2,1)_seed-1",0.0,0.014999999664723873,0.38499999046325684
cross,cross-1_4,"tilde-001_step-5400000_ego(3,5)_par(2,1)_seed-2",20.0,0.2449999898672104,0.3050000071525574
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(1,3)_seed-0",60.0,0.3824999928474426,0.3050000071525574
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(1,3)_seed-1",0.0,0.0024999999441206455,0.45249998569488525
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(1,3)_seed-2",0.0,0.0,0.4449999928474426
cross,cross-1_4,"tilde-003_step-16400000_ego(1,5)_par(1,2)_seed-0",0.0,0.0,0.4675000011920929
cross,cross-1_4,"tilde-003_step-16400000_ego(1,5)_par(1,2)_seed-1",0.0,0.007499999832361937,0.4675000011920929
cross,cross-1_4,"tilde-003_step-16400000_ego(1,5)_par(1,2)_seed-2",0.0,0.0625,0.44749999046325684
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(3,6)_seed-0",0.0,0.0,0.4899999797344208
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(3,6)_seed-1",20.0,0.16249999403953552,0.3449999988079071
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(3,6)_seed-2",0.0,0.0,0.4949999749660492
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,6)_seed-0",0.0,0.0,0.4050000011920929
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,6)_seed-1",0.0,0.009999999776482582,0.3799999952316284
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,6)_seed-2",0.0,0.004999999888241291,0.39249998331069946
cross,cross-1_4,"tilde-006_step-22800000_ego(2,6)_par(1,2)_seed-0",20.0,0.06749999523162842,0.3449999988079071
cross,cross-1_4,"tilde-006_step-22800000_ego(2,6)_par(1,2)_seed-1",0.0,0.004999999888241291,0.4699999988079071
