run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(1,3)_seed-0",160.0,0.5849999785423279,0.5
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(1,3)_seed-1",120.0,0.4749999940395355,0.41749998927116394
cross,cross-1_4,"tilde-000_step-21400000_ego(1,4)_par(1,3)_seed-2",60.0,0.6825000047683716,0.3649999797344208
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(1,2)_seed-0",60.0,0.6474999785423279,0.29999998211860657
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(1,2)_seed-1",100.0,0.4449999928474426,0.4274999797344208
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(1,2)_seed-2",140.0,0.6175000071525574,0.5099999904632568
cross,cross-1_4,"tilde-002_step-21800000_ego(3,3)_par(1,1)_seed-0",200.0,0.5550000071525574,0.6150000095367432
cross,cross-1_4,"tilde-002_step-21800000_ego(3,3)_par(1,1)_seed-1",120.0,0.4624999761581421,0.45249998569488525
cross,cross-1_4,"tilde-002_step-21800000_ego(3,3)_par(1,1)_seed-2",80.0,0.3999999761581421,0.3499999940395355
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(1,6)_seed-0",160.0,0.5649999976158142,0.5550000071525574
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(1,6)_seed-1",140.0,0.5550000071525574,0.5224999785423279
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(1,6)_seed-2",60.0,0.5824999809265137,0.35999998450279236
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,1)_seed-0",160.0,0.5299999713897705,0.550000011920929
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,1)_seed-1",100.0,0.6349999904632568,0.3474999964237213
cross,cross-1_4,"tilde-004_step-14600000_ego(1,3)_par(1,1)_seed-2",60.0,0.5550000071525574,0.8025000095367432
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,1)_seed-0",60.0,0.7824999690055847,0.26999998092651367
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,1)_seed-1",60.0,0.8050000071525574,0.2574999928474426
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,1)_seed-2",180.0,0.5924999713897705,0.6424999833106995
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,5)_seed-0",60.0,0.38749998807907104,0.35999998450279236
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,5)_seed-1",140.0,0.48499998450279236,0.47749999165534973
cross,cross-1_4,"tilde-006_step-22800000_ego(3,4)_par(1,5)_seed-2",160.0,0.5550000071525574,0.5625
cross,cross-1_4,"tilde-007_step-22600000_ego(2,6)_par(1,2)_seed-0",80.0,0.3974999785423279,0.4074999988079071
cross,cross-1_4,"tilde-007_step-22600000_ego(2,6)_par(1,2)_seed-1",100.0,0.5924999713897705,0.4274999797344208
