run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-0",60.0,0.3349999785423279,0.4325000047683716
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-1",60.0,0.3125,0.45499998331069946
cross,cross-1_4,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-2",80.0,0.3199999928474426,0.5
cross,cross-1_4,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-0",40.0,0.38499999046325684,0.3474999964237213
cross,cross-1_4,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-1",20.0,0.22749999165534973,0.48499998450279236
cross,cross-1_4,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-2",20.0,0.875,0.11499999463558197
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-0",40.0,0.3400000035762787,0.429999977350235
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-1",20.0,0.29249998927116394,0.2175000011920929
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-2",60.0,0.3199999928474426,0.4074999988079071
cross,cross-1_4,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-0",60.0,0.6200000047683716,0.3425000011920929
cross,cross-1_4,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-1",40.0,0.17249999940395355,0.2175000011920929
cross,cross-1_4,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-2",160.0,0.6549999713897705,0.5649999976158142
cross,cross-1_4,"tilde-004_step-14600000_ego(3,5)_par(1,4)_seed-0",60.0,0.39249998331069946,0.4074999988079071
cross,cross-1_4,"tilde-004_step-14600000_ego(3,5)_par(1,4)_seed-1",60.0,0.4650000035762787,0.36249998211860657
cross,cross-1_4,"tilde-004_step-14600000_ego(3,5)_par(1,4)_seed-2",0.0,0.1824999898672104,0.3799999952316284
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,5)_seed-0",40.0,0.3125,0.4074999988079071
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,5)_seed-1",40.0,0.26499998569488525,0.625
cross,cross-1_4,"tilde-005_step-1400000_ego(1,3)_par(1,5)_seed-2",40.0,0.3400000035762787,0.3774999976158142
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(3,2)_seed-0",140.0,0.5824999809265137,0.5550000071525574
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(3,2)_seed-1",60.0,0.48249998688697815,0.7299999594688416
cross,cross-1_4,"tilde-006_step-22800000_ego(3,1)_par(3,2)_seed-2",40.0,0.17749999463558197,0.39499998092651367
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(1,3)_seed-0",60.0,0.38999998569488525,0.375
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(1,3)_seed-1",0.0,0.2199999988079071,0.3774999976158142
cross,cross-1_4,"tilde-007_step-22600000_ego(3,3)_par(1,3)_seed-2",40.0,0.6449999809265137,0.22999998927116394
cross,cross-1_4,"tilde-008_step-1000000_ego(3,2)_par(1,3)_seed-0",0.0,0.23250000178813934,0.3024999797344208
cross,cross-1_4,"tilde-008_step-1000000_ego(3,2)_par(1,3)_seed-1",0.0,0.22499999403953552,0.3349999785423279
cross,cross-1_4,"tilde-008_step-1000000_ego(3,2)_par(1,3)_seed-2",40.0,0.2874999940395355,0.36249998211860657
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.16499999165534973,0.3999999761581421
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",60.0,0.3649999797344208,0.4699999988079071
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-2",60.0,0.2849999964237213,0.42499998211860657
cross,cross-1_4,mean,46.666666666666664,0.3623333275318146,0.4010832905769348
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-0",0.0,0.17999999225139618,0.3149999976158142
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-1",0.0,0.26499998569488525,0.17000000178813934
cross,cross-1_3,"tilde-000_step-21400000_ego(1,1)_par(3,3)_seed-2",20.0,0.20499999821186066,0.3449999988079071
cross,cross-1_3,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-0",0.0,0.10999999940395355,0.11749999970197678
cross,cross-1_3,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-1",0.0,0.19249999523162842,0.23749999701976776
cross,cross-1_3,"tilde-001_step-5400000_ego(3,3)_par(1,4)_seed-2",0.0,0.2224999964237213,0.35749998688697815
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-0",20.0,0.1525000035762787,0.1899999976158142
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-1",0.0,0.1599999964237213,0.10749999433755875
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(1,3)_seed-2",0.0,0.07499999552965164,0.367499977350235
cross,cross-1_3,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-0",20.0,0.16499999165534973,0.23999999463558197
cross,cross-1_3,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-1",20.0,0.1875,0.19749999046325684
cross,cross-1_3,"tilde-003_step-16400000_ego(2,6)_par(1,4)_seed-2",20.0,0.19249999523162842,0.2149999886751175
