run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(3,3)_seed-0",0.0,0.13750000298023224,0.017500000074505806
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(3,3)_seed-1",0.0,0.11999999731779099,0.004999999888241291
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(3,3)_seed-2",0.0,0.1550000011920929,0.007499999832361937
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,3)_seed-0",0.0,0.1875,0.0024999999441206455
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,3)_seed-1",0.0,0.2149999886751175,0.0024999999441206455
cross,cross-1_4,"tilde-001_step-5400000_ego(2,6)_par(1,3)_seed-2",0.0,0.20749999582767487,0.0
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(1,2)_seed-0",0.0,0.375,0.1850000023841858
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(1,2)_seed-1",0.0,0.512499988079071,0.12999999523162842
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(1,2)_seed-2",0.0,0.3649999797344208,0.1574999988079071
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(1,2)_seed-0",0.0,0.1824999898672104,0.01249999925494194
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(1,2)_seed-1",0.0,0.3774999976158142,0.019999999552965164
cross,cross-1_4,"tilde-003_step-16400000_ego(3,1)_par(1,2)_seed-2",0.0,0.19249999523162842,0.007499999832361937
cross,cross-1_4,"tilde-004_step-14600000_ego(3,4)_par(1,5)_seed-0",0.0,0.19249999523162842,0.004999999888241291
cross,cross-1_4,"tilde-004_step-14600000_ego(3,4)_par(1,5)_seed-1",0.0,0.1599999964237213,0.014999999664723873
cross,cross-1_4,"tilde-004_step-14600000_ego(3,4)_par(1,5)_seed-2",0.0,0.19999998807907104,0.022499999031424522
cross,cross-1_4,"tilde-005_step-1400000_ego(3,6)_par(2,6)_seed-0",0.0,0.32749998569488525,0.3125
cross,cross-1_4,"tilde-005_step-1400000_ego(3,6)_par(2,6)_seed-1",0.0,0.1875,0.22749999165534973
cross,cross-1_4,"tilde-005_step-1400000_ego(3,6)_par(2,6)_seed-2",0.0,0.26249998807907104,0.2224999964237213
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(3,2)_seed-0",0.0,0.08500000089406967,0.11749999970197678
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(3,2)_seed-1",0.0,0.16249999403953552,0.2574999928474426
cross,cross-1_4,"tilde-006_step-22800000_ego(2,1)_par(3,2)_seed-2",0.0,0.16749998927116394,0.11499999463558197
cross,cross-1_4,"tilde-007_step-22600000_ego(3,4)_par(1,6)_seed-0",0.0,0.1574999988079071,0.0024999999441206455
