run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,60.0,0.5399999618530273,0.85999995470047
cross,cross-1_0,seed-1,80.0,0.4025000035762787,0.42499998211860657
cross,cross-1_0,seed-2,160.0,0.5849999785423279,0.5974999666213989
cross,cross-1_0,seed-3,140.0,0.5274999737739563,0.5899999737739563
cross,cross-1_0,seed-4,100.0,0.4599999785423279,0.4650000035762787
cross,cross-1_0,mean,108.0,0.5029999613761902,0.5874999761581421
cross,cross-1_2,seed-0,180.0,0.5949999690055847,0.6449999809265137
cross,cross-1_2,seed-1,100.0,0.32249999046325684,0.7425000071525574
cross,cross-1_2,seed-2,180.0,0.5625,0.5999999642372131
cross,cross-1_2,seed-3,180.0,0.5450000166893005,0.574999988079071
cross,cross-1_2,seed-4,160.0,0.5550000071525574,0.6200000047683716
cross,cross-1_2,mean,160.0,0.5160000324249268,0.6365000009536743
cross,cross-0_1,seed-0,140.0,0.5874999761581421,0.5
cross,cross-0_1,seed-1,100.0,0.699999988079071,0.5724999904632568
cross,cross-0_1,seed-2,140.0,0.6100000143051147,0.5999999642372131
cross,cross-0_1,seed-3,20.0,0.75,0.2449999898672104
cross,cross-0_1,seed-4,160.0,0.6424999833106995,0.6024999618530273
cross,cross-0_1,mean,112.0,0.6579999923706055,0.5040000081062317
cross,cross-0_2,seed-0,180.0,0.48499998450279236,0.6825000047683716
cross,cross-0_2,seed-1,160.0,0.45749998092651367,0.7124999761581421
cross,cross-0_2,seed-2,160.0,0.48249998688697815,0.6574999690055847
cross,cross-0_2,seed-3,180.0,0.5099999904632568,0.6674999594688416
cross,cross-0_2,seed-4,180.0,0.45499998331069946,0.7149999737739563
cross,cross-0_2,mean,172.0,0.4779999852180481,0.6869999766349792
cross,cross-2_1,seed-0,180.0,0.5399999618530273,0.5374999642372131
cross,cross-2_1,seed-1,180.0,0.5724999904632568,0.5799999833106995
cross,cross-2_1,seed-2,100.0,0.4449999928474426,0.4624999761581421
cross,cross-2_1,seed-3,140.0,0.47999998927116394,0.4675000011920929
cross,cross-2_1,seed-4,100.0,0.5475000143051147,0.4650000035762787
cross,cross-2_1,mean,140.0,0.5170000195503235,0.5024999976158142
cross,cross-2_0,seed-0,180.0,0.7174999713897705,0.4699999988079071
cross,cross-2_0,seed-1,180.0,0.6974999904632568,0.4749999940395355
cross,cross-2_0,seed-2,180.0,0.7049999833106995,0.4975000023841858
cross,cross-2_0,seed-3,180.0,0.7074999809265137,0.5049999952316284
cross,cross-2_0,seed-4,180.0,0.6899999976158142,0.47999998927116394
cross,cross-2_0,mean,180.0,0.703499972820282,0.4855000078678131
cross,cross-1_1,seed-0,200.0,0.9174999594688416,0.9350000023841858
cross,cross-1_1,seed-1,200.0,0.9274999499320984,0.9375
cross,cross-1_1,seed-2,200.0,0.9049999713897705,0.8824999928474426
cross,cross-1_1,seed-3,200.0,0.9074999690055847,0.9124999642372131
cross,cross-1_1,seed-4,200.0,0.9325000047683716,0.9049999713897705
cross,cross-1_1,mean,200.0,0.9180000424385071,0.9144999384880066
cross,cross-0_0,seed-0,180.0,0.7324999570846558,0.8374999761581421
cross,cross-0_0,seed-1,180.0,0.7475000023841858,0.8299999833106995
cross,cross-0_0,seed-2,180.0,0.7224999666213989,0.8149999976158142
cross,cross-0_0,seed-3,180.0,0.6949999928474426,0.8149999976158142
cross,cross-0_0,seed-4,180.0,0.7024999856948853,0.8424999713897705
cross,cross-0_0,mean,180.0,0.7199999690055847,0.8280000686645508
cross,cross-2_2,seed-0,200.0,0.7824999690055847,0.79749995470047
cross,cross-2_2,seed-1,200.0,0.7899999618530273,0.8100000023841858
cross,cross-2_2,seed-2,220.0,0.7749999761581421,0.8149999976158142
cross,cross-2_2,seed-3,200.0,0.7874999642372131,0.8050000071525574
cross,cross-2_2,seed-4,200.0,0.762499988079071,0.8050000071525574
cross,cross-2_2,mean,204.0,0.7794999480247498,0.8064999580383301
