run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,200.0,0.625,0.6599999666213989
cross,cross-1_0,seed-1,200.0,0.6574999690055847,0.6499999761581421
cross,cross-1_0,seed-2,200.0,0.6049999594688416,0.6299999952316284
cross,cross-1_0,seed-3,200.0,0.6349999904632568,0.6175000071525574
cross,cross-1_0,seed-4,200.0,0.6474999785423279,0.612500011920929
cross,cross-1_0,mean,200.0,0.6340000033378601,0.6340000033378601
cross,cross-1_2,seed-0,200.0,0.6474999785423279,0.6424999833106995
cross,cross-1_2,seed-1,200.0,0.6800000071525574,0.637499988079071
cross,cross-1_2,seed-2,200.0,0.699999988079071,0.6574999690055847
cross,cross-1_2,seed-3,200.0,0.6725000143051147,0.6800000071525574
cross,cross-1_2,seed-4,200.0,0.6699999570846558,0.6574999690055847
cross,cross-1_2,mean,200.0,0.6739999651908875,0.6550000309944153
cross,cross-0_1,seed-0,160.0,0.6775000095367432,0.7249999642372131
cross,cross-0_1,seed-1,180.0,0.5,0.5899999737739563
cross,cross-0_1,seed-2,200.0,0.6324999928474426,0.6424999833106995
cross,cross-0_1,seed-3,200.0,0.6449999809265137,0.6674999594688416
cross,cross-0_1,seed-4,200.0,0.6049999594688416,0.6399999856948853
cross,cross-0_1,mean,188.0,0.6119999885559082,0.652999997138977
cross,cross-0_2,seed-0,200.0,0.6150000095367432,0.637499988079071
cross,cross-0_2,seed-1,200.0,0.6524999737739563,0.6449999809265137
cross,cross-0_2,seed-2,200.0,0.6474999785423279,0.6449999809265137
cross,cross-0_2,seed-3,200.0,0.6424999833106995,0.6225000023841858
cross,cross-0_2,seed-4,200.0,0.6150000095367432,0.637499988079071
cross,cross-0_2,mean,200.0,0.6344999670982361,0.637499988079071
cross,cross-2_1,seed-0,200.0,0.5949999690055847,0.6299999952316284
cross,cross-2_1,seed-1,200.0,0.5899999737739563,0.6499999761581421
cross,cross-2_1,seed-2,200.0,0.6024999618530273,0.6424999833106995
cross,cross-2_1,seed-3,200.0,0.5999999642372131,0.5999999642372131
cross,cross-2_1,seed-4,200.0,0.6274999976158142,0.6200000047683716
cross,cross-2_1,mean,200.0,0.6029999852180481,0.6284999847412109
cross,cross-2_0,seed-0,200.0,0.6524999737739563,0.6349999904632568
cross,cross-2_0,seed-1,200.0,0.6574999690055847,0.6549999713897705
cross,cross-2_0,seed-2,200.0,0.6474999785423279,0.6699999570846558
cross,cross-2_0,seed-3,200.0,0.6825000047683716,0.6674999594688416
cross,cross-2_0,seed-4,200.0,0.637499988079071,0.6624999642372131
cross,cross-2_0,mean,200.0,0.6554999947547913,0.6579999327659607
cross,cross-1_1,seed-0,200.0,0.7199999690055847,0.7524999976158142
cross,cross-1_1,seed-1,200.0,0.699999988079071,0.7249999642372131
cross,cross-1_1,seed-2,200.0,0.7174999713897705,0.7324999570846558
cross,cross-1_1,seed-3,200.0,0.7124999761581421,0.73499995470047
cross,cross-1_1,seed-4,200.0,0.7024999856948853,0.7549999952316284
cross,cross-1_1,mean,200.0,0.7104999423027039,0.7399999499320984
cross,cross-0_0,seed-0,200.0,0.7425000071525574,0.6924999952316284
cross,cross-0_0,seed-1,200.0,0.7574999928474426,0.7149999737739563
cross,cross-0_0,seed-2,200.0,0.73499995470047,0.7149999737739563
cross,cross-0_0,seed-3,200.0,0.7674999833106995,0.7174999713897705
cross,cross-0_0,seed-4,200.0,0.7299999594688416,0.7324999570846558
cross,cross-0_0,mean,200.0,0.7464999556541443,0.7144999504089355
cross,cross-2_2,seed-0,220.0,0.8424999713897705,0.8399999737739563
cross,cross-2_2,seed-1,220.0,0.8474999666213989,0.8524999618530273
cross,cross-2_2,seed-2,220.0,0.8299999833106995,0.8474999666213989
cross,cross-2_2,seed-3,220.0,0.8299999833106995,0.85999995470047
cross,cross-2_2,seed-4,220.0,0.8299999833106995,0.8374999761581421
cross,cross-2_2,mean,220.0,0.8359999656677246,0.8474999666213989
