run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,100.0,0.550000011920929,0.5424999594688416
cross,cross-1_0,seed-1,120.0,0.5674999952316284,0.48749998211860657
cross,cross-1_0,seed-2,100.0,0.6599999666213989,0.7475000023841858
cross,cross-1_0,seed-3,100.0,0.5249999761581421,0.6924999952316284
cross,cross-1_0,seed-4,140.0,0.5999999642372131,0.637499988079071
cross,cross-1_0,mean,112.0,0.5805000066757202,0.6214999556541443
cross,cross-1_2,seed-0,80.0,0.2874999940395355,0.75
cross,cross-1_2,seed-1,140.0,0.5799999833106995,0.5874999761581421
cross,cross-1_2,seed-2,120.0,0.625,0.6349999904632568
cross,cross-1_2,seed-3,120.0,0.5149999856948853,0.5625
cross,cross-1_2,seed-4,100.0,0.42499998211860657,0.7199999690055847
cross,cross-1_2,mean,112.0,0.48649999499320984,0.6509999632835388
cross,cross-0_1,seed-0,140.0,0.5674999952316284,0.6524999737739563
cross,cross-0_1,seed-1,140.0,0.5224999785423279,0.5799999833106995
cross,cross-0_1,seed-2,100.0,0.4599999785423279,0.7824999690055847
cross,cross-0_1,seed-3,140.0,0.6074999570846558,0.6299999952316284
cross,cross-0_1,seed-4,140.0,0.6100000143051147,0.6349999904632568
cross,cross-0_1,mean,132.0,0.5534999966621399,0.656000018119812
cross,cross-0_2,seed-0,200.0,0.6974999904632568,0.737500011920929
cross,cross-0_2,seed-1,180.0,0.6424999833106995,0.6399999856948853
cross,cross-0_2,seed-2,200.0,0.6725000143051147,0.7049999833106995
cross,cross-0_2,seed-3,160.0,0.6049999594688416,0.6349999904632568
cross,cross-0_2,seed-4,200.0,0.7425000071525574,0.7674999833106995
cross,cross-0_2,mean,188.0,0.671999990940094,0.6969999670982361
cross,cross-2_1,seed-0,120.0,0.4749999940395355,0.48499998450279236
cross,cross-2_1,seed-1,60.0,0.5625,0.3199999928474426
cross,cross-2_1,seed-2,140.0,0.4975000023841858,0.6899999976158142
cross,cross-2_1,seed-3,160.0,0.6175000071525574,0.5699999928474426
cross,cross-2_1,seed-4,0.0,0.26749998331069946,0.3799999952316284
cross,cross-2_1,mean,96.0,0.484000027179718,0.4889999330043793
cross,cross-2_0,seed-0,200.0,0.7299999594688416,0.6875
cross,cross-2_0,seed-1,200.0,0.7549999952316284,0.7024999856948853
cross,cross-2_0,seed-2,200.0,0.7674999833106995,0.7324999570846558
cross,cross-2_0,seed-3,200.0,0.7274999618530273,0.7475000023841858
cross,cross-2_0,seed-4,200.0,0.7699999809265137,0.699999988079071
cross,cross-2_0,mean,200.0,0.7499999403953552,0.7139999866485596
cross,cross-1_1,seed-0,160.0,0.7799999713897705,0.8224999904632568
cross,cross-1_1,seed-1,160.0,0.7849999666213989,0.7874999642372131
cross,cross-1_1,seed-2,160.0,0.7574999928474426,0.79749995470047
cross,cross-1_1,seed-3,160.0,0.7849999666213989,0.8075000047683716
cross,cross-1_1,seed-4,160.0,0.7749999761581421,0.7999999523162842
cross,cross-1_1,mean,160.0,0.7765000462532043,0.8029999136924744
cross,cross-0_0,seed-0,200.0,0.8949999809265137,0.8924999833106995
cross,cross-0_0,seed-1,200.0,0.9149999618530273,0.8725000023841858
cross,cross-0_0,seed-2,200.0,0.8924999833106995,0.887499988079071
cross,cross-0_0,seed-3,200.0,0.9149999618530273,0.8849999904632568
cross,cross-0_0,seed-4,200.0,0.9124999642372131,0.8974999785423279
cross,cross-0_0,mean,200.0,0.9059999585151672,0.8870000243186951
cross,cross-2_2,seed-0,260.0,0.8700000047683716,0.949999988079071
cross,cross-2_2,seed-1,240.0,0.8974999785423279,0.9199999570846558
cross,cross-2_2,seed-2,260.0,0.8849999904632568,0.9399999976158142
cross,cross-2_2,seed-3,240.0,0.8899999856948853,0.9449999928474426
cross,cross-2_2,seed-4,260.0,0.9074999690055847,0.949999988079071
cross,cross-2_2,mean,252.0,0.8899999856948853,0.9409999847412109
