run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-0",-180.0,0.5099999904632568,0.7049999833106995
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-1",-100.0,0.5349999666213989,0.7174999713897705
cross,cross-1_4,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-2",-120.0,0.5799999833106995,0.6875
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-0",-120.0,0.6024999618530273,0.8199999928474426
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-1",-180.0,0.47999998927116394,0.7649999856948853
cross,cross-1_4,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-2",-140.0,0.5424999594688416,0.7450000047683716
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(2,5)_seed-0",-180.0,0.6649999618530273,0.8524999618530273
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(2,5)_seed-1",-180.0,0.512499988079071,0.6699999570846558
cross,cross-1_4,"tilde-002_step-21800000_ego(3,1)_par(2,5)_seed-2",-180.0,0.5224999785423279,0.7400000095367432
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-0",-120.0,0.5374999642372131,0.7649999856948853
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-1",-180.0,0.5,0.7724999785423279
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(3,5)_seed-2",-180.0,0.4975000023841858,0.7674999833106995
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,5)_seed-0",-100.0,0.5149999856948853,0.7699999809265137
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,5)_seed-1",-180.0,0.5550000071525574,0.625
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,5)_seed-2",-180.0,0.512499988079071,0.5824999809265137
cross,cross-1_4,"tilde-005_step-1400000_ego(2,2)_par(1,5)_seed-0",-140.0,0.4624999761581421,0.7724999785423279
cross,cross-1_4,"tilde-005_step-1400000_ego(2,2)_par(1,5)_seed-1",-180.0,0.512499988079071,0.6974999904632568
cross,cross-1_4,"tilde-005_step-1400000_ego(2,2)_par(1,5)_seed-2",-60.0,0.5649999976158142,0.6574999690055847
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,6)_seed-0",-140.0,0.6175000071525574,0.824999988079071
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,6)_seed-1",-140.0,0.5174999833106995,0.6449999809265137
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,6)_seed-2",-180.0,0.5424999594688416,0.8075000047683716
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,5)_seed-0",-140.0,0.5849999785423279,0.7824999690055847
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,5)_seed-1",-180.0,0.5299999713897705,0.8174999952316284
cross,cross-1_4,"tilde-007_step-22600000_ego(3,1)_par(2,5)_seed-2",-160.0,0.6324999928474426,0.8149999976158142
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-0",-180.0,0.4599999785423279,0.7174999713897705
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-1",-180.0,0.6225000023841858,0.8125
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(1,6)_seed-2",-180.0,0.4650000035762787,0.7049999833106995
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-0",-180.0,0.4749999940395355,0.9274999499320984
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-1",-160.0,0.5674999952316284,0.7899999618530273
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-2",-120.0,0.5874999761581421,0.7649999856948853
cross,cross-1_4,mean,-154.66666666666666,0.5403333306312561,0.750749945640564
cross,cross-1_3,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-0",0.0,0.9950000047683716,0.9274999499320984
cross,cross-1_3,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-1",160.0,0.7674999833106995,0.5374999642372131
cross,cross-1_3,"tilde-000_step-21400000_ego(1,2)_par(1,5)_seed-2",180.0,0.6949999928474426,0.5874999761581421
cross,cross-1_3,"tilde-001_step-5400000_ego(1,2)_par(2,5)_seed-0",160.0,0.7724999785423279,0.6100000143051147
