run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(2,5)_seed-0",-5.0,0.512499988079071,0.4949999749660492
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(2,5)_seed-1",-40.0,0.6699999570846558,0.2775000035762787
cross,cross-1_4,"tilde-000_step-21400000_ego(3,2)_par(2,5)_seed-2",60.0,0.6574999690055847,0.4025000035762787
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(2,5)_seed-0",-40.0,0.6949999928474426,0.29249998927116394
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(2,5)_seed-1",0.0,0.6349999904632568,0.29999998211860657
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(2,5)_seed-2",-60.0,0.6349999904632568,0.20749999582767487
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(2,5)_seed-0",-60.0,0.5724999904632568,0.45249998569488525
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(2,5)_seed-1",0.0,0.7099999785423279,0.4375
cross,cross-1_4,"tilde-002_step-21800000_ego(2,1)_par(2,5)_seed-2",20.0,0.44749999046325684,0.4699999988079071
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,6)_seed-0",-120.0,0.5949999690055847,0.429999977350235
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,6)_seed-1",-80.0,0.5074999928474426,0.2149999886751175
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,6)_seed-2",-100.0,0.4949999749660492,0.21249999105930328
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(2,5)_seed-0",0.0,0.8700000047683716,0.39499998092651367
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(2,5)_seed-1",0.0,0.4375,0.14249999821186066
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(2,5)_seed-2",20.0,0.5600000023841858,0.2874999940395355
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-0",0.0,0.3100000023841858,0.5299999713897705
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-1",-40.0,0.4624999761581421,0.2574999928474426
cross,cross-1_4,"tilde-005_step-1400000_ego(1,1)_par(1,5)_seed-2",-80.0,0.5974999666213989,0.32499998807907104
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-0",0.0,0.7674999833106995,0.2849999964237213
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-1",0.0,0.7324999570846558,0.3075000047683716
cross,cross-1_4,"tilde-006_step-22800000_ego(2,2)_par(3,5)_seed-2",-40.0,0.4399999976158142,0.29749998450279236
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-0",20.0,0.887499988079071,0.26499998569488525
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-1",-5.0,0.5450000166893005,0.3449999988079071
cross,cross-1_4,"tilde-007_step-22600000_ego(3,2)_par(2,6)_seed-2",0.0,0.9049999713897705,0.45499998331069946
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-0",20.0,0.48749998211860657,0.23499999940395355
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-1",-100.0,0.5450000166893005,0.33249998092651367
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,5)_seed-2",-40.0,0.5299999713897705,0.2750000059604645
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-0",-5.0,0.5324999690055847,0.25999999046325684
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-1",0.0,0.45499998331069946,0.26999998092651367
cross,cross-1_4,"tilde-009_step-17200000_ego(1,1)_par(2,6)_seed-2",-80.0,0.5924999713897705,0.16749998927116394
cross,cross-1_4,mean,-25.166666666666668,0.5929999947547913,0.3208332657814026
cross,cross-1_3,"tilde-000_step-21400000_ego(3,2)_par(2,5)_seed-0",-100.0,0.3700000047683716,0.3174999952316284
