run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-0",0.0,0.32749998569488525,0.032499998807907104
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-1",0.0,0.3649999797344208,0.3999999761581421
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-2",0.0,0.38499999046325684,0.35499998927116394
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-0",0.0,0.3474999964237213,0.03999999910593033
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-1",0.0,0.4074999988079071,0.4624999761581421
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-2",0.0,0.3774999976158142,0.1599999964237213
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(2,6)_seed-0",0.0,0.4899999797344208,0.3974999785423279
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(2,6)_seed-1",0.0,0.5424999594688416,0.5849999785423279
cross,cross-1_4,"tilde-002_step-21800000_ego(3,6)_par(2,6)_seed-2",0.0,0.5099999904632568,0.8574999570846558
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,3)_seed-0",0.0,0.5224999785423279,0.9624999761581421
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,3)_seed-1",0.0,0.47999998927116394,0.7849999666213989
cross,cross-1_4,"tilde-003_step-16400000_ego(1,2)_par(3,3)_seed-2",0.0,0.762499988079071,0.2800000011920929
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(1,1)_seed-0",0.0,0.4099999964237213,0.17999999225139618
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(1,1)_seed-1",0.0,0.36249998211860657,0.23250000178813934
cross,cross-1_4,"tilde-004_step-14600000_ego(3,2)_par(1,1)_seed-2",0.0,0.3799999952316284,0.5149999856948853
cross,cross-1_4,"tilde-005_step-1400000_ego(1,4)_par(2,1)_seed-0",0.0,0.6800000071525574,0.7299999594688416
cross,cross-1_4,"tilde-005_step-1400000_ego(1,4)_par(2,1)_seed-1",0.0,0.5024999976158142,0.39499998092651367
cross,cross-1_4,"tilde-005_step-1400000_ego(1,4)_par(2,1)_seed-2",0.0,0.3725000023841858,0.4724999964237213
cross,cross-1_4,"tilde-006_step-22800000_ego(3,3)_par(1,3)_seed-0",0.0,0.6225000023841858,0.26499998569488525
cross,cross-1_4,"tilde-006_step-22800000_ego(3,3)_par(1,3)_seed-1",0.0,0.4424999952316284,0.7699999809265137
cross,cross-1_4,"tilde-006_step-22800000_ego(3,3)_par(1,3)_seed-2",0.0,0.6399999856948853,0.2549999952316284
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(1,4)_seed-0",0.0,0.3649999797344208,0.6074999570846558
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(1,4)_seed-1",0.0,0.375,0.4325000047683716
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(1,4)_seed-2",0.0,0.33249998092651367,0.48499998450279236
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,1)_seed-0",0.0,0.41749998927116394,0.9699999690055847
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,1)_seed-1",0.0,0.3999999761581421,0.6825000047683716
cross,cross-1_4,"tilde-008_step-1000000_ego(1,2)_par(2,1)_seed-2",0.0,0.41999998688697815,0.9549999833106995
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.6899999976158142,0.14249999821186066
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",0.0,0.3149999976158142,0.9375
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-2",0.0,0.19999998807907104,0.25999999046325684
cross,cross-1_4,mean,0.0,0.4481666386127472,0.4868333637714386
cross,cross-1_3,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-0",0.0,0.004999999888241291,0.6225000023841858
cross,cross-1_3,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-1",0.0,0.004999999888241291,0.612500011920929
cross,cross-1_3,"tilde-000_step-21400000_ego(3,3)_par(1,4)_seed-2",0.0,0.004999999888241291,0.6775000095367432
cross,cross-1_3,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-0",0.0,0.03999999910593033,0.4074999988079071
cross,cross-1_3,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-1",0.0,0.06749999523162842,0.042500000447034836
cross,cross-1_3,"tilde-001_step-5400000_ego(1,3)_par(2,1)_seed-2",0.0,0.03749999776482582,0.009999999776482582
