run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,40.0,0.16249999403953552,0.48749998211860657
cross,cross-1_0,seed-1,60.0,0.20499999821186066,0.3499999940395355
cross,cross-1_0,seed-2,20.0,0.16249999403953552,0.5824999809265137
cross,cross-1_0,seed-3,20.0,0.13499999046325684,0.44999998807907104
cross,cross-1_0,seed-4,60.0,0.19749999046325684,0.5149999856948853
cross,cross-1_0,mean,40.0,0.17249999940395355,0.476999968290329
cross,cross-1_2,seed-0,160.0,0.6024999618530273,0.5575000047683716
cross,cross-1_2,seed-1,180.0,0.5224999785423279,0.5924999713897705
cross,cross-1_2,seed-2,180.0,0.6599999666213989,0.5550000071525574
cross,cross-1_2,seed-3,100.0,0.39499998092651367,0.73499995470047
cross,cross-1_2,seed-4,180.0,0.6499999761581421,0.5674999952316284
cross,cross-1_2,mean,160.0,0.5659999847412109,0.6014999747276306
cross,cross-0_1,seed-0,0.0,0.367499977350235,0.08749999850988388
cross,cross-0_1,seed-1,0.0,0.3999999761581421,0.1274999976158142
cross,cross-0_1,seed-2,0.0,0.4325000047683716,0.11249999701976776
cross,cross-0_1,seed-3,0.0,0.26749998331069946,0.2149999886751175
cross,cross-0_1,seed-4,0.0,0.39499998092651367,0.1899999976158142
cross,cross-0_1,mean,0.0,0.3725000023841858,0.14649999141693115
cross,cross-0_2,seed-0,100.0,0.45499998331069946,0.2175000011920929
cross,cross-0_2,seed-1,100.0,0.5024999976158142,0.22999998927116394
cross,cross-0_2,seed-2,100.0,0.4975000023841858,0.2449999898672104
cross,cross-0_2,seed-3,80.0,0.5949999690055847,0.23499999940395355
cross,cross-0_2,seed-4,120.0,0.5799999833106995,0.26999998092651367
cross,cross-0_2,mean,100.0,0.5259999632835388,0.2395000010728836
cross,cross-2_1,seed-0,200.0,0.612500011920929,0.5899999737739563
cross,cross-2_1,seed-1,160.0,0.5799999833106995,0.5324999690055847
cross,cross-2_1,seed-2,200.0,0.6074999570846558,0.6175000071525574
cross,cross-2_1,seed-3,180.0,0.5999999642372131,0.5999999642372131
cross,cross-2_1,seed-4,180.0,0.5949999690055847,0.6150000095367432
cross,cross-2_1,mean,184.0,0.5989999771118164,0.5910000205039978
cross,cross-2_0,seed-0,100.0,0.2524999976158142,0.5424999594688416
cross,cross-2_0,seed-1,40.0,0.28999999165534973,0.26249998807907104
cross,cross-2_0,seed-2,100.0,0.26249998807907104,0.5299999713897705
cross,cross-2_0,seed-3,100.0,0.23499999940395355,0.45749998092651367
cross,cross-2_0,seed-4,120.0,0.26999998092651367,0.574999988079071
cross,cross-2_0,mean,92.0,0.2619999945163727,0.47349998354911804
cross,cross-1_1,seed-0,220.0,0.8075000047683716,0.8050000071525574
cross,cross-1_1,seed-1,220.0,0.8274999856948853,0.7774999737739563
cross,cross-1_1,seed-2,220.0,0.8075000047683716,0.8050000071525574
cross,cross-1_1,seed-3,220.0,0.8149999976158142,0.762499988079071
cross,cross-1_1,seed-4,220.0,0.8474999666213989,0.8149999976158142
cross,cross-1_1,mean,220.0,0.8210000395774841,0.7930000424385071
cross,cross-0_0,seed-0,180.0,0.6674999594688416,0.8675000071525574
cross,cross-0_0,seed-1,180.0,0.8624999523162842,0.7024999856948853
cross,cross-0_0,seed-2,180.0,0.6699999570846558,0.8899999856948853
cross,cross-0_0,seed-3,180.0,0.7699999809265137,0.7400000095367432
cross,cross-0_0,seed-4,180.0,0.8499999642372131,0.6775000095367432
cross,cross-0_0,mean,180.0,0.7639999389648438,0.7754999995231628
cross,cross-2_2,seed-0,180.0,0.824999988079071,0.8824999928474426
cross,cross-2_2,seed-1,180.0,0.8174999952316284,0.8650000095367432
cross,cross-2_2,seed-2,180.0,0.8075000047683716,0.8700000047683716
cross,cross-2_2,seed-3,180.0,0.8499999642372131,0.875
cross,cross-2_2,seed-4,180.0,0.8199999928474426,0.8499999642372131
cross,cross-2_2,mean,180.0,0.8240000009536743,0.8684999346733093
