run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-0",20.0,0.38499999046325684,0.26499998569488525
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-1",0.0,0.2149999886751175,0.26749998331069946
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-2",20.0,0.3400000035762787,0.35499998927116394
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-0",80.0,0.29999998211860657,0.29749998450279236
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-1",40.0,0.27250000834465027,0.2824999988079071
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-2",40.0,0.26499998569488525,0.23999999463558197
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-0",60.0,0.29999998211860657,0.35999998450279236
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-1",60.0,0.29499998688697815,0.28999999165534973
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-2",0.0,0.32499998807907104,0.17000000178813934
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-0",80.0,0.36249998211860657,0.32999998331069946
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-1",20.0,0.25999999046325684,0.2449999898672104
cross,cross-1_4,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-2",20.0,0.22749999165534973,0.23749999701976776
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-0",80.0,0.3199999928474426,0.32499998807907104
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-1",20.0,0.2149999886751175,0.1224999949336052
cross,cross-1_4,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-2",20.0,0.1899999976158142,0.10999999940395355
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-0",20.0,0.19249999523162842,0.23499999940395355
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-1",20.0,0.21249999105930328,0.24249999225139618
cross,cross-1_4,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-2",60.0,0.23250000178813934,0.2449999898672104
cross,cross-1_4,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-0",40.0,0.24249999225139618,0.23250000178813934
cross,cross-1_4,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-1",40.0,0.22999998927116394,0.24249999225139618
cross,cross-1_4,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-2",20.0,0.3425000011920929,0.35249999165534973
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-0",60.0,0.3199999928474426,0.26499998569488525
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-1",60.0,0.3174999952316284,0.2849999964237213
cross,cross-1_4,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-2",40.0,0.3050000071525574,0.2524999976158142
cross,cross-1_4,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-0",40.0,0.3075000047683716,0.26249998807907104
cross,cross-1_4,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-1",60.0,0.28999999165534973,0.26999998092651367
cross,cross-1_4,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-2",40.0,0.367499977350235,0.29999998211860657
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.35999998450279236,0.27250000834465027
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",20.0,0.38749998807907104,0.32999998331069946
cross,cross-1_4,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-2",0.0,0.3375000059604645,0.1899999976158142
cross,cross-1_4,mean,36.0,0.2905833125114441,0.26249995827674866
cross,cross-1_3,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-0",0.0,0.23999999463558197,0.22499999403953552
cross,cross-1_3,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-1",0.0,0.45499998331069946,0.14749999344348907
cross,cross-1_3,"tilde-000_step-21400000_ego(3,4)_par(1,4)_seed-2",0.0,0.3149999976158142,0.2149999886751175
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-0",0.0,0.3425000011920929,0.17000000178813934
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-1",0.0,0.019999999552965164,0.019999999552965164
cross,cross-1_3,"tilde-001_step-5400000_ego(1,1)_par(3,4)_seed-2",0.0,0.027499999850988388,0.017500000074505806
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-0",0.0,0.029999999329447746,0.014999999664723873
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-1",0.0,0.48249998688697815,0.1274999976158142
cross,cross-1_3,"tilde-002_step-21800000_ego(1,4)_par(2,6)_seed-2",0.0,0.3075000047683716,0.16499999165534973
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-0",0.0,0.06749999523162842,0.03500000014901161
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-1",0.0,0.009999999776482582,0.01249999925494194
cross,cross-1_3,"tilde-003_step-16400000_ego(3,2)_par(1,4)_seed-2",0.0,0.5724999904632568,0.14000000059604645
cross,cross-1_3,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-0",0.0,0.125,0.10499999672174454
cross,cross-1_3,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-1",0.0,0.1899999976158142,0.35249999165534973
cross,cross-1_3,"tilde-004_step-14600000_ego(1,1)_par(3,4)_seed-2",0.0,0.3999999761581421,0.13499999046325684
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-0",0.0,0.07000000029802322,0.03500000014901161
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-1",0.0,0.014999999664723873,0.017500000074505806
cross,cross-1_3,"tilde-005_step-1400000_ego(1,2)_par(1,4)_seed-2",20.0,0.22499999403953552,0.13249999284744263
cross,cross-1_3,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-0",20.0,0.2824999988079071,0.2775000035762787
cross,cross-1_3,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-1",20.0,0.6299999952316284,0.10749999433755875
cross,cross-1_3,"tilde-006_step-22800000_ego(1,3)_par(3,6)_seed-2",0.0,0.3075000047683716,0.3149999976158142
cross,cross-1_3,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-0",0.0,0.3349999785423279,0.20999999344348907
cross,cross-1_3,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-1",0.0,0.06749999523162842,0.03500000014901161
cross,cross-1_3,"tilde-007_step-22600000_ego(1,6)_par(3,6)_seed-2",20.0,0.7949999570846558,0.08500000089406967
cross,cross-1_3,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-0",0.0,0.2524999976158142,0.13750000298023224
cross,cross-1_3,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-1",0.0,0.29499998688697815,0.0625
cross,cross-1_3,"tilde-008_step-1000000_ego(1,3)_par(1,1)_seed-2",20.0,0.22499999403953552,0.11749999970197678
cross,cross-1_3,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-0",0.0,0.45499998331069946,0.17000000178813934
cross,cross-1_3,"tilde-009_step-17200000_ego(3,6)_par(1,2)_seed-1",40.0,0.550000011920929,0.1875
