run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,180.0,0.7049999833106995,0.32999998331069946
cross,cross-1_0,seed-1,140.0,0.7324999570846558,0.32999998331069946
cross,cross-1_0,seed-2,160.0,0.6299999952316284,0.35249999165534973
cross,cross-1_0,seed-3,180.0,0.6725000143051147,0.35749998688697815
cross,cross-1_0,seed-4,180.0,0.6599999666213989,0.3024999797344208
cross,cross-1_0,mean,168.0,0.6800000071525574,0.3344999849796295
cross,cross-1_2,seed-0,140.0,0.5924999713897705,0.3349999785423279
cross,cross-1_2,seed-1,-80.0,0.5724999904632568,0.29999998211860657
cross,cross-1_2,seed-2,-100.0,0.4949999749660492,0.3100000023841858
cross,cross-1_2,seed-3,-40.0,0.6424999833106995,0.3425000011920929
cross,cross-1_2,seed-4,40.0,0.6175000071525574,0.3725000023841858
cross,cross-1_2,mean,-8.0,0.5840000510215759,0.3320000171661377
cross,cross-0_1,seed-0,20.0,0.5600000023841858,0.17249999940395355
cross,cross-0_1,seed-1,-20.0,0.5550000071525574,0.11999999731779099
cross,cross-0_1,seed-2,-120.0,0.5575000047683716,0.17999999225139618
cross,cross-0_1,seed-3,-60.0,0.5475000143051147,0.1574999988079071
cross,cross-0_1,seed-4,-20.0,0.5799999833106995,0.12999999523162842
cross,cross-0_1,mean,-40.0,0.5600000023841858,0.15199999511241913
cross,cross-0_2,seed-0,120.0,0.6974999904632568,0.4599999785423279
cross,cross-0_2,seed-1,-100.0,0.6899999976158142,0.23250000178813934
cross,cross-0_2,seed-2,80.0,0.7425000071525574,0.38499999046325684
cross,cross-0_2,seed-3,120.0,0.6624999642372131,0.3349999785423279
cross,cross-0_2,seed-4,40.0,0.6324999928474426,0.3125
cross,cross-0_2,mean,52.0,0.6850000023841858,0.3449999988079071
cross,cross-2_1,seed-0,-140.0,0.5724999904632568,0.19499999284744263
cross,cross-2_1,seed-1,-145.0,0.5299999713897705,0.19499999284744263
cross,cross-2_1,seed-2,-80.0,0.5774999856948853,0.1875
cross,cross-2_1,seed-3,-140.0,0.5324999690055847,0.2199999988079071
cross,cross-2_1,seed-4,60.0,0.6524999737739563,0.23999999463558197
cross,cross-2_1,mean,-89.0,0.5729999542236328,0.20750001072883606
cross,cross-2_0,seed-0,120.0,0.6049999594688416,0.3050000071525574
cross,cross-2_0,seed-1,100.0,0.6524999737739563,0.2849999964237213
cross,cross-2_0,seed-2,-20.0,0.5974999666213989,0.32249999046325684
cross,cross-2_0,seed-3,180.0,0.6649999618530273,0.3974999785423279
cross,cross-2_0,seed-4,20.0,0.6200000047683716,0.3349999785423279
cross,cross-2_0,mean,80.0,0.6279999613761902,0.32899999618530273
cross,cross-1_1,seed-0,180.0,0.7699999809265137,0.512499988079071
cross,cross-1_1,seed-1,180.0,0.762499988079071,0.48499998450279236
cross,cross-1_1,seed-2,160.0,0.7574999928474426,0.48749998211860657
cross,cross-1_1,seed-3,180.0,0.7949999570846558,0.48749998211860657
cross,cross-1_1,seed-4,180.0,0.7924999594688416,0.5174999833106995
cross,cross-1_1,mean,176.0,0.7754999995231628,0.49799996614456177
cross,cross-0_0,seed-0,180.0,0.7899999618530273,0.4949999749660492
cross,cross-0_0,seed-1,180.0,0.7924999594688416,0.4025000035762787
cross,cross-0_0,seed-2,180.0,0.7524999976158142,0.45249998569488525
cross,cross-0_0,seed-3,180.0,0.7824999690055847,0.5199999809265137
cross,cross-0_0,seed-4,180.0,0.8199999928474426,0.4099999964237213
cross,cross-0_0,mean,180.0,0.7875000238418579,0.4560000002384186
cross,cross-2_2,seed-0,80.0,0.8774999976158142,0.6899999976158142
cross,cross-2_2,seed-1,80.0,0.8849999904632568,0.6574999690055847
cross,cross-2_2,seed-2,80.0,0.8974999785423279,0.7074999809265137
cross,cross-2_2,seed-3,180.0,0.824999988079071,0.44999998807907104
cross,cross-2_2,seed-4,180.0,0.7699999809265137,0.4675000011920929
cross,cross-2_2,mean,120.0,0.8510000109672546,0.5945000052452087
