run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,2)_seed-0",0.0,0.017500000074505806,0.5949999690055847
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,2)_seed-1",0.0,0.08500000089406967,0.07000000029802322
cross,cross-1_4,"tilde-000_step-21400000_ego(3,4)_par(1,2)_seed-2",0.0,0.07750000059604645,0.14999999105930328
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,5)_seed-0",0.0,0.017500000074505806,0.5224999785423279
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,5)_seed-1",0.0,0.017500000074505806,0.5674999952316284
cross,cross-1_4,"tilde-001_step-5400000_ego(1,1)_par(3,5)_seed-2",0.0,0.03500000014901161,0.6349999904632568
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,4)_seed-0",0.0,0.014999999664723873,0.7724999785423279
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,4)_seed-1",0.0,0.014999999664723873,0.7199999690055847
cross,cross-1_4,"tilde-002_step-21800000_ego(1,4)_par(3,4)_seed-2",0.0,0.014999999664723873,0.7450000047683716
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-0",0.0,0.2474999874830246,0.5475000143051147
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-1",0.0,0.13750000298023224,0.2149999886751175
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-2",0.0,0.11249999701976776,0.2524999976158142
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,2)_seed-0",0.0,0.014999999664723873,0.6624999642372131
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,2)_seed-1",0.0,0.017500000074505806,0.4375
cross,cross-1_4,"tilde-004_step-14600000_ego(2,1)_par(3,2)_seed-2",0.0,0.017500000074505806,0.7574999928474426
cross,cross-1_4,"tilde-005_step-1400000_ego(1,6)_par(3,4)_seed-0",0.0,0.017500000074505806,0.7599999904632568
cross,cross-1_4,"tilde-005_step-1400000_ego(1,6)_par(3,4)_seed-1",0.0,0.017500000074505806,0.6875
cross,cross-1_4,"tilde-005_step-1400000_ego(1,6)_par(3,4)_seed-2",0.0,0.017500000074505806,0.737500011920929
cross,cross-1_4,"tilde-006_step-22800000_ego(1,4)_par(1,2)_seed-0",0.0,0.17499999701976776,0.3824999928474426
