run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,3)_seed-0",100.0,0.4724999964237213,0.4350000023841858
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,3)_seed-1",120.0,0.574999988079071,0.3999999761581421
cross,cross-1_4,"tilde-000_step-21400000_ego(3,3)_par(1,3)_seed-2",100.0,0.4975000023841858,0.375
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,6)_seed-0",140.0,0.6024999618530273,0.44749999046325684
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,6)_seed-1",160.0,0.6674999594688416,0.4599999785423279
cross,cross-1_4,"tilde-001_step-5400000_ego(1,3)_par(2,6)_seed-2",140.0,0.6150000095367432,0.4124999940395355
cross,cross-1_4,"tilde-002_step-21800000_ego(1,3)_par(2,6)_seed-0",140.0,0.6599999666213989,0.4675000011920929
cross,cross-1_4,"tilde-002_step-21800000_ego(1,3)_par(2,6)_seed-1",140.0,0.6175000071525574,0.41749998927116394
cross,cross-1_4,"tilde-002_step-21800000_ego(1,3)_par(2,6)_seed-2",120.0,0.574999988079071,0.48249998688697815
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-0",140.0,0.5674999952316284,0.45749998092651367
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-1",160.0,0.6424999833106995,0.4599999785423279
cross,cross-1_4,"tilde-003_step-16400000_ego(3,5)_par(3,6)_seed-2",140.0,0.612500011920929,0.4350000023841858
cross,cross-1_4,"tilde-004_step-14600000_ego(3,3)_par(3,5)_seed-0",140.0,0.5799999833106995,0.4624999761581421
cross,cross-1_4,"tilde-004_step-14600000_ego(3,3)_par(3,5)_seed-1",160.0,0.6524999737739563,0.44749999046325684
cross,cross-1_4,"tilde-004_step-14600000_ego(3,3)_par(3,5)_seed-2",140.0,0.6549999713897705,0.4699999988079071
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(2,6)_seed-0",140.0,0.6649999618530273,0.4375
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(2,6)_seed-1",120.0,0.6299999952316284,0.3400000035762787
cross,cross-1_4,"tilde-005_step-1400000_ego(3,2)_par(2,6)_seed-2",140.0,0.6150000095367432,0.4375
cross,cross-1_4,"tilde-006_step-22800000_ego(3,6)_par(2,6)_seed-0",160.0,0.612500011920929,0.4624999761581421
cross,cross-1_4,"tilde-006_step-22800000_ego(3,6)_par(2,6)_seed-1",160.0,0.6599999666213989,0.48499998450279236
cross,cross-1_4,"tilde-006_step-22800000_ego(3,6)_par(2,6)_seed-2",140.0,0.6299999952316284,0.4124999940395355
cross,cross-1_4,"tilde-007_step-22600000_ego(2,6)_par(3,3)_seed-0",100.0,0.45249998569488525,0.36249998211860657
