run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,0.0,0.5924999713897705,0.22499999403953552
cross,cross-1_0,seed-1,140.0,0.574999988079071,0.4099999964237213
cross,cross-1_0,seed-2,40.0,0.5849999785423279,0.3050000071525574
cross,cross-1_0,seed-3,60.0,0.6225000023841858,0.2549999952316284
cross,cross-1_0,seed-4,0.0,0.44999998807907104,0.2474999874830246
cross,cross-1_0,mean,48.0,0.5649999976158142,0.28849998116493225
cross,cross-1_2,seed-0,60.0,0.6924999952316284,0.4399999976158142
cross,cross-1_2,seed-1,60.0,0.5224999785423279,0.33249998092651367
cross,cross-1_2,seed-2,115.0,0.6899999976158142,0.33249998092651367
cross,cross-1_2,seed-3,160.0,0.7799999713897705,0.32499998807907104
cross,cross-1_2,seed-4,40.0,0.5649999976158142,0.4274999797344208
cross,cross-1_2,mean,87.0,0.6500000357627869,0.37150001525878906
cross,cross-0_1,seed-0,80.0,0.7024999856948853,0.2849999964237213
cross,cross-0_1,seed-1,-120.0,0.7299999594688416,0.25
cross,cross-0_1,seed-2,-40.0,0.6624999642372131,0.2750000059604645
cross,cross-0_1,seed-3,-120.0,0.6649999618530273,0.28999999165534973
cross,cross-0_1,seed-4,-160.0,0.6974999904632568,0.29999998211860657
cross,cross-0_1,mean,-72.0,0.6914999485015869,0.2799999713897705
cross,cross-0_2,seed-0,-100.0,0.6399999856948853,0.39499998092651367
cross,cross-0_2,seed-1,-80.0,0.6399999856948853,0.3774999976158142
cross,cross-0_2,seed-2,-120.0,0.5999999642372131,0.35999998450279236
cross,cross-0_2,seed-3,-160.0,0.6349999904632568,0.36249998211860657
cross,cross-0_2,seed-4,-160.0,0.6299999952316284,0.3700000047683716
cross,cross-0_2,mean,-124.0,0.6290000081062317,0.37299999594688416
cross,cross-2_1,seed-0,80.0,0.6100000143051147,0.29999998211860657
cross,cross-2_1,seed-1,20.0,0.6100000143051147,0.35999998450279236
cross,cross-2_1,seed-2,80.0,0.6699999570846558,0.25999999046325684
cross,cross-2_1,seed-3,100.0,0.6175000071525574,0.2849999964237213
cross,cross-2_1,seed-4,80.0,0.5649999976158142,0.32749998569488525
cross,cross-2_1,mean,72.0,0.6144999861717224,0.30649998784065247
cross,cross-2_0,seed-0,40.0,0.6024999618530273,0.38999998569488525
cross,cross-2_0,seed-1,120.0,0.6200000047683716,0.38749998807907104
cross,cross-2_0,seed-2,0.0,0.6024999618530273,0.3700000047683716
cross,cross-2_0,seed-3,80.0,0.5699999928474426,0.3974999785423279
cross,cross-2_0,seed-4,160.0,0.6324999928474426,0.4325000047683716
cross,cross-2_0,mean,80.0,0.6054999828338623,0.3955000340938568
cross,cross-1_1,seed-0,160.0,0.7049999833106995,0.4650000035762787
cross,cross-1_1,seed-1,180.0,0.762499988079071,0.4599999785423279
cross,cross-1_1,seed-2,180.0,0.7774999737739563,0.45499998331069946
cross,cross-1_1,seed-3,160.0,0.8424999713897705,0.375
cross,cross-1_1,seed-4,180.0,0.7749999761581421,0.4599999785423279
cross,cross-1_1,mean,172.0,0.7724999785423279,0.4429999887943268
cross,cross-0_0,seed-0,180.0,0.7924999594688416,0.492499977350235
cross,cross-0_0,seed-1,180.0,0.7799999713897705,0.5525000095367432
cross,cross-0_0,seed-2,160.0,0.7599999904632568,0.6399999856948853
cross,cross-0_0,seed-3,180.0,0.8050000071525574,0.5949999690055847
cross,cross-0_0,seed-4,160.0,0.7324999570846558,0.5774999856948853
cross,cross-0_0,mean,172.0,0.7739999890327454,0.5715000033378601
cross,cross-2_2,seed-0,160.0,0.8224999904632568,0.6349999904632568
cross,cross-2_2,seed-1,160.0,0.8399999737739563,0.47999998927116394
cross,cross-2_2,seed-2,160.0,0.8149999976158142,0.5874999761581421
cross,cross-2_2,seed-3,160.0,0.8199999928474426,0.6100000143051147
cross,cross-2_2,seed-4,160.0,0.8174999952316284,0.4699999988079071
cross,cross-2_2,mean,160.0,0.8229999542236328,0.5565000176429749
