run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,-40.0,0.5349999666213989,0.19749999046325684
cross,cross-1_0,seed-1,-120.0,0.6150000095367432,0.19999998807907104
cross,cross-1_0,seed-2,-80.0,0.6424999833106995,0.16499999165534973
cross,cross-1_0,seed-3,-160.0,0.637499988079071,0.1850000023841858
cross,cross-1_0,seed-4,-180.0,0.5849999785423279,0.22499999403953552
cross,cross-1_0,mean,-116.0,0.6030000448226929,0.19449999928474426
cross,cross-1_2,seed-0,-120.0,0.574999988079071,0.3024999797344208
cross,cross-1_2,seed-1,-100.0,0.5824999809265137,0.2849999964237213
cross,cross-1_2,seed-2,-100.0,0.5424999594688416,0.3149999976158142
cross,cross-1_2,seed-3,-80.0,0.625,0.29499998688697815
cross,cross-1_2,seed-4,-40.0,0.6549999713897705,0.3425000011920929
cross,cross-1_2,mean,-88.0,0.5960000157356262,0.30799999833106995
cross,cross-0_1,seed-0,-100.0,0.5199999809265137,0.41499999165534973
cross,cross-0_1,seed-1,-60.0,0.5799999833106995,0.492499977350235
cross,cross-0_1,seed-2,-140.0,0.550000011920929,0.4699999988079071
cross,cross-0_1,seed-3,-60.0,0.512499988079071,0.3149999976158142
cross,cross-0_1,seed-4,-60.0,0.5299999713897705,0.2750000059604645
cross,cross-0_1,mean,-84.0,0.5385000109672546,0.3934999704360962
cross,cross-0_2,seed-0,100.0,0.5974999666213989,0.29499998688697815
cross,cross-0_2,seed-1,140.0,0.5899999737739563,0.3400000035762787
cross,cross-0_2,seed-2,60.0,0.6150000095367432,0.38499999046325684
cross,cross-0_2,seed-3,180.0,0.5949999690055847,0.28999999165534973
cross,cross-0_2,seed-4,-80.0,0.5475000143051147,0.367499977350235
cross,cross-0_2,mean,80.0,0.5890000462532043,0.33549997210502625
cross,cross-2_1,seed-0,-100.0,0.6449999809265137,0.36249998211860657
cross,cross-2_1,seed-1,-120.0,0.625,0.3425000011920929
cross,cross-2_1,seed-2,-60.0,0.6524999737739563,0.3774999976158142
cross,cross-2_1,seed-3,-180.0,0.6200000047683716,0.29749998450279236
cross,cross-2_1,seed-4,-180.0,0.5649999976158142,0.3774999976158142
cross,cross-2_1,mean,-128.0,0.6215000152587891,0.351500004529953
cross,cross-2_0,seed-0,-80.0,0.5424999594688416,0.21249999105930328
cross,cross-2_0,seed-1,40.0,0.5699999928474426,0.17000000178813934
cross,cross-2_0,seed-2,0.0,0.5525000095367432,0.2449999898672104
cross,cross-2_0,seed-3,-20.0,0.35249999165534973,0.5899999737739563
cross,cross-2_0,seed-4,-20.0,0.3974999785423279,0.6474999785423279
cross,cross-2_0,mean,-16.0,0.4830000102519989,0.37299999594688416
cross,cross-1_1,seed-0,180.0,0.8075000047683716,0.3774999976158142
cross,cross-1_1,seed-1,180.0,0.8050000071525574,0.3400000035762787
cross,cross-1_1,seed-2,180.0,0.8299999833106995,0.3474999964237213
cross,cross-1_1,seed-3,180.0,0.8025000095367432,0.39249998331069946
cross,cross-1_1,seed-4,180.0,0.8474999666213989,0.4675000011920929
cross,cross-1_1,mean,180.0,0.8184999823570251,0.38499999046325684
cross,cross-0_0,seed-0,180.0,0.7649999856948853,0.492499977350235
cross,cross-0_0,seed-1,180.0,0.7674999833106995,0.4899999797344208
cross,cross-0_0,seed-2,180.0,0.7475000023841858,0.4949999749660492
cross,cross-0_0,seed-3,180.0,0.8125,0.4724999964237213
cross,cross-0_0,seed-4,180.0,0.7774999737739563,0.4724999964237213
cross,cross-0_0,mean,180.0,0.7739999890327454,0.484499990940094
cross,cross-2_2,seed-0,180.0,0.7099999785423279,0.44749999046325684
cross,cross-2_2,seed-1,180.0,0.7450000047683716,0.4099999964237213
cross,cross-2_2,seed-2,180.0,0.6949999928474426,0.41749998927116394
cross,cross-2_2,seed-3,180.0,0.7699999809265137,0.32999998331069946
cross,cross-2_2,seed-4,160.0,0.7124999761581421,0.4650000035762787
cross,cross-2_2,mean,176.0,0.7264999747276306,0.414000004529953
