run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,160.0,0.5575000047683716,0.6200000047683716
cross,cross-1_4,seed-1,160.0,0.5699999928474426,0.6775000095367432
cross,cross-1_4,seed-2,160.0,0.5874999761581421,0.6324999928474426
cross,cross-1_4,seed-3,140.0,0.5924999713897705,0.6100000143051147
cross,cross-1_4,seed-4,160.0,0.5649999976158142,0.5974999666213989
cross,cross-1_4,mean,156.0,0.5745000243186951,0.6274999976158142
cross,cross-1_3,seed-0,60.0,0.8700000047683716,0.8524999618530273
cross,cross-1_3,seed-1,160.0,0.6775000095367432,0.6024999618530273
cross,cross-1_3,seed-2,180.0,0.6399999856948853,0.4274999797344208
cross,cross-1_3,seed-3,120.0,0.4675000011920929,0.38999998569488525
cross,cross-1_3,seed-4,20.0,0.12999999523162842,0.14499999582767487
cross,cross-1_3,mean,108.0,0.5569999814033508,0.48350000381469727
cross,cross-1_0,seed-0,180.0,0.75,0.6100000143051147
cross,cross-1_0,seed-1,160.0,0.7699999809265137,0.5450000166893005
cross,cross-1_0,seed-2,180.0,0.6850000023841858,0.5274999737739563
cross,cross-1_0,seed-3,180.0,0.7099999785423279,0.5575000047683716
cross,cross-1_0,seed-4,160.0,0.6699999570846558,0.5824999809265137
cross,cross-1_0,mean,172.0,0.7170000076293945,0.5644999742507935
cross,cross-1_2,seed-0,20.0,0.7024999856948853,0.8799999952316284
cross,cross-1_2,seed-1,40.0,0.887499988079071,0.9024999737739563
cross,cross-1_2,seed-2,180.0,0.7074999809265137,0.675000011920929
cross,cross-1_2,seed-3,180.0,0.7049999833106995,0.6699999570846558
cross,cross-1_2,seed-4,160.0,0.6775000095367432,0.6624999642372131
cross,cross-1_2,mean,116.0,0.7360000014305115,0.7580000162124634
cross,cross-4_1,seed-0,160.0,0.6775000095367432,0.5224999785423279
cross,cross-4_1,seed-1,180.0,0.6949999928474426,0.5424999594688416
cross,cross-4_1,seed-2,160.0,0.6474999785423279,0.5899999737739563
cross,cross-4_1,seed-3,160.0,0.6649999618530273,0.4949999749660492
cross,cross-4_1,seed-4,160.0,0.6225000023841858,0.5575000047683716
cross,cross-4_1,mean,164.0,0.6614999771118164,0.5415000319480896
cross,cross-4_3,seed-0,160.0,0.6875,0.4724999964237213
cross,cross-4_3,seed-1,160.0,0.5450000166893005,0.5024999976158142
cross,cross-4_3,seed-2,100.0,0.8149999976158142,0.6800000071525574
cross,cross-4_3,seed-3,60.0,0.4375,0.8025000095367432
cross,cross-4_3,seed-4,140.0,0.7599999904632568,0.6299999952316284
cross,cross-4_3,mean,124.0,0.6490000486373901,0.6175000071525574
cross,cross-4_0,seed-0,160.0,0.7224999666213989,0.6699999570846558
cross,cross-4_0,seed-1,180.0,0.7224999666213989,0.6624999642372131
cross,cross-4_0,seed-2,140.0,0.6949999928474426,0.6649999618530273
cross,cross-4_0,seed-3,120.0,0.8149999976158142,0.7549999952316284
cross,cross-4_0,seed-4,120.0,0.7924999594688416,0.7799999713897705
cross,cross-4_0,mean,144.0,0.7494999766349792,0.7064999938011169
cross,cross-4_2,seed-0,120.0,0.6725000143051147,0.7174999713897705
cross,cross-4_2,seed-1,60.0,0.8399999737739563,0.8474999666213989
cross,cross-4_2,seed-2,140.0,0.6200000047683716,0.6274999976158142
cross,cross-4_2,seed-3,180.0,0.7124999761581421,0.6549999713897705
cross,cross-4_2,seed-4,160.0,0.6175000071525574,0.6899999976158142
cross,cross-4_2,mean,132.0,0.6925000548362732,0.7074999809265137
cross,cross-3_1,seed-0,180.0,0.5024999976158142,0.6150000095367432
cross,cross-3_1,seed-1,180.0,0.5149999856948853,0.5525000095367432
cross,cross-3_1,seed-2,180.0,0.4399999976158142,0.625
cross,cross-3_1,seed-3,160.0,0.4724999964237213,0.574999988079071
cross,cross-3_1,seed-4,160.0,0.5899999737739563,0.6424999833106995
cross,cross-3_1,mean,172.0,0.5040000081062317,0.6019999980926514
cross,cross-3_4,seed-0,80.0,0.6574999690055847,0.6574999690055847
cross,cross-3_4,seed-1,160.0,0.48749998211860657,0.6800000071525574
cross,cross-3_4,seed-2,160.0,0.5,0.6399999856948853
cross,cross-3_4,seed-3,160.0,0.5450000166893005,0.6899999976158142
cross,cross-3_4,seed-4,120.0,0.6674999594688416,0.7599999904632568
cross,cross-3_4,mean,136.0,0.5715000033378601,0.6855000257492065
cross,cross-3_0,seed-0,140.0,0.5424999594688416,0.6175000071525574
cross,cross-3_0,seed-1,180.0,0.637499988079071,0.6474999785423279
cross,cross-3_0,seed-2,140.0,0.5799999833106995,0.637499988079071
cross,cross-3_0,seed-3,160.0,0.6175000071525574,0.5799999833106995
cross,cross-3_0,seed-4,180.0,0.5899999737739563,0.5724999904632568
cross,cross-3_0,mean,160.0,0.593500018119812,0.6110000014305115
cross,cross-3_2,seed-0,180.0,0.5999999642372131,0.5575000047683716
cross,cross-3_2,seed-1,200.0,0.637499988079071,0.5824999809265137
cross,cross-3_2,seed-2,180.0,0.6049999594688416,0.6024999618530273
cross,cross-3_2,seed-3,180.0,0.5849999785423279,0.5974999666213989
cross,cross-3_2,seed-4,40.0,0.8624999523162842,0.20749999582767487
cross,cross-3_2,mean,156.0,0.6579999923706055,0.5094999670982361
cross,cross-0_1,seed-0,140.0,0.5699999928474426,0.737500011920929
cross,cross-0_1,seed-1,180.0,0.5600000023841858,0.6875
cross,cross-0_1,seed-2,180.0,0.6349999904632568,0.73499995470047
cross,cross-0_1,seed-3,180.0,0.5699999928474426,0.6899999976158142
cross,cross-0_1,seed-4,180.0,0.5774999856948853,0.7149999737739563
cross,cross-0_1,mean,172.0,0.5824999809265137,0.7129999995231628
cross,cross-0_4,seed-0,120.0,0.6225000023841858,0.6474999785423279
cross,cross-0_4,seed-1,160.0,0.6499999761581421,0.7849999666213989
cross,cross-0_4,seed-2,60.0,0.8224999904632568,0.9174999594688416
cross,cross-0_4,seed-3,40.0,0.875,0.23999999463558197
cross,cross-0_4,seed-4,180.0,0.6449999809265137,0.7324999570846558
cross,cross-0_4,mean,112.0,0.7229999899864197,0.6644999384880066
cross,cross-0_3,seed-0,160.0,0.6474999785423279,0.5824999809265137
cross,cross-0_3,seed-1,200.0,0.5774999856948853,0.675000011920929
cross,cross-0_3,seed-2,180.0,0.6049999594688416,0.6225000023841858
cross,cross-0_3,seed-3,180.0,0.5849999785423279,0.6225000023841858
cross,cross-0_3,seed-4,180.0,0.5824999809265137,0.6175000071525574
cross,cross-0_3,mean,180.0,0.5995000004768372,0.6240000128746033
cross,cross-0_2,seed-0,180.0,0.737500011920929,0.7074999809265137
cross,cross-0_2,seed-1,140.0,0.7674999833106995,0.7599999904632568
cross,cross-0_2,seed-2,160.0,0.5874999761581421,0.7049999833106995
cross,cross-0_2,seed-3,20.0,0.9074999690055847,0.8374999761581421
cross,cross-0_2,seed-4,180.0,0.6399999856948853,0.6599999666213989
cross,cross-0_2,mean,136.0,0.7279999852180481,0.7339999079704285
cross,cross-2_1,seed-0,180.0,0.612500011920929,0.6850000023841858
cross,cross-2_1,seed-1,180.0,0.6349999904632568,0.6850000023841858
cross,cross-2_1,seed-2,160.0,0.6775000095367432,0.6549999713897705
cross,cross-2_1,seed-3,180.0,0.6624999642372131,0.6825000047683716
cross,cross-2_1,seed-4,140.0,0.5874999761581421,0.6549999713897705
cross,cross-2_1,mean,168.0,0.6349999308586121,0.6725000143051147
cross,cross-2_4,seed-0,180.0,0.6899999976158142,0.7274999618530273
cross,cross-2_4,seed-1,80.0,0.8824999928474426,0.4675000011920929
cross,cross-2_4,seed-2,80.0,0.9049999713897705,0.8374999761581421
cross,cross-2_4,seed-3,180.0,0.6949999928474426,0.7149999737739563
cross,cross-2_4,seed-4,60.0,0.9174999594688416,0.8624999523162842
cross,cross-2_4,mean,116.0,0.8179999589920044,0.7219999432563782
cross,cross-2_3,seed-0,160.0,0.5974999666213989,0.612500011920929
cross,cross-2_3,seed-1,180.0,0.5999999642372131,0.574999988079071
cross,cross-2_3,seed-2,180.0,0.5699999928474426,0.5674999952316284
cross,cross-2_3,seed-3,180.0,0.5600000023841858,0.6324999928474426
cross,cross-2_3,seed-4,200.0,0.625,0.5674999952316284
cross,cross-2_3,mean,180.0,0.590499997138977,0.5910000205039978
cross,cross-2_0,seed-0,180.0,0.7074999809265137,0.6725000143051147
cross,cross-2_0,seed-1,200.0,0.7699999809265137,0.6474999785423279
cross,cross-2_0,seed-2,180.0,0.7174999713897705,0.7475000023841858
cross,cross-2_0,seed-3,180.0,0.7299999594688416,0.7324999570846558
cross,cross-2_0,seed-4,140.0,0.7799999713897705,0.79749995470047
cross,cross-2_0,mean,176.0,0.7409999966621399,0.719499945640564
cross,cross-1_1,seed-0,240.0,0.9049999713897705,0.8849999904632568
cross,cross-1_1,seed-1,240.0,0.887499988079071,0.887499988079071
cross,cross-1_1,seed-2,240.0,0.8700000047683716,0.9199999570846558
cross,cross-1_1,seed-3,240.0,0.9249999523162842,0.8999999761581421
cross,cross-1_1,seed-4,240.0,0.9174999594688416,0.8824999928474426
cross,cross-1_1,mean,240.0,0.9009999632835388,0.8950001001358032
cross,cross-4_4,seed-0,180.0,0.8100000023841858,0.8199999928474426
cross,cross-4_4,seed-1,180.0,0.8324999809265137,0.8100000023841858
cross,cross-4_4,seed-2,180.0,0.8075000047683716,0.8324999809265137
cross,cross-4_4,seed-3,180.0,0.8075000047683716,0.8499999642372131
cross,cross-4_4,seed-4,180.0,0.8299999833106995,0.8199999928474426
cross,cross-4_4,mean,180.0,0.8174999356269836,0.8265000581741333
cross,cross-3_3,seed-0,220.0,0.8125,0.762499988079071
cross,cross-3_3,seed-1,220.0,0.7799999713897705,0.7799999713897705
cross,cross-3_3,seed-2,200.0,0.7450000047683716,0.7849999666213989
cross,cross-3_3,seed-3,220.0,0.8149999976158142,0.7749999761581421
cross,cross-3_3,seed-4,220.0,0.762499988079071,0.7699999809265137
cross,cross-3_3,mean,216.0,0.7830000519752502,0.7745000123977661
cross,cross-0_0,seed-0,200.0,0.8424999713897705,0.9249999523162842
cross,cross-0_0,seed-1,200.0,0.9049999713897705,0.9724999666213989
cross,cross-0_0,seed-2,200.0,0.8624999523162842,0.9474999904632568
cross,cross-0_0,seed-3,200.0,0.8999999761581421,0.9274999499320984
cross,cross-0_0,seed-4,200.0,0.9099999666213989,0.9350000023841858
cross,cross-0_0,mean,200.0,0.8839999437332153,0.9415000081062317
cross,cross-2_2,seed-0,180.0,0.8025000095367432,0.7749999761581421
cross,cross-2_2,seed-1,200.0,0.7849999666213989,0.8499999642372131
cross,cross-2_2,seed-2,180.0,0.7924999594688416,0.7400000095367432
cross,cross-2_2,seed-3,180.0,0.8299999833106995,0.762499988079071
cross,cross-2_2,seed-4,200.0,0.8174999952316284,0.8075000047683716
cross,cross-2_2,mean,188.0,0.8054999709129333,0.7870000004768372
