run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,-120.0,0.5074999928474426,0.32999998331069946
cross,cross-1_0,seed-1,-120.0,0.5249999761581421,0.29249998927116394
cross,cross-1_0,seed-2,-20.0,0.887499988079071,0.22999998927116394
cross,cross-1_0,seed-3,20.0,0.5199999809265137,0.25999999046325684
cross,cross-1_0,seed-4,-265.0,0.5149999856948853,0.41999998688697815
cross,cross-1_0,mean,-101.0,0.5910000205039978,0.30649998784065247
cross,cross-1_2,seed-0,55.0,0.5575000047683716,0.3400000035762787
cross,cross-1_2,seed-1,80.0,0.5774999856948853,0.29749998450279236
cross,cross-1_2,seed-2,20.0,0.6274999976158142,0.3125
cross,cross-1_2,seed-3,0.0,0.6225000023841858,0.2800000011920929
cross,cross-1_2,seed-4,20.0,0.6225000023841858,0.25999999046325684
cross,cross-1_2,mean,35.0,0.6014999747276306,0.2980000078678131
cross,cross-0_1,seed-0,-190.0,0.5874999761581421,0.3974999785423279
cross,cross-0_1,seed-1,-210.0,0.5849999785423279,0.367499977350235
cross,cross-0_1,seed-2,-160.0,0.5299999713897705,0.35749998688697815
cross,cross-0_1,seed-3,-100.0,0.6100000143051147,0.3174999952316284
cross,cross-0_1,seed-4,-115.0,0.5949999690055847,0.3375000059604645
cross,cross-0_1,mean,-155.0,0.5814999938011169,0.3554999828338623
cross,cross-0_2,seed-0,-60.0,0.5799999833106995,0.3824999928474426
cross,cross-0_2,seed-1,-120.0,0.5525000095367432,0.3349999785423279
cross,cross-0_2,seed-2,-130.0,0.4749999940395355,0.375
cross,cross-0_2,seed-3,-100.0,0.5874999761581421,0.3700000047683716
cross,cross-0_2,seed-4,-160.0,0.5974999666213989,0.38749998807907104
cross,cross-0_2,mean,-114.0,0.5584999918937683,0.3699999749660492
cross,cross-2_1,seed-0,-180.0,0.5399999618530273,0.32749998569488525
cross,cross-2_1,seed-1,-180.0,0.512499988079071,0.2874999940395355
cross,cross-2_1,seed-2,-180.0,0.5374999642372131,0.41999998688697815
cross,cross-2_1,seed-3,-60.0,0.5849999785423279,0.3100000023841858
cross,cross-2_1,seed-4,-145.0,0.48499998450279236,0.3499999940395355
cross,cross-2_1,mean,-149.0,0.5320000052452087,0.33900001645088196
cross,cross-2_0,seed-0,-180.0,0.4675000011920929,0.5575000047683716
cross,cross-2_0,seed-1,-180.0,0.4724999964237213,0.5699999928474426
cross,cross-2_0,seed-2,-140.0,0.5424999594688416,0.5199999809265137
cross,cross-2_0,seed-3,-105.0,0.5274999737739563,0.3725000023841858
cross,cross-2_0,seed-4,20.0,0.6225000023841858,0.29249998927116394
cross,cross-2_0,mean,-117.0,0.5264999866485596,0.4625000059604645
cross,cross-1_1,seed-0,120.0,0.79749995470047,0.41999998688697815
cross,cross-1_1,seed-1,140.0,0.8149999976158142,0.5149999856948853
cross,cross-1_1,seed-2,120.0,0.762499988079071,0.429999977350235
cross,cross-1_1,seed-3,140.0,0.7949999570846558,0.429999977350235
cross,cross-1_1,seed-4,120.0,0.824999988079071,0.42499998211860657
cross,cross-1_1,mean,128.0,0.7990000247955322,0.4439999759197235
cross,cross-0_0,seed-0,180.0,0.75,0.5024999976158142
cross,cross-0_0,seed-1,180.0,0.7299999594688416,0.512499988079071
cross,cross-0_0,seed-2,180.0,0.7224999666213989,0.4949999749660492
cross,cross-0_0,seed-3,180.0,0.6924999952316284,0.5199999809265137
cross,cross-0_0,seed-4,180.0,0.7224999666213989,0.5424999594688416
cross,cross-0_0,mean,180.0,0.7234999537467957,0.5145000219345093
cross,cross-2_2,seed-0,175.0,0.7674999833106995,0.4624999761581421
cross,cross-2_2,seed-1,180.0,0.7749999761581421,0.4424999952316284
cross,cross-2_2,seed-2,180.0,0.7749999761581421,0.4274999797344208
cross,cross-2_2,seed-3,180.0,0.7849999666213989,0.4724999964237213
cross,cross-2_2,seed-4,180.0,0.8174999952316284,0.44999998807907104
cross,cross-2_2,mean,179.0,0.784000039100647,0.4509999752044678
