run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,120.0,0.47999998927116394,0.6549999713897705
cross,cross-1_4,seed-1,160.0,0.5699999928474426,0.6524999737739563
cross,cross-1_4,seed-2,180.0,0.5824999809265137,0.5924999713897705
cross,cross-1_4,seed-3,20.0,0.25999999046325684,0.4050000011920929
cross,cross-1_4,seed-4,100.0,0.38499999046325684,0.7124999761581421
cross,cross-1_4,mean,116.0,0.4554999768733978,0.6035000085830688
cross,cross-1_3,seed-0,120.0,0.5649999976158142,0.7574999928474426
cross,cross-1_3,seed-1,160.0,0.5,0.6775000095367432
cross,cross-1_3,seed-2,120.0,0.8050000071525574,0.7475000023841858
cross,cross-1_3,seed-3,140.0,0.5550000071525574,0.5724999904632568
cross,cross-1_3,seed-4,160.0,0.5399999618530273,0.6674999594688416
cross,cross-1_3,mean,140.0,0.593000054359436,0.684499979019165
cross,cross-1_0,seed-0,180.0,0.8050000071525574,0.7874999642372131
cross,cross-1_0,seed-1,140.0,0.6725000143051147,0.8424999713897705
cross,cross-1_0,seed-2,200.0,0.8075000047683716,0.8100000023841858
cross,cross-1_0,seed-3,180.0,0.8199999928474426,0.7874999642372131
cross,cross-1_0,seed-4,180.0,0.7924999594688416,0.79749995470047
cross,cross-1_0,mean,176.0,0.7794999480247498,0.8049999475479126
cross,cross-1_2,seed-0,160.0,0.5274999737739563,0.6899999976158142
cross,cross-1_2,seed-1,60.0,0.4724999964237213,0.637499988079071
cross,cross-1_2,seed-2,40.0,0.3999999761581421,0.6825000047683716
cross,cross-1_2,seed-3,100.0,0.38499999046325684,0.6699999570846558
cross,cross-1_2,seed-4,20.0,0.4274999797344208,0.6474999785423279
cross,cross-1_2,mean,76.0,0.44249996542930603,0.6654999852180481
cross,cross-4_1,seed-0,160.0,0.5550000071525574,0.4975000023841858
cross,cross-4_1,seed-1,20.0,0.8574999570846558,0.4975000023841858
cross,cross-4_1,seed-2,100.0,0.4599999785423279,0.5249999761581421
cross,cross-4_1,seed-3,180.0,0.5600000023841858,0.6175000071525574
cross,cross-4_1,seed-4,120.0,0.625,0.5024999976158142
cross,cross-4_1,mean,116.0,0.6114999651908875,0.5280000567436218
cross,cross-4_3,seed-0,200.0,0.6274999976158142,0.7199999690055847
cross,cross-4_3,seed-1,200.0,0.6175000071525574,0.6825000047683716
cross,cross-4_3,seed-2,200.0,0.6399999856948853,0.6699999570846558
cross,cross-4_3,seed-3,220.0,0.6299999952316284,0.6899999976158142
cross,cross-4_3,seed-4,200.0,0.6299999952316284,0.7324999570846558
cross,cross-4_3,mean,204.0,0.6290000081062317,0.6990000009536743
cross,cross-4_0,seed-0,200.0,0.675000011920929,0.6924999952316284
cross,cross-4_0,seed-1,180.0,0.6299999952316284,0.6549999713897705
cross,cross-4_0,seed-2,180.0,0.6599999666213989,0.6524999737739563
cross,cross-4_0,seed-3,180.0,0.6599999666213989,0.5625
cross,cross-4_0,seed-4,180.0,0.5799999833106995,0.6299999952316284
cross,cross-4_0,mean,184.0,0.640999972820282,0.6385000348091125
cross,cross-4_2,seed-0,220.0,0.6499999761581421,0.6674999594688416
