run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,160.0,0.6274999976158142,0.35249999165534973
cross,cross-1_0,seed-1,140.0,0.6825000047683716,0.32499998807907104
cross,cross-1_0,seed-2,120.0,0.6549999713897705,0.3174999952316284
cross,cross-1_0,seed-3,160.0,0.699999988079071,0.3149999976158142
cross,cross-1_0,seed-4,35.0,0.6599999666213989,0.3375000059604645
cross,cross-1_0,mean,123.0,0.6649999618530273,0.3294999897480011
cross,cross-1_2,seed-0,-20.0,0.5799999833106995,0.29249998927116394
cross,cross-1_2,seed-1,40.0,0.45749998092651367,0.3349999785423279
cross,cross-1_2,seed-2,100.0,0.5699999928474426,0.3174999952316284
cross,cross-1_2,seed-3,-100.0,0.5174999833106995,0.35999998450279236
cross,cross-1_2,seed-4,-20.0,0.6150000095367432,0.32999998331069946
cross,cross-1_2,mean,0.0,0.5479999780654907,0.3269999921321869
cross,cross-0_1,seed-0,140.0,0.7024999856948853,0.29499998688697815
cross,cross-0_1,seed-1,160.0,0.675000011920929,0.35749998688697815
cross,cross-0_1,seed-2,140.0,0.6674999594688416,0.4074999988079071
cross,cross-0_1,seed-3,140.0,0.5874999761581421,0.42249998450279236
cross,cross-0_1,seed-4,160.0,0.6899999976158142,0.367499977350235
cross,cross-0_1,mean,148.0,0.6645000576972961,0.3699999749660492
cross,cross-0_2,seed-0,40.0,0.5774999856948853,0.32999998331069946
cross,cross-0_2,seed-1,-100.0,0.4899999797344208,0.2849999964237213
cross,cross-0_2,seed-2,-20.0,0.42499998211860657,0.2800000011920929
cross,cross-0_2,seed-3,100.0,0.5324999690055847,0.3349999785423279
cross,cross-0_2,seed-4,120.0,0.574999988079071,0.35749998688697815
cross,cross-0_2,mean,28.0,0.5199999809265137,0.3174999952316284
cross,cross-2_1,seed-0,0.0,0.512499988079071,0.3425000011920929
cross,cross-2_1,seed-1,120.0,0.6024999618530273,0.22999998927116394
cross,cross-2_1,seed-2,160.0,0.5874999761581421,0.26999998092651367
cross,cross-2_1,seed-3,-40.0,0.5374999642372131,0.29999998211860657
cross,cross-2_1,seed-4,0.0,0.5149999856948853,0.3824999928474426
cross,cross-2_1,mean,48.0,0.5510000586509705,0.304999977350235
cross,cross-2_0,seed-0,-140.0,0.5374999642372131,0.45249998569488525
cross,cross-2_0,seed-1,-180.0,0.5349999666213989,0.42499998211860657
cross,cross-2_0,seed-2,-120.0,0.6200000047683716,0.42499998211860657
cross,cross-2_0,seed-3,-120.0,0.48499998450279236,0.33249998092651367
cross,cross-2_0,seed-4,-120.0,0.5149999856948853,0.4399999976158142
cross,cross-2_0,mean,-136.0,0.5385000109672546,0.41499996185302734
cross,cross-1_1,seed-0,160.0,0.7425000071525574,0.4675000011920929
cross,cross-1_1,seed-1,160.0,0.7324999570846558,0.3700000047683716
cross,cross-1_1,seed-2,160.0,0.7475000023841858,0.4350000023841858
cross,cross-1_1,seed-3,160.0,0.737500011920929,0.39499998092651367
cross,cross-1_1,seed-4,160.0,0.7299999594688416,0.42249998450279236
cross,cross-1_1,mean,160.0,0.7379999756813049,0.4179999828338623
cross,cross-0_0,seed-0,180.0,0.7124999761581421,0.4724999964237213
cross,cross-0_0,seed-1,180.0,0.7475000023841858,0.48499998450279236
cross,cross-0_0,seed-2,180.0,0.7524999976158142,0.4599999785423279
cross,cross-0_0,seed-3,180.0,0.7049999833106995,0.4650000035762787
cross,cross-0_0,seed-4,160.0,0.7324999570846558,0.550000011920929
cross,cross-0_0,mean,176.0,0.7300000190734863,0.4865000247955322
cross,cross-2_2,seed-0,120.0,0.7674999833106995,0.5424999594688416
cross,cross-2_2,seed-1,160.0,0.8125,0.4599999785423279
cross,cross-2_2,seed-2,100.0,0.7199999690055847,0.4899999797344208
cross,cross-2_2,seed-3,160.0,0.8149999976158142,0.4624999761581421
cross,cross-2_2,seed-4,160.0,0.762499988079071,0.42249998450279236
cross,cross-2_2,mean,140.0,0.7754999995231628,0.4754999577999115
