run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,160.0,0.5724999904632568,0.5249999761581421
cross,cross-1_4,seed-1,120.0,0.5349999666213989,0.5799999833106995
cross,cross-1_4,seed-2,160.0,0.574999988079071,0.5899999737739563
cross,cross-1_4,seed-3,160.0,0.6274999976158142,0.5774999856948853
cross,cross-1_4,seed-4,160.0,0.5575000047683716,0.5849999785423279
cross,cross-1_4,mean,152.0,0.5734999775886536,0.5715000033378601
cross,cross-1_3,seed-0,180.0,0.7749999761581421,0.7274999618530273
cross,cross-1_3,seed-1,180.0,0.7774999737739563,0.7400000095367432
cross,cross-1_3,seed-2,180.0,0.8174999952316284,0.7524999976158142
cross,cross-1_3,seed-3,160.0,0.7699999809265137,0.6725000143051147
cross,cross-1_3,seed-4,180.0,0.7649999856948853,0.7699999809265137
cross,cross-1_3,mean,176.0,0.7809999585151672,0.7325000166893005
cross,cross-1_0,seed-0,180.0,0.6274999976158142,0.7450000047683716
cross,cross-1_0,seed-1,180.0,0.6825000047683716,0.6825000047683716
cross,cross-1_0,seed-2,180.0,0.6150000095367432,0.7174999713897705
cross,cross-1_0,seed-3,180.0,0.6775000095367432,0.6775000095367432
cross,cross-1_0,seed-4,180.0,0.6225000023841858,0.6800000071525574
cross,cross-1_0,mean,180.0,0.6449999809265137,0.7005000114440918
cross,cross-1_2,seed-0,200.0,0.7924999594688416,0.7949999570846558
cross,cross-1_2,seed-1,200.0,0.7774999737739563,0.79749995470047
cross,cross-1_2,seed-2,180.0,0.699999988079071,0.75
cross,cross-1_2,seed-3,180.0,0.6674999594688416,0.7174999713897705
cross,cross-1_2,seed-4,200.0,0.7899999618530273,0.8100000023841858
cross,cross-1_2,mean,192.0,0.7455000281333923,0.7739999890327454
cross,cross-4_1,seed-0,140.0,0.5924999713897705,0.5199999809265137
cross,cross-4_1,seed-1,160.0,0.5174999833106995,0.6024999618530273
cross,cross-4_1,seed-2,120.0,0.5274999737739563,0.5974999666213989
cross,cross-4_1,seed-3,160.0,0.5424999594688416,0.5849999785423279
cross,cross-4_1,seed-4,160.0,0.6225000023841858,0.5575000047683716
cross,cross-4_1,mean,148.0,0.5604999661445618,0.5724999308586121
cross,cross-4_3,seed-0,140.0,0.6775000095367432,0.4650000035762787
cross,cross-4_3,seed-1,120.0,0.6699999570846558,0.5049999952316284
cross,cross-4_3,seed-2,160.0,0.6800000071525574,0.5099999904632568
cross,cross-4_3,seed-3,120.0,0.637499988079071,0.4099999964237213
cross,cross-4_3,seed-4,180.0,0.5974999666213989,0.5799999833106995
cross,cross-4_3,mean,144.0,0.6524999737739563,0.49400001764297485
cross,cross-4_0,seed-0,100.0,0.3974999785423279,0.4025000035762787
cross,cross-4_0,seed-1,120.0,0.48249998688697815,0.44999998807907104
cross,cross-4_0,seed-2,60.0,0.45499998331069946,0.4274999797344208
cross,cross-4_0,seed-3,100.0,0.3974999785423279,0.38999998569488525
cross,cross-4_0,seed-4,160.0,0.48249998688697815,0.4650000035762787
cross,cross-4_0,mean,108.0,0.44300004839897156,0.4270000159740448
cross,cross-4_2,seed-0,160.0,0.5324999690055847,0.6175000071525574
cross,cross-4_2,seed-1,120.0,0.6524999737739563,0.45499998331069946
cross,cross-4_2,seed-2,160.0,0.5999999642372131,0.5550000071525574
cross,cross-4_2,seed-3,160.0,0.6725000143051147,0.5099999904632568
cross,cross-4_2,seed-4,140.0,0.5475000143051147,0.5824999809265137
cross,cross-4_2,mean,148.0,0.6010000109672546,0.5440000295639038
cross,cross-3_1,seed-0,180.0,0.75,0.7475000023841858
cross,cross-3_1,seed-1,200.0,0.8224999904632568,0.7799999713897705
cross,cross-3_1,seed-2,180.0,0.7649999856948853,0.7924999594688416
cross,cross-3_1,seed-3,200.0,0.79749995470047,0.7949999570846558
cross,cross-3_1,seed-4,180.0,0.7774999737739563,0.7475000023841858
cross,cross-3_1,mean,188.0,0.7824999690055847,0.7724999785423279
cross,cross-3_4,seed-0,120.0,0.375,0.6474999785423279
cross,cross-3_4,seed-1,120.0,0.3999999761581421,0.5625
cross,cross-3_4,seed-2,140.0,0.4724999964237213,0.5575000047683716
cross,cross-3_4,seed-3,140.0,0.5349999666213989,0.5299999713897705
cross,cross-3_4,seed-4,160.0,0.512499988079071,0.6524999737739563
cross,cross-3_4,mean,136.0,0.45899996161460876,0.5900000333786011
cross,cross-3_0,seed-0,20.0,0.32499998807907104,0.45749998092651367
cross,cross-3_0,seed-1,140.0,0.4949999749660492,0.637499988079071
cross,cross-3_0,seed-2,40.0,0.23749999701976776,0.8399999737739563
cross,cross-3_0,seed-3,100.0,0.6200000047683716,0.48249998688697815
cross,cross-3_0,seed-4,160.0,0.574999988079071,0.5949999690055847
cross,cross-3_0,mean,92.0,0.4504999816417694,0.6025000214576721
cross,cross-3_2,seed-0,160.0,0.6074999570846558,0.6649999618530273
cross,cross-3_2,seed-1,160.0,0.612500011920929,0.6674999594688416
cross,cross-3_2,seed-2,180.0,0.6850000023841858,0.7475000023841858
cross,cross-3_2,seed-3,160.0,0.6825000047683716,0.6775000095367432
cross,cross-3_2,seed-4,160.0,0.5724999904632568,0.6825000047683716
cross,cross-3_2,mean,164.0,0.6320000290870667,0.6880000233650208
cross,cross-0_1,seed-0,180.0,0.7199999690055847,0.6499999761581421
cross,cross-0_1,seed-1,200.0,0.7024999856948853,0.637499988079071
cross,cross-0_1,seed-2,180.0,0.6800000071525574,0.6150000095367432
cross,cross-0_1,seed-3,180.0,0.6924999952316284,0.612500011920929
cross,cross-0_1,seed-4,180.0,0.6949999928474426,0.6574999690055847
cross,cross-0_1,mean,184.0,0.6980000138282776,0.6344999670982361
cross,cross-0_4,seed-0,40.0,0.20250000059604645,0.41999998688697815
cross,cross-0_4,seed-1,120.0,0.4274999797344208,0.47999998927116394
cross,cross-0_4,seed-2,80.0,0.2824999988079071,0.6574999690055847
cross,cross-0_4,seed-3,120.0,0.45499998331069946,0.5074999928474426
cross,cross-0_4,seed-4,100.0,0.38999998569488525,0.3725000023841858
cross,cross-0_4,mean,92.0,0.351500004529953,0.4874999523162842
cross,cross-0_3,seed-0,160.0,0.5649999976158142,0.6524999737739563
cross,cross-0_3,seed-1,80.0,0.7124999761581421,0.3125
cross,cross-0_3,seed-2,120.0,0.4599999785423279,0.6725000143051147
cross,cross-0_3,seed-3,140.0,0.5099999904632568,0.6324999928474426
cross,cross-0_3,seed-4,140.0,0.5399999618530273,0.6024999618530273
cross,cross-0_3,mean,128.0,0.5575000047683716,0.5745000243186951
cross,cross-0_2,seed-0,60.0,0.25999999046325684,0.2474999874830246
cross,cross-0_2,seed-1,40.0,0.367499977350235,0.16749998927116394
cross,cross-0_2,seed-2,40.0,0.6549999713897705,0.25999999046325684
cross,cross-0_2,seed-3,40.0,0.5874999761581421,0.22749999165534973
cross,cross-0_2,seed-4,120.0,0.5074999928474426,0.4375
cross,cross-0_2,mean,60.0,0.4754999577999115,0.2679999768733978
cross,cross-2_1,seed-0,180.0,0.7174999713897705,0.625
cross,cross-2_1,seed-1,160.0,0.7574999928474426,0.6725000143051147
cross,cross-2_1,seed-2,200.0,0.7774999737739563,0.6949999928474426
cross,cross-2_1,seed-3,200.0,0.7599999904632568,0.7199999690055847
