run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_0,seed-0,140.0,0.6725000143051147,0.42249998450279236
cross,cross-1_0,seed-1,140.0,0.7124999761581421,0.3700000047683716
cross,cross-1_0,seed-2,140.0,0.7099999785423279,0.4350000023841858
cross,cross-1_0,seed-3,140.0,0.6825000047683716,0.41999998688697815
cross,cross-1_0,seed-4,180.0,0.7124999761581421,0.42249998450279236
cross,cross-1_0,mean,148.0,0.6980000734329224,0.414000004529953
cross,cross-1_2,seed-0,0.0,0.6825000047683716,0.4050000011920929
cross,cross-1_2,seed-1,60.0,0.6549999713897705,0.5475000143051147
cross,cross-1_2,seed-2,80.0,0.6524999737739563,0.3824999928474426
cross,cross-1_2,seed-3,100.0,0.6175000071525574,0.41749998927116394
cross,cross-1_2,seed-4,80.0,0.7049999833106995,0.5324999690055847
cross,cross-1_2,mean,64.0,0.6625000238418579,0.4570000171661377
cross,cross-0_1,seed-0,100.0,0.6299999952316284,0.5324999690055847
cross,cross-0_1,seed-1,120.0,0.6324999928474426,0.3199999928474426
cross,cross-0_1,seed-2,120.0,0.6574999690055847,0.4975000023841858
cross,cross-0_1,seed-3,160.0,0.6549999713897705,0.3349999785423279
cross,cross-0_1,seed-4,-80.0,0.6225000023841858,0.5924999713897705
cross,cross-0_1,mean,84.0,0.6395000219345093,0.4554999768733978
cross,cross-0_2,seed-0,160.0,0.625,0.4050000011920929
cross,cross-0_2,seed-1,120.0,0.6150000095367432,0.35499998927116394
cross,cross-0_2,seed-2,160.0,0.6299999952316284,0.4074999988079071
cross,cross-0_2,seed-3,100.0,0.6599999666213989,0.44749999046325684
cross,cross-0_2,seed-4,100.0,0.7124999761581421,0.38499999046325684
cross,cross-0_2,mean,128.0,0.6484999656677246,0.4000000059604645
cross,cross-2_1,seed-0,40.0,0.6899999976158142,0.3199999928474426
cross,cross-2_1,seed-1,-80.0,0.6524999737739563,0.33249998092651367
cross,cross-2_1,seed-2,-80.0,0.6449999809265137,0.23999999463558197
cross,cross-2_1,seed-3,-160.0,0.5999999642372131,0.2474999874830246
cross,cross-2_1,seed-4,-165.0,0.6349999904632568,0.2549999952316284
cross,cross-2_1,mean,-89.0,0.6444999575614929,0.27900001406669617
cross,cross-2_0,seed-0,80.0,0.6699999570846558,0.367499977350235
cross,cross-2_0,seed-1,120.0,0.5625,0.39249998331069946
cross,cross-2_0,seed-2,140.0,0.625,0.3449999988079071
cross,cross-2_0,seed-3,100.0,0.6024999618530273,0.3199999928474426
cross,cross-2_0,seed-4,180.0,0.6449999809265137,0.32249999046325684
cross,cross-2_0,mean,124.0,0.6209999918937683,0.34950000047683716
cross,cross-1_1,seed-0,120.0,0.8100000023841858,0.5550000071525574
cross,cross-1_1,seed-1,160.0,0.8100000023841858,0.4325000047683716
cross,cross-1_1,seed-2,160.0,0.8174999952316284,0.5324999690055847
cross,cross-1_1,seed-3,160.0,0.8299999833106995,0.5299999713897705
cross,cross-1_1,seed-4,160.0,0.8399999737739563,0.550000011920929
cross,cross-1_1,mean,152.0,0.8215000033378601,0.5199999809265137
cross,cross-0_0,seed-0,180.0,0.824999988079071,0.4675000011920929
cross,cross-0_0,seed-1,180.0,0.8100000023841858,0.4399999976158142
cross,cross-0_0,seed-2,120.0,0.625,0.7049999833106995
cross,cross-0_0,seed-3,180.0,0.8399999737739563,0.48749998211860657
cross,cross-0_0,seed-4,180.0,0.8574999570846558,0.47999998927116394
cross,cross-0_0,mean,168.0,0.7915000319480896,0.515999972820282
cross,cross-2_2,seed-0,160.0,0.7774999737739563,0.5149999856948853
cross,cross-2_2,seed-1,140.0,0.8174999952316284,0.5349999666213989
cross,cross-2_2,seed-2,160.0,0.7874999642372131,0.5299999713897705
cross,cross-2_2,seed-3,160.0,0.7999999523162842,0.44999998807907104
cross,cross-2_2,seed-4,160.0,0.7774999737739563,0.4599999785423279
cross,cross-2_2,mean,156.0,0.7919999957084656,0.49799999594688416
