run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,320.0,0.8799999952316284,0.9099999666213989
cross,cross-1_4,seed-1,320.0,0.9124999642372131,0.8924999833106995
cross,cross-1_4,seed-2,320.0,0.9049999713897705,0.8650000095367432
cross,cross-1_4,seed-3,300.0,0.8449999690055847,0.8324999809265137
cross,cross-1_4,seed-4,320.0,0.9149999618530273,0.8700000047683716
cross,cross-1_4,mean,316.0,0.8914999961853027,0.8740000128746033
cross,cross-1_3,seed-0,300.0,0.8374999761581421,0.7799999713897705
cross,cross-1_3,seed-1,280.0,0.8050000071525574,0.7849999666213989
cross,cross-1_3,seed-2,280.0,0.8650000095367432,0.7724999785423279
cross,cross-1_3,seed-3,300.0,0.8174999952316284,0.824999988079071
cross,cross-1_3,seed-4,320.0,0.8324999809265137,0.8700000047683716
cross,cross-1_3,mean,296.0,0.8314999938011169,0.8064999580383301
cross,cross-1_0,seed-0,280.0,0.8125,0.824999988079071
cross,cross-1_0,seed-1,220.0,0.6225000023841858,0.6474999785423279
cross,cross-1_0,seed-2,300.0,0.8349999785423279,0.8474999666213989
cross,cross-1_0,seed-3,300.0,0.7999999523162842,0.8100000023841858
cross,cross-1_0,seed-4,260.0,0.7450000047683716,0.8125
cross,cross-1_0,mean,272.0,0.7630000114440918,0.7885000109672546
cross,cross-1_2,seed-0,240.0,0.6974999904632568,0.48249998688697815
cross,cross-1_2,seed-1,220.0,0.6674999594688416,0.5550000071525574
cross,cross-1_2,seed-2,240.0,0.6875,0.4724999964237213
cross,cross-1_2,seed-3,180.0,0.5149999856948853,0.5799999833106995
cross,cross-1_2,seed-4,140.0,0.4749999940395355,0.6499999761581421
cross,cross-1_2,mean,204.0,0.6085000038146973,0.5479999780654907
cross,cross-4_1,seed-0,300.0,0.8774999976158142,0.8549999594688416
cross,cross-4_1,seed-1,280.0,0.8474999666213989,0.8449999690055847
cross,cross-4_1,seed-2,300.0,0.8499999642372131,0.8274999856948853
cross,cross-4_1,seed-3,300.0,0.8499999642372131,0.8199999928474426
cross,cross-4_1,seed-4,300.0,0.8974999785423279,0.85999995470047
cross,cross-4_1,mean,296.0,0.8644999861717224,0.8414999842643738
cross,cross-4_3,seed-0,160.0,0.6175000071525574,0.6499999761581421
cross,cross-4_3,seed-1,220.0,0.7450000047683716,0.6725000143051147
cross,cross-4_3,seed-2,160.0,0.7849999666213989,0.8324999809265137
cross,cross-4_3,seed-3,40.0,0.9124999642372131,0.9375
cross,cross-4_3,seed-4,300.0,0.8050000071525574,0.7774999737739563
cross,cross-4_3,mean,176.0,0.7730000019073486,0.7739999890327454
cross,cross-4_0,seed-0,260.0,0.7049999833106995,0.7400000095367432
cross,cross-4_0,seed-1,240.0,0.6599999666213989,0.6924999952316284
cross,cross-4_0,seed-2,200.0,0.6624999642372131,0.6775000095367432
cross,cross-4_0,seed-3,200.0,0.6599999666213989,0.6674999594688416
cross,cross-4_0,seed-4,140.0,0.4050000011920929,0.5049999952316284
cross,cross-4_0,mean,208.0,0.6184999942779541,0.6565000414848328
cross,cross-4_2,seed-0,100.0,0.25999999046325684,0.7949999570846558
cross,cross-4_2,seed-1,120.0,0.7749999761581421,0.3100000023841858
cross,cross-4_2,seed-2,180.0,0.4624999761581421,0.6825000047683716
cross,cross-4_2,seed-3,140.0,0.7324999570846558,0.675000011920929
cross,cross-4_2,seed-4,200.0,0.5149999856948853,0.6200000047683716
cross,cross-4_2,mean,148.0,0.5489999651908875,0.6165000200271606
cross,cross-3_1,seed-0,280.0,0.8050000071525574,0.7799999713897705
cross,cross-3_1,seed-1,260.0,0.7749999761581421,0.7224999666213989
cross,cross-3_1,seed-2,260.0,0.7049999833106995,0.7649999856948853
cross,cross-3_1,seed-3,260.0,0.6949999928474426,0.7425000071525574
cross,cross-3_1,seed-4,280.0,0.7049999833106995,0.8199999928474426
cross,cross-3_1,mean,268.0,0.7369999289512634,0.765999972820282
cross,cross-3_4,seed-0,240.0,0.675000011920929,0.6449999809265137
cross,cross-3_4,seed-1,120.0,0.7599999904632568,0.7724999785423279
