run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,260.0,0.5949999690055847,0.5349999666213989
cross,cross-1_4,seed-1,260.0,0.5849999785423279,0.5475000143051147
cross,cross-1_4,seed-2,260.0,0.574999988079071,0.5550000071525574
cross,cross-1_4,seed-3,240.0,0.5849999785423279,0.5299999713897705
cross,cross-1_4,seed-4,240.0,0.5450000166893005,0.5349999666213989
cross,cross-1_4,mean,252.0,0.5770000219345093,0.5404999852180481
cross,cross-1_3,seed-0,260.0,0.5450000166893005,0.5724999904632568
cross,cross-1_3,seed-1,260.0,0.5649999976158142,0.5600000023841858
cross,cross-1_3,seed-2,260.0,0.5024999976158142,0.6200000047683716
cross,cross-1_3,seed-3,260.0,0.5550000071525574,0.5774999856948853
cross,cross-1_3,seed-4,260.0,0.5,0.5724999904632568
cross,cross-1_3,mean,260.0,0.5335000157356262,0.5805000066757202
cross,cross-1_0,seed-0,240.0,0.6150000095367432,0.5475000143051147
cross,cross-1_0,seed-1,240.0,0.6150000095367432,0.5424999594688416
cross,cross-1_0,seed-2,240.0,0.6150000095367432,0.550000011920929
cross,cross-1_0,seed-3,240.0,0.5974999666213989,0.5525000095367432
cross,cross-1_0,seed-4,240.0,0.574999988079071,0.5224999785423279
cross,cross-1_0,mean,240.0,0.6035000681877136,0.5429999828338623
cross,cross-1_2,seed-0,260.0,0.5424999594688416,0.5724999904632568
cross,cross-1_2,seed-1,260.0,0.5999999642372131,0.5600000023841858
cross,cross-1_2,seed-2,260.0,0.550000011920929,0.6024999618530273
cross,cross-1_2,seed-3,260.0,0.5649999976158142,0.5674999952316284
cross,cross-1_2,seed-4,260.0,0.5724999904632568,0.5799999833106995
cross,cross-1_2,mean,260.0,0.5659999847412109,0.5764999389648438
cross,cross-4_1,seed-0,260.0,0.5600000023841858,0.5924999713897705
cross,cross-4_1,seed-1,260.0,0.5274999737739563,0.5625
cross,cross-4_1,seed-2,260.0,0.550000011920929,0.5899999737739563
cross,cross-4_1,seed-3,260.0,0.5475000143051147,0.5999999642372131
cross,cross-4_1,seed-4,260.0,0.5374999642372131,0.6100000143051147
cross,cross-4_1,mean,260.0,0.5444999933242798,0.5910000205039978
cross,cross-4_3,seed-0,260.0,0.5450000166893005,0.5924999713897705
cross,cross-4_3,seed-1,260.0,0.5374999642372131,0.6150000095367432
cross,cross-4_3,seed-2,260.0,0.5199999809265137,0.5974999666213989
cross,cross-4_3,seed-3,260.0,0.5324999690055847,0.5824999809265137
cross,cross-4_3,seed-4,260.0,0.5299999713897705,0.5949999690055847
cross,cross-4_3,mean,260.0,0.5329999923706055,0.5964999794960022
cross,cross-4_0,seed-0,240.0,0.5274999737739563,0.5199999809265137
cross,cross-4_0,seed-1,240.0,0.5299999713897705,0.5949999690055847
cross,cross-4_0,seed-2,240.0,0.5625,0.5625
cross,cross-4_0,seed-3,240.0,0.5224999785423279,0.5475000143051147
cross,cross-4_0,seed-4,240.0,0.5625,0.5699999928474426
cross,cross-4_0,mean,240.0,0.5410000085830688,0.5589999556541443
cross,cross-4_2,seed-0,260.0,0.512499988079071,0.5550000071525574
cross,cross-4_2,seed-1,260.0,0.5224999785423279,0.5450000166893005
cross,cross-4_2,seed-2,240.0,0.5099999904632568,0.5450000166893005
cross,cross-4_2,seed-3,260.0,0.4724999964237213,0.6100000143051147
cross,cross-4_2,seed-4,260.0,0.5274999737739563,0.5475000143051147
cross,cross-4_2,mean,256.0,0.5090000033378601,0.5605000853538513
cross,cross-3_1,seed-0,240.0,0.5949999690055847,0.5349999666213989
cross,cross-3_1,seed-1,260.0,0.5699999928474426,0.5399999618530273
cross,cross-3_1,seed-2,260.0,0.5475000143051147,0.5274999737739563
cross,cross-3_1,seed-3,260.0,0.574999988079071,0.5600000023841858
cross,cross-3_1,seed-4,260.0,0.5949999690055847,0.5224999785423279
cross,cross-3_1,mean,256.0,0.5764999985694885,0.5370000004768372
cross,cross-3_4,seed-0,260.0,0.6024999618530273,0.512499988079071
cross,cross-3_4,seed-1,260.0,0.5525000095367432,0.5525000095367432
cross,cross-3_4,seed-2,260.0,0.5600000023841858,0.574999988079071
cross,cross-3_4,seed-3,260.0,0.5450000166893005,0.5324999690055847
cross,cross-3_4,seed-4,240.0,0.5525000095367432,0.5475000143051147
cross,cross-3_4,mean,256.0,0.5625,0.5440000891685486
cross,cross-3_0,seed-0,240.0,0.5874999761581421,0.5199999809265137
cross,cross-3_0,seed-1,240.0,0.5724999904632568,0.5199999809265137
cross,cross-3_0,seed-2,240.0,0.5849999785423279,0.5450000166893005
cross,cross-3_0,seed-3,240.0,0.5575000047683716,0.5374999642372131
cross,cross-3_0,seed-4,240.0,0.5625,0.5374999642372131
cross,cross-3_0,mean,240.0,0.5729999542236328,0.5320000052452087
cross,cross-3_2,seed-0,260.0,0.5949999690055847,0.5374999642372131
cross,cross-3_2,seed-1,260.0,0.5450000166893005,0.5974999666213989
cross,cross-3_2,seed-2,260.0,0.4949999749660492,0.5525000095367432
cross,cross-3_2,seed-3,260.0,0.550000011920929,0.5550000071525574
cross,cross-3_2,seed-4,260.0,0.4975000023841858,0.5699999928474426
cross,cross-3_2,mean,260.0,0.5364999771118164,0.5625
