run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,0.0,0.5575000047683716,0.16249999403953552
cross,cross-1_4,seed-1,0.0,0.3474999964237213,0.1525000035762787
cross,cross-1_4,seed-2,0.0,0.4949999749660492,0.29999998211860657
cross,cross-1_4,seed-3,0.0,0.3024999797344208,0.1599999964237213
cross,cross-1_4,seed-4,0.0,0.22749999165534973,0.20749999582767487
cross,cross-1_4,mean,0.0,0.38600000739097595,0.1964999884366989
cross,cross-1_3,seed-0,0.0,0.4375,0.2849999964237213
cross,cross-1_3,seed-1,0.0,0.5,0.3375000059604645
cross,cross-1_3,seed-2,20.0,0.375,0.23749999701976776
cross,cross-1_3,seed-3,0.0,0.2775000035762787,0.11499999463558197
cross,cross-1_3,seed-4,0.0,0.38499999046325684,0.2824999988079071
cross,cross-1_3,mean,4.0,0.39500001072883606,0.2515000104904175
cross,cross-1_0,seed-0,120.0,0.3174999952316284,0.5249999761581421
cross,cross-1_0,seed-1,140.0,0.3499999940395355,0.5600000023841858
cross,cross-1_0,seed-2,100.0,0.3149999976158142,0.4599999785423279
cross,cross-1_0,seed-3,80.0,0.28999999165534973,0.45249998569488525
cross,cross-1_0,seed-4,120.0,0.27250000834465027,0.5224999785423279
cross,cross-1_0,mean,112.0,0.30900001525878906,0.5040000081062317
cross,cross-1_2,seed-0,100.0,0.38749998807907104,0.5099999904632568
cross,cross-1_2,seed-1,80.0,0.367499977350235,0.5550000071525574
cross,cross-1_2,seed-2,60.0,0.44999998807907104,0.4074999988079071
cross,cross-1_2,seed-3,80.0,0.35249999165534973,0.4975000023841858
cross,cross-1_2,seed-4,100.0,0.4274999797344208,0.4899999797344208
cross,cross-1_2,mean,84.0,0.3969999849796295,0.492000013589859
cross,cross-4_1,seed-0,120.0,0.3799999952316284,0.5074999928474426
cross,cross-4_1,seed-1,160.0,0.4074999988079071,0.5874999761581421
cross,cross-4_1,seed-2,140.0,0.4124999940395355,0.5450000166893005
cross,cross-4_1,seed-3,160.0,0.3824999928474426,0.5899999737739563
cross,cross-4_1,seed-4,140.0,0.3449999988079071,0.5475000143051147
cross,cross-4_1,mean,144.0,0.3855000138282776,0.5555000305175781
cross,cross-4_3,seed-0,200.0,0.5324999690055847,0.6399999856948853
cross,cross-4_3,seed-1,200.0,0.4975000023841858,0.6725000143051147
cross,cross-4_3,seed-2,200.0,0.5450000166893005,0.6524999737739563
cross,cross-4_3,seed-3,200.0,0.5349999666213989,0.6725000143051147
cross,cross-4_3,seed-4,200.0,0.5149999856948853,0.6474999785423279
cross,cross-4_3,mean,200.0,0.5250000357627869,0.6570000052452087
cross,cross-4_0,seed-0,160.0,0.4375,0.6549999713897705
cross,cross-4_0,seed-1,160.0,0.38749998807907104,0.625
cross,cross-4_0,seed-2,140.0,0.367499977350235,0.5974999666213989
cross,cross-4_0,seed-3,160.0,0.3824999928474426,0.6100000143051147
cross,cross-4_0,seed-4,160.0,0.3974999785423279,0.6100000143051147
cross,cross-4_0,mean,156.0,0.3945000171661377,0.6194999814033508
cross,cross-4_2,seed-0,180.0,0.4424999952316284,0.699999988079071
cross,cross-4_2,seed-1,180.0,0.48749998211860657,0.6725000143051147
cross,cross-4_2,seed-2,160.0,0.4724999964237213,0.6800000071525574
cross,cross-4_2,seed-3,180.0,0.429999977350235,0.6474999785423279
cross,cross-4_2,seed-4,180.0,0.45499998331069946,0.6775000095367432
cross,cross-4_2,mean,176.0,0.45749998092651367,0.6755000352859497
cross,cross-3_1,seed-0,0.0,0.11999999731779099,0.5999999642372131
cross,cross-3_1,seed-1,0.0,0.17249999940395355,0.4099999964237213
cross,cross-3_1,seed-2,0.0,0.5249999761581421,0.05249999836087227
cross,cross-3_1,seed-3,20.0,0.5074999928474426,0.32749998569488525
cross,cross-3_1,seed-4,0.0,0.08249999582767487,0.3799999952316284
cross,cross-3_1,mean,4.0,0.2815000116825104,0.3540000021457672
cross,cross-3_4,seed-0,200.0,0.5475000143051147,0.6674999594688416
cross,cross-3_4,seed-1,200.0,0.5674999952316284,0.6699999570846558
cross,cross-3_4,seed-2,200.0,0.5649999976158142,0.6800000071525574
cross,cross-3_4,seed-3,200.0,0.5575000047683716,0.6674999594688416
cross,cross-3_4,seed-4,200.0,0.5799999833106995,0.6449999809265137
cross,cross-3_4,mean,200.0,0.5635000467300415,0.6660000085830688
cross,cross-3_0,seed-0,160.0,0.3774999976158142,0.6074999570846558
cross,cross-3_0,seed-1,100.0,0.29249998927116394,0.5949999690055847
cross,cross-3_0,seed-2,140.0,0.3125,0.6424999833106995
cross,cross-3_0,seed-3,160.0,0.3400000035762787,0.6399999856948853
cross,cross-3_0,seed-4,160.0,0.38999998569488525,0.5999999642372131
cross,cross-3_0,mean,144.0,0.3425000011920929,0.6169999241828918
cross,cross-3_2,seed-0,60.0,0.17749999463558197,0.2874999940395355
cross,cross-3_2,seed-1,140.0,0.3824999928474426,0.48249998688697815
cross,cross-3_2,seed-2,140.0,0.36249998211860657,0.5099999904632568
