run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,140.0,0.41749998927116394,0.5399999618530273
cross,cross-1_4,seed-1,60.0,0.1850000023841858,0.7949999570846558
cross,cross-1_4,seed-2,120.0,0.4274999797344208,0.5674999952316284
cross,cross-1_4,seed-3,100.0,0.3375000059604645,0.6074999570846558
cross,cross-1_4,seed-4,120.0,0.3400000035762787,0.625
cross,cross-1_4,mean,108.0,0.34150001406669617,0.6269999742507935
cross,cross-1_3,seed-0,140.0,0.5424999594688416,0.550000011920929
cross,cross-1_3,seed-1,180.0,0.5,0.6449999809265137
cross,cross-1_3,seed-2,180.0,0.5249999761581421,0.6324999928474426
cross,cross-1_3,seed-3,180.0,0.550000011920929,0.5974999666213989
cross,cross-1_3,seed-4,180.0,0.5074999928474426,0.6499999761581421
cross,cross-1_3,mean,172.0,0.5250000357627869,0.6149999499320984
cross,cross-1_0,seed-0,180.0,0.5674999952316284,0.4624999761581421
cross,cross-1_0,seed-1,140.0,0.5649999976158142,0.5399999618530273
cross,cross-1_0,seed-2,140.0,0.6049999594688416,0.6200000047683716
cross,cross-1_0,seed-3,140.0,0.5,0.574999988079071
cross,cross-1_0,seed-4,140.0,0.5249999761581421,0.5724999904632568
cross,cross-1_0,mean,148.0,0.5524999499320984,0.5540000200271606
cross,cross-1_2,seed-0,160.0,0.5,0.6800000071525574
cross,cross-1_2,seed-1,160.0,0.5999999642372131,0.6299999952316284
cross,cross-1_2,seed-2,160.0,0.5799999833106995,0.7475000023841858
cross,cross-1_2,seed-3,140.0,0.6024999618530273,0.6974999904632568
cross,cross-1_2,seed-4,160.0,0.5199999809265137,0.7749999761581421
cross,cross-1_2,mean,156.0,0.5604999661445618,0.7059999704360962
cross,cross-4_1,seed-0,40.0,0.737500011920929,0.6699999570846558
cross,cross-4_1,seed-1,120.0,0.5849999785423279,0.4399999976158142
cross,cross-4_1,seed-2,120.0,0.45249998569488525,0.3999999761581421
cross,cross-4_1,seed-3,80.0,0.5649999976158142,0.3449999988079071
cross,cross-4_1,seed-4,20.0,0.85999995470047,0.11499999463558197
cross,cross-4_1,mean,76.0,0.6399999856948853,0.39399999380111694
cross,cross-4_3,seed-0,160.0,0.3449999988079071,0.3725000023841858
cross,cross-4_3,seed-1,120.0,0.32749998569488525,0.3649999797344208
cross,cross-4_3,seed-2,20.0,0.73499995470047,0.7149999737739563
cross,cross-4_3,seed-3,80.0,0.41999998688697815,0.3125
cross,cross-4_3,seed-4,140.0,0.3024999797344208,0.3700000047683716
cross,cross-4_3,mean,104.0,0.4259999692440033,0.4269999563694
cross,cross-4_0,seed-0,140.0,0.3400000035762787,0.3174999952316284
cross,cross-4_0,seed-1,40.0,0.4350000023841858,0.23999999463558197
cross,cross-4_0,seed-2,140.0,0.26249998807907104,0.3125
cross,cross-4_0,seed-3,80.0,0.23999999463558197,0.29499998688697815
cross,cross-4_0,seed-4,40.0,0.19499999284744263,0.48249998688697815
cross,cross-4_0,mean,88.0,0.2944999635219574,0.3294999897480011
cross,cross-4_2,seed-0,140.0,0.32999998331069946,0.4124999940395355
cross,cross-4_2,seed-1,0.0,0.08249999582767487,0.29749998450279236
cross,cross-4_2,seed-2,120.0,0.2800000011920929,0.3824999928474426
cross,cross-4_2,seed-3,60.0,0.4975000023841858,0.2524999976158142
cross,cross-4_2,seed-4,100.0,0.29499998688697815,0.5399999618530273
cross,cross-4_2,mean,84.0,0.2970000207424164,0.37700000405311584
cross,cross-3_1,seed-0,180.0,0.44749999046325684,0.5849999785423279
cross,cross-3_1,seed-1,180.0,0.5649999976158142,0.5849999785423279
cross,cross-3_1,seed-2,180.0,0.574999988079071,0.5924999713897705
cross,cross-3_1,seed-3,40.0,0.4699999988079071,0.7699999809265137
cross,cross-3_1,seed-4,40.0,0.5575000047683716,0.7774999737739563
