run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,140.0,0.6324999928474426,0.675000011920929
cross,cross-1_4,seed-1,200.0,0.6299999952316284,0.5999999642372131
cross,cross-1_4,seed-2,200.0,0.6524999737739563,0.6150000095367432
cross,cross-1_4,seed-3,220.0,0.6624999642372131,0.6150000095367432
cross,cross-1_4,seed-4,180.0,0.6175000071525574,0.6175000071525574
cross,cross-1_4,mean,188.0,0.6389999985694885,0.624500036239624
cross,cross-1_3,seed-0,180.0,0.75,0.5699999928474426
cross,cross-1_3,seed-1,180.0,0.7475000023841858,0.5774999856948853
cross,cross-1_3,seed-2,180.0,0.7049999833106995,0.5625
cross,cross-1_3,seed-3,180.0,0.7299999594688416,0.5724999904632568
cross,cross-1_3,seed-4,180.0,0.762499988079071,0.5874999761581421
cross,cross-1_3,mean,180.0,0.7390000224113464,0.5740000009536743
cross,cross-1_0,seed-0,220.0,0.7099999785423279,0.7949999570846558
cross,cross-1_0,seed-1,200.0,0.6924999952316284,0.7574999928474426
cross,cross-1_0,seed-2,220.0,0.7274999618530273,0.7099999785423279
cross,cross-1_0,seed-3,200.0,0.7425000071525574,0.6974999904632568
cross,cross-1_0,seed-4,240.0,0.7224999666213989,0.7599999904632568
cross,cross-1_0,mean,216.0,0.718999981880188,0.7440000176429749
cross,cross-1_2,seed-0,200.0,0.612500011920929,0.6674999594688416
cross,cross-1_2,seed-1,140.0,0.5274999737739563,0.6024999618530273
cross,cross-1_2,seed-2,200.0,0.5974999666213989,0.6474999785423279
cross,cross-1_2,seed-3,200.0,0.6225000023841858,0.6274999976158142
cross,cross-1_2,seed-4,200.0,0.5899999737739563,0.6775000095367432
cross,cross-1_2,mean,188.0,0.5899999737739563,0.6445000171661377
cross,cross-4_1,seed-0,200.0,0.6049999594688416,0.6599999666213989
cross,cross-4_1,seed-1,200.0,0.6200000047683716,0.6225000023841858
cross,cross-4_1,seed-2,200.0,0.6449999809265137,0.6024999618530273
cross,cross-4_1,seed-3,200.0,0.6349999904632568,0.637499988079071
cross,cross-4_1,seed-4,200.0,0.637499988079071,0.6399999856948853
cross,cross-4_1,mean,200.0,0.6284999847412109,0.6324999928474426
cross,cross-4_3,seed-0,200.0,0.5799999833106995,0.6200000047683716
cross,cross-4_3,seed-1,200.0,0.6150000095367432,0.6474999785423279
cross,cross-4_3,seed-2,180.0,0.574999988079071,0.574999988079071
cross,cross-4_3,seed-3,200.0,0.5824999809265137,0.6225000023841858
cross,cross-4_3,seed-4,200.0,0.5949999690055847,0.5999999642372131
cross,cross-4_3,mean,196.0,0.5895000100135803,0.6129999756813049
cross,cross-4_0,seed-0,200.0,0.5024999976158142,0.6299999952316284
cross,cross-4_0,seed-1,200.0,0.5099999904632568,0.6499999761581421
cross,cross-4_0,seed-2,180.0,0.5299999713897705,0.6624999642372131
cross,cross-4_0,seed-3,220.0,0.5625,0.6599999666213989
cross,cross-4_0,seed-4,200.0,0.5399999618530273,0.5974999666213989
cross,cross-4_0,mean,200.0,0.5289999842643738,0.6399999856948853
cross,cross-4_2,seed-0,180.0,0.5724999904632568,0.6324999928474426
cross,cross-4_2,seed-1,200.0,0.5874999761581421,0.625
cross,cross-4_2,seed-2,200.0,0.5899999737739563,0.6399999856948853
cross,cross-4_2,seed-3,180.0,0.5450000166893005,0.6349999904632568
cross,cross-4_2,seed-4,200.0,0.5949999690055847,0.6150000095367432
cross,cross-4_2,mean,192.0,0.578000009059906,0.6294999718666077
cross,cross-3_1,seed-0,200.0,0.7400000095367432,0.7249999642372131
cross,cross-3_1,seed-1,180.0,0.5374999642372131,0.699999988079071
cross,cross-3_1,seed-2,180.0,0.6825000047683716,0.6725000143051147
cross,cross-3_1,seed-3,180.0,0.6175000071525574,0.7099999785423279
cross,cross-3_1,seed-4,200.0,0.7425000071525574,0.6699999570846558
cross,cross-3_1,mean,188.0,0.6639999747276306,0.6955000162124634
cross,cross-3_4,seed-0,180.0,0.5625,0.5525000095367432
cross,cross-3_4,seed-1,160.0,0.6150000095367432,0.5174999833106995
cross,cross-3_4,seed-2,160.0,0.5625,0.5274999737739563
cross,cross-3_4,seed-3,180.0,0.5724999904632568,0.5625
cross,cross-3_4,seed-4,200.0,0.5899999737739563,0.5199999809265137
cross,cross-3_4,mean,176.0,0.5805000066757202,0.5359999537467957
cross,cross-3_0,seed-0,160.0,0.5424999594688416,0.6924999952316284
cross,cross-3_0,seed-1,120.0,0.45499998331069946,0.5824999809265137
cross,cross-3_0,seed-2,60.0,0.7224999666213989,0.8675000071525574
cross,cross-3_0,seed-3,80.0,0.5424999594688416,0.8199999928474426
cross,cross-3_0,seed-4,80.0,0.762499988079071,0.8449999690055847
cross,cross-3_0,mean,100.0,0.6049999594688416,0.7615000009536743
cross,cross-3_2,seed-0,180.0,0.5149999856948853,0.7074999809265137
cross,cross-3_2,seed-1,180.0,0.5174999833106995,0.7149999737739563
cross,cross-3_2,seed-2,180.0,0.4949999749660492,0.6674999594688416
cross,cross-3_2,seed-3,180.0,0.5174999833106995,0.7024999856948853
cross,cross-3_2,seed-4,180.0,0.5024999976158142,0.6800000071525574
cross,cross-3_2,mean,180.0,0.5095000267028809,0.6945000290870667
cross,cross-0_1,seed-0,140.0,0.4975000023841858,0.8324999809265137
cross,cross-0_1,seed-1,180.0,0.6599999666213989,0.7599999904632568
cross,cross-0_1,seed-2,160.0,0.6775000095367432,0.7099999785423279
cross,cross-0_1,seed-3,100.0,0.6674999594688416,0.4650000035762787
cross,cross-0_1,seed-4,240.0,0.8149999976158142,0.675000011920929
cross,cross-0_1,mean,164.0,0.6635000109672546,0.6884999871253967
cross,cross-0_4,seed-0,220.0,0.6850000023841858,0.5424999594688416
cross,cross-0_4,seed-1,220.0,0.6974999904632568,0.5024999976158142
cross,cross-0_4,seed-2,200.0,0.6674999594688416,0.5249999761581421
cross,cross-0_4,seed-3,220.0,0.6800000071525574,0.550000011920929
cross,cross-0_4,seed-4,220.0,0.6649999618530273,0.5324999690055847
cross,cross-0_4,mean,216.0,0.6790000200271606,0.5304999947547913
cross,cross-0_3,seed-0,180.0,0.7274999618530273,0.5625
cross,cross-0_3,seed-1,160.0,0.7450000047683716,0.5450000166893005
cross,cross-0_3,seed-2,180.0,0.7174999713897705,0.6100000143051147
cross,cross-0_3,seed-3,140.0,0.7099999785423279,0.5625
cross,cross-0_3,seed-4,140.0,0.7199999690055847,0.6100000143051147
cross,cross-0_3,mean,160.0,0.7240000367164612,0.5780000686645508
cross,cross-0_2,seed-0,180.0,0.6949999928474426,0.5024999976158142
cross,cross-0_2,seed-1,200.0,0.6549999713897705,0.4724999964237213
cross,cross-0_2,seed-2,180.0,0.637499988079071,0.47999998927116394
cross,cross-0_2,seed-3,200.0,0.6299999952316284,0.4624999761581421
cross,cross-0_2,seed-4,180.0,0.7199999690055847,0.5249999761581421
cross,cross-0_2,mean,188.0,0.6674999594688416,0.48850002884864807
cross,cross-2_1,seed-0,180.0,0.6225000023841858,0.5899999737739563
cross,cross-2_1,seed-1,200.0,0.612500011920929,0.625
cross,cross-2_1,seed-2,200.0,0.6449999809265137,0.5799999833106995
cross,cross-2_1,seed-3,200.0,0.6725000143051147,0.5600000023841858
cross,cross-2_1,seed-4,120.0,0.7099999785423279,0.7699999809265137
cross,cross-2_1,mean,180.0,0.6525000333786011,0.6249999403953552
cross,cross-2_4,seed-0,200.0,0.6674999594688416,0.5724999904632568
cross,cross-2_4,seed-1,180.0,0.5799999833106995,0.5799999833106995
cross,cross-2_4,seed-2,200.0,0.6599999666213989,0.5899999737739563
cross,cross-2_4,seed-3,200.0,0.6649999618530273,0.5575000047683716
cross,cross-2_4,seed-4,200.0,0.6299999952316284,0.5899999737739563
cross,cross-2_4,mean,196.0,0.640500009059906,0.5779999494552612
cross,cross-2_3,seed-0,140.0,0.6649999618530273,0.6974999904632568
cross,cross-2_3,seed-1,140.0,0.6850000023841858,0.699999988079071
cross,cross-2_3,seed-2,160.0,0.7049999833106995,0.6274999976158142
cross,cross-2_3,seed-3,180.0,0.5399999618530273,0.6599999666213989
cross,cross-2_3,seed-4,140.0,0.6324999928474426,0.7099999785423279
cross,cross-2_3,mean,152.0,0.6454999446868896,0.6790000200271606
cross,cross-2_0,seed-0,200.0,0.4375,0.6649999618530273
cross,cross-2_0,seed-1,200.0,0.4424999952316284,0.6549999713897705
cross,cross-2_0,seed-2,200.0,0.5049999952316284,0.6549999713897705
cross,cross-2_0,seed-3,200.0,0.4599999785423279,0.6225000023841858
cross,cross-2_0,seed-4,200.0,0.5024999976158142,0.7024999856948853
cross,cross-2_0,mean,200.0,0.46950003504753113,0.6599999666213989
cross,cross-1_1,seed-0,260.0,0.9424999952316284,0.9274999499320984
cross,cross-1_1,seed-1,260.0,0.9449999928474426,0.949999988079071
cross,cross-1_1,seed-2,260.0,0.9424999952316284,0.9024999737739563
cross,cross-1_1,seed-3,260.0,0.9524999856948853,0.9249999523162842
cross,cross-1_1,seed-4,260.0,0.9674999713897705,0.9099999666213989
cross,cross-1_1,mean,260.0,0.949999988079071,0.9229999780654907
cross,cross-4_4,seed-0,200.0,0.7549999952316284,0.7574999928474426
cross,cross-4_4,seed-1,220.0,0.8174999952316284,0.7450000047683716
cross,cross-4_4,seed-2,200.0,0.762499988079071,0.7425000071525574
cross,cross-4_4,seed-3,220.0,0.7924999594688416,0.7649999856948853
cross,cross-4_4,seed-4,220.0,0.8050000071525574,0.7899999618530273
cross,cross-4_4,mean,212.0,0.7865000367164612,0.7600000500679016
cross,cross-3_3,seed-0,200.0,0.824999988079071,0.9300000071525574
cross,cross-3_3,seed-1,200.0,0.8424999713897705,0.8999999761581421
cross,cross-3_3,seed-2,180.0,0.8624999523162842,0.8624999523162842
cross,cross-3_3,seed-3,200.0,0.8399999737739563,0.9174999594688416
cross,cross-3_3,seed-4,200.0,0.8299999833106995,0.9124999642372131
cross,cross-3_3,mean,196.0,0.8399999737739563,0.9045000076293945
cross,cross-0_0,seed-0,280.0,0.9474999904632568,0.9449999928474426
cross,cross-0_0,seed-1,280.0,0.9274999499320984,0.9599999785423279
cross,cross-0_0,seed-2,280.0,0.9199999570846558,0.9375
cross,cross-0_0,seed-3,280.0,0.9249999523162842,0.9474999904632568
cross,cross-0_0,seed-4,280.0,0.8999999761581421,0.9599999785423279
cross,cross-0_0,mean,280.0,0.9239999651908875,0.949999988079071
cross,cross-2_2,seed-0,200.0,0.6674999594688416,0.6899999976158142
cross,cross-2_2,seed-1,180.0,0.6850000023841858,0.6574999690055847
cross,cross-2_2,seed-2,200.0,0.6574999690055847,0.73499995470047
cross,cross-2_2,seed-3,180.0,0.6850000023841858,0.699999988079071
cross,cross-2_2,seed-4,200.0,0.6850000023841858,0.7074999809265137
cross,cross-2_2,mean,192.0,0.6759999990463257,0.6980000138282776
