run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,200.0,0.6299999952316284,0.7224999666213989
cross,cross-1_4,seed-1,220.0,0.6599999666213989,0.73499995470047
cross,cross-1_4,seed-2,200.0,0.5924999713897705,0.6775000095367432
cross,cross-1_4,seed-3,200.0,0.5249999761581421,0.6899999976158142
cross,cross-1_4,seed-4,200.0,0.5349999666213989,0.7049999833106995
cross,cross-1_4,mean,204.0,0.5884999632835388,0.706000030040741
cross,cross-1_3,seed-0,160.0,0.6074999570846558,0.6049999594688416
cross,cross-1_3,seed-1,40.0,0.2849999964237213,0.5924999713897705
cross,cross-1_3,seed-2,180.0,0.5999999642372131,0.625
cross,cross-1_3,seed-3,180.0,0.6549999713897705,0.625
cross,cross-1_3,seed-4,140.0,0.48249998688697815,0.6175000071525574
cross,cross-1_3,mean,140.0,0.5259999632835388,0.6130000352859497
cross,cross-1_0,seed-0,180.0,0.7174999713897705,0.6974999904632568
cross,cross-1_0,seed-1,200.0,0.7224999666213989,0.7224999666213989
cross,cross-1_0,seed-2,180.0,0.6624999642372131,0.637499988079071
cross,cross-1_0,seed-3,160.0,0.6399999856948853,0.6225000023841858
cross,cross-1_0,seed-4,200.0,0.6775000095367432,0.6974999904632568
cross,cross-1_0,mean,184.0,0.6839999556541443,0.6754999756813049
cross,cross-1_2,seed-0,280.0,0.8899999856948853,0.8774999976158142
cross,cross-1_2,seed-1,280.0,0.8849999904632568,0.9399999976158142
cross,cross-1_2,seed-2,260.0,0.8174999952316284,0.92249995470047
cross,cross-1_2,seed-3,260.0,0.8374999761581421,0.9124999642372131
cross,cross-1_2,seed-4,260.0,0.8474999666213989,0.8574999570846558
cross,cross-1_2,mean,268.0,0.8554999232292175,0.9019999504089355
cross,cross-4_1,seed-0,220.0,0.7324999570846558,0.6699999570846558
cross,cross-4_1,seed-1,220.0,0.7599999904632568,0.6424999833106995
cross,cross-4_1,seed-2,200.0,0.6725000143051147,0.5174999833106995
cross,cross-4_1,seed-3,200.0,0.6699999570846558,0.6074999570846558
cross,cross-4_1,seed-4,200.0,0.6974999904632568,0.5174999833106995
cross,cross-4_1,mean,208.0,0.7064999938011169,0.5910000205039978
cross,cross-4_3,seed-0,160.0,0.5424999594688416,0.5550000071525574
cross,cross-4_3,seed-1,180.0,0.6800000071525574,0.550000011920929
cross,cross-4_3,seed-2,180.0,0.6524999737739563,0.6024999618530273
cross,cross-4_3,seed-3,160.0,0.5999999642372131,0.5949999690055847
cross,cross-4_3,seed-4,140.0,0.5674999952316284,0.6200000047683716
cross,cross-4_3,mean,164.0,0.6085000038146973,0.5845000147819519
cross,cross-4_0,seed-0,180.0,0.6200000047683716,0.6624999642372131
cross,cross-4_0,seed-1,200.0,0.7224999666213989,0.6725000143051147
cross,cross-4_0,seed-2,140.0,0.79749995470047,0.6875
cross,cross-4_0,seed-3,80.0,0.8725000023841858,0.8224999904632568
cross,cross-4_0,seed-4,180.0,0.762499988079071,0.5600000023841858
cross,cross-4_0,mean,156.0,0.7549999952316284,0.6809999942779541
cross,cross-4_2,seed-0,180.0,0.5974999666213989,0.6024999618530273
cross,cross-4_2,seed-1,220.0,0.6725000143051147,0.6200000047683716
cross,cross-4_2,seed-2,220.0,0.6725000143051147,0.5874999761581421
cross,cross-4_2,seed-3,220.0,0.6574999690055847,0.5949999690055847
cross,cross-4_2,seed-4,200.0,0.6150000095367432,0.6225000023841858
cross,cross-4_2,mean,208.0,0.6430000066757202,0.6054999828338623
cross,cross-3_1,seed-0,60.0,0.5349999666213989,0.7899999618530273
cross,cross-3_1,seed-1,80.0,0.6524999737739563,0.3799999952316284
cross,cross-3_1,seed-2,80.0,0.7699999809265137,0.5724999904632568
cross,cross-3_1,seed-3,100.0,0.75,0.4399999976158142
cross,cross-3_1,seed-4,180.0,0.5774999856948853,0.6649999618530273
cross,cross-3_1,mean,100.0,0.6570000052452087,0.5694999694824219
cross,cross-3_4,seed-0,0.0,0.9424999952316284,0.6974999904632568
cross,cross-3_4,seed-1,0.0,0.9049999713897705,0.3799999952316284
cross,cross-3_4,seed-2,60.0,0.6274999976158142,0.3774999976158142
cross,cross-3_4,seed-3,140.0,0.7124999761581421,0.5649999976158142
cross,cross-3_4,seed-4,0.0,0.7699999809265137,0.1224999949336052
cross,cross-3_4,mean,40.0,0.7915000319480896,0.4284999966621399
cross,cross-3_0,seed-0,160.0,0.6775000095367432,0.7174999713897705
cross,cross-3_0,seed-1,160.0,0.6649999618530273,0.7074999809265137
cross,cross-3_0,seed-2,160.0,0.6499999761581421,0.7099999785423279
cross,cross-3_0,seed-3,160.0,0.6449999809265137,0.7199999690055847
cross,cross-3_0,seed-4,160.0,0.6800000071525574,0.6875
cross,cross-3_0,mean,160.0,0.6635000109672546,0.7085000276565552
cross,cross-3_2,seed-0,0.0,0.6449999809265137,0.5324999690055847
cross,cross-3_2,seed-1,0.0,0.824999988079071,0.6424999833106995
cross,cross-3_2,seed-2,160.0,0.625,0.550000011920929
cross,cross-3_2,seed-3,40.0,0.6699999570846558,0.29999998211860657
cross,cross-3_2,seed-4,160.0,0.5799999833106995,0.6399999856948853
cross,cross-3_2,mean,72.0,0.668999969959259,0.5329999923706055
cross,cross-0_1,seed-0,200.0,0.7549999952316284,0.699999988079071
cross,cross-0_1,seed-1,200.0,0.6949999928474426,0.6899999976158142
cross,cross-0_1,seed-2,200.0,0.7174999713897705,0.699999988079071
cross,cross-0_1,seed-3,180.0,0.6574999690055847,0.6074999570846558
cross,cross-0_1,seed-4,200.0,0.7274999618530273,0.6699999570846558
cross,cross-0_1,mean,196.0,0.7105000019073486,0.6735000014305115
cross,cross-0_4,seed-0,200.0,0.6574999690055847,0.73499995470047
cross,cross-0_4,seed-1,100.0,0.8125,0.8824999928474426
cross,cross-0_4,seed-2,100.0,0.7874999642372131,0.7899999618530273
cross,cross-0_4,seed-3,100.0,0.7774999737739563,0.6100000143051147
cross,cross-0_4,seed-4,200.0,0.6850000023841858,0.73499995470047
cross,cross-0_4,mean,140.0,0.7439999580383301,0.750499963760376
cross,cross-0_3,seed-0,20.0,0.2149999886751175,0.8624999523162842
cross,cross-0_3,seed-1,160.0,0.7324999570846558,0.6474999785423279
cross,cross-0_3,seed-2,160.0,0.7124999761581421,0.6399999856948853
cross,cross-0_3,seed-3,20.0,0.2775000035762787,0.1525000035762787
cross,cross-0_3,seed-4,160.0,0.699999988079071,0.6274999976158142
cross,cross-0_3,mean,104.0,0.5274999737739563,0.5860000252723694
cross,cross-0_2,seed-0,180.0,0.625,0.6100000143051147
cross,cross-0_2,seed-1,180.0,0.6225000023841858,0.5625
cross,cross-0_2,seed-2,200.0,0.6624999642372131,0.7574999928474426
cross,cross-0_2,seed-3,180.0,0.6150000095367432,0.6200000047683716
cross,cross-0_2,seed-4,200.0,0.6924999952316284,0.7949999570846558
cross,cross-0_2,mean,188.0,0.6434999704360962,0.6690000891685486
cross,cross-2_1,seed-0,280.0,0.8549999594688416,0.9049999713897705
cross,cross-2_1,seed-1,280.0,0.9149999618530273,0.8774999976158142
cross,cross-2_1,seed-2,260.0,0.8974999785423279,0.8574999570846558
cross,cross-2_1,seed-3,280.0,0.8449999690055847,0.9074999690055847
cross,cross-2_1,seed-4,260.0,0.8774999976158142,0.8399999737739563
cross,cross-2_1,mean,272.0,0.8779999613761902,0.8774999976158142
cross,cross-2_4,seed-0,200.0,0.5199999809265137,0.6800000071525574
cross,cross-2_4,seed-1,120.0,0.7324999570846558,0.4050000011920929
cross,cross-2_4,seed-2,200.0,0.5525000095367432,0.6424999833106995
cross,cross-2_4,seed-3,220.0,0.5349999666213989,0.7149999737739563
cross,cross-2_4,seed-4,200.0,0.5600000023841858,0.5699999928474426
cross,cross-2_4,mean,188.0,0.5799999833106995,0.6024999618530273
cross,cross-2_3,seed-0,160.0,0.512499988079071,0.5600000023841858
cross,cross-2_3,seed-1,160.0,0.5999999642372131,0.5999999642372131
cross,cross-2_3,seed-2,160.0,0.5399999618530273,0.5724999904632568
cross,cross-2_3,seed-3,160.0,0.5849999785423279,0.5475000143051147
cross,cross-2_3,seed-4,160.0,0.6324999928474426,0.5550000071525574
cross,cross-2_3,mean,160.0,0.5740000009536743,0.5670000314712524
cross,cross-2_0,seed-0,220.0,0.7524999976158142,0.7099999785423279
cross,cross-2_0,seed-1,0.0,0.08749999850988388,0.0625
cross,cross-2_0,seed-2,120.0,0.4325000047683716,0.4375
cross,cross-2_0,seed-3,180.0,0.625,0.625
cross,cross-2_0,seed-4,180.0,0.6349999904632568,0.6049999594688416
cross,cross-2_0,mean,140.0,0.5065000057220459,0.4880000054836273
cross,cross-1_1,seed-0,260.0,0.9350000023841858,0.9399999976158142
cross,cross-1_1,seed-1,260.0,0.9350000023841858,0.9549999833106995
cross,cross-1_1,seed-2,280.0,0.9249999523162842,0.9474999904632568
cross,cross-1_1,seed-3,260.0,0.9300000071525574,0.9449999928474426
cross,cross-1_1,seed-4,260.0,0.9099999666213989,0.9399999976158142
cross,cross-1_1,mean,264.0,0.9270000457763672,0.9455000162124634
cross,cross-4_4,seed-0,260.0,0.9074999690055847,0.9149999618530273
cross,cross-4_4,seed-1,260.0,0.9149999618530273,0.9249999523162842
cross,cross-4_4,seed-2,280.0,0.9399999976158142,0.9199999570846558
cross,cross-4_4,seed-3,260.0,0.92249995470047,0.9049999713897705
