run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-1_4,seed-0,180.0,0.574999988079071,0.7224999666213989
cross,cross-1_4,seed-1,160.0,0.550000011920929,0.637499988079071
cross,cross-1_4,seed-2,180.0,0.6875,0.5649999976158142
cross,cross-1_4,seed-3,180.0,0.6100000143051147,0.7024999856948853
cross,cross-1_4,seed-4,180.0,0.5550000071525574,0.6200000047683716
cross,cross-1_4,mean,176.0,0.5955000519752502,0.6495000123977661
cross,cross-1_3,seed-0,100.0,0.5475000143051147,0.737500011920929
cross,cross-1_3,seed-1,80.0,0.3449999988079071,0.6150000095367432
cross,cross-1_3,seed-2,80.0,0.4099999964237213,0.42499998211860657
cross,cross-1_3,seed-3,180.0,0.7249999642372131,0.7199999690055847
cross,cross-1_3,seed-4,100.0,0.8574999570846558,0.47749999165534973
cross,cross-1_3,mean,108.0,0.5769999623298645,0.5949999690055847
cross,cross-1_0,seed-0,200.0,0.9124999642372131,0.9424999952316284
cross,cross-1_0,seed-1,220.0,0.9274999499320984,0.9524999856948853
cross,cross-1_0,seed-2,200.0,0.8725000023841858,0.8449999690055847
cross,cross-1_0,seed-3,200.0,0.9024999737739563,0.949999988079071
cross,cross-1_0,seed-4,200.0,0.8974999785423279,0.85999995470047
cross,cross-1_0,mean,204.0,0.9024999737739563,0.9100000262260437
cross,cross-1_2,seed-0,220.0,0.8050000071525574,0.8700000047683716
cross,cross-1_2,seed-1,220.0,0.7749999761581421,0.875
cross,cross-1_2,seed-2,200.0,0.7749999761581421,0.9024999737739563
cross,cross-1_2,seed-3,220.0,0.7899999618530273,0.8774999976158142
cross,cross-1_2,seed-4,200.0,0.7549999952316284,0.7924999594688416
cross,cross-1_2,mean,212.0,0.7800000309944153,0.8635000586509705
cross,cross-4_1,seed-0,140.0,0.5475000143051147,0.5399999618530273
cross,cross-4_1,seed-1,180.0,0.7149999737739563,0.5824999809265137
cross,cross-4_1,seed-2,160.0,0.5924999713897705,0.5774999856948853
cross,cross-4_1,seed-3,20.0,0.16499999165534973,0.17000000178813934
cross,cross-4_1,seed-4,160.0,0.6100000143051147,0.5974999666213989
