run_name,sp-mean,sp-std,xp-mean,xp-std,gap
20260216-104647_04d61n7i_grounded_coord_simple_e3t_ph1,172,13,-142,40,314
20260216-104647_i7lq2bg5_grounded_coord_simple_e3t_ph1,178,6,-10,149,188
20260216-104647_o39pfg51_grounded_coord_simple_e3t_ph1,160,12,2,90,158
20260216-122942_0sbjqc46_grounded_coord_simple_e3t_ph1,180,0,-90,79,270
20260216-122942_jp12tm1r_grounded_coord_simple_e3t_ph1,162,40,-63,119,225
20260216-122942_m4w2196v_grounded_coord_simple_e3t_ph1,176,12,-110,59,286
20260216-141010_0kosc5lu_grounded_coord_simple_e3t_ph1,172,23,-56,87,228
20260216-141010_f4i91tu3_grounded_coord_simple_e3t_ph1,180,0,14,174,166
20260216-141010_ftd9s5c9_grounded_coord_simple_e3t_ph1,180,0,-52,77,232
20260216-155424_4jkftc68_grounded_coord_simple_e3t_ph1,176,12,-114,53,290
20260216-155424_stahvkpw_grounded_coord_simple_e3t_ph1,172,13,-20,120,192
20260216-155424_wmkgqt6t_grounded_coord_simple_e3t_ph1,180,0,-44,71,224
20260216-173520_l6cmczwg_grounded_coord_simple_e3t_ph1,124,96,10,80,114
20260216-173520_lkue7bve_grounded_coord_simple_e3t_ph1,176,12,-132,48,308
20260216-173520_lsmci62f_grounded_coord_simple_e3t_ph1,172,9,-88,68,260
20260216-191620_4puxcomd_grounded_coord_simple_e3t_ph1,180,0,-16,71,196
20260216-191620_nbp3iipq_grounded_coord_simple_e3t_ph1,158,35,-36,120,194
20260216-191621_om5aw79t_grounded_coord_simple_e3t_ph1,180,0,-158,52,338
20260216-210027_68hz9wvq_grounded_coord_simple_e3t_ph1,172,18,-120,73,292
20260216-210027_cuu2q1w2_grounded_coord_simple_e3t_ph1,180,0,-2,64,182
20260216-210027_iv630zes_grounded_coord_simple_e3t_ph1,156,57,6,142,150
20260216-224424_gb9a7f0c_grounded_coord_simple_e3t_ph1,172,18,-118,54,290
20260216-224424_knawktsz_grounded_coord_simple_e3t_ph1,178,6,-46,62,224
20260216-224424_kswg8czh_grounded_coord_simple_e3t_ph1,174,9,-68,75,242
20260217-002846_8u1l358x_grounded_coord_simple_e3t_ph1,144,70,-66,68,210
20260217-002846_z3dorau1_grounded_coord_simple_e3t_ph1,180,1,72,51,108
20260217-002847_cvx0bx5h_grounded_coord_simple_e3t_ph1,94,78,-30,40,124
20260217-021200_decolv6k_grounded_coord_simple_e3t_ph1,176,8,-58,84,234
20260217-021200_lg0o59nv_grounded_coord_simple_e3t_ph1,170,13,-144,52,314
20260217-021200_oj35tv5a_grounded_coord_simple_e3t_ph1,170,23,14,124,156
20260217-035514_rf4rf3i4_grounded_coord_simple_e3t_ph1,172,13,-82,76,254
20260217-035514_sxhf8wrc_grounded_coord_simple_e3t_ph1,164,12,-48,82,212
20260217-035514_xyvd02uc_grounded_coord_simple_e3t_ph1,176,12,-134,43,310
20260217-053537_9dzm0e52_grounded_coord_simple_e3t_ph1,162,20,-102,51,264
20260217-053537_krayjd2a_grounded_coord_simple_e3t_ph1,180,0,-90,77,270
20260217-053537_rcxr08j8_grounded_coord_simple_e3t_ph1,174,12,-48,87,222
20260217-082725_pycrqxsr_grounded_coord_simple_e3t_ph1,162,10,-68,86,230
20260217-082726_ppw712o8_grounded_coord_simple_e3t_ph1,176,8,-38,68,214
20260217-082726_wx9z3prp_grounded_coord_simple_e3t_ph1,172,13,-126,97,298
20260217-101156_5bmecbk9_grounded_coord_simple_e3t_ph1,172,13,-118,70,290
20260217-101156_km3xivux_grounded_coord_simple_e3t_ph1,180,0,-96,86,276
20260217-101156_rr07l8os_grounded_coord_simple_e3t_ph1,172,16,-80,74,252
20260217-115615_51ql89qm_grounded_coord_simple_e3t_ph1,178,6,-68,112,246
20260217-115615_j5ef0s2g_grounded_coord_simple_e3t_ph1,172,13,-110,94,282
20260217-115615_nwivcrr1_grounded_coord_simple_e3t_ph1,176,12,-70,73,246
20260217-133828_0lghc2qj_grounded_coord_simple_e3t_ph1,172,13,-52,100,224
20260217-133828_bl5rpad0_grounded_coord_simple_e3t_ph1,162,46,-140,53,302
20260217-133828_htak6seo_grounded_coord_simple_e3t_ph1,156,51,-28,97,184
20260217-152138_ebb0677d_grounded_coord_simple_e3t_ph1,176,12,-156,26,332
20260217-152138_pucvfsmr_grounded_coord_simple_e3t_ph1,178,6,-40,106,218
20260217-152138_uuxqw4ty_grounded_coord_simple_e3t_ph1,176,8,-24,42,200
20260217-170148_xmjcvtsp_grounded_coord_simple_e3t_ph1,154,42,7,108,147
20260217-170149_7m7bk0c3_grounded_coord_simple_e3t_ph1,178,6,-62,57,240
20260217-170149_x5k1u93b_grounded_coord_simple_e3t_ph1,180,0,-118,85,298
20260217-184423_5tperc4p_counter_circuit_e3t_ph1,198,6,66,35,132
20260217-184423_nb1t37wy_counter_circuit_e3t_ph1,160,21,4,8,156
20260217-184424_cd5zk4po_counter_circuit_e3t_ph1,140,0,30,15,110
20260217-202948_u915nldp_counter_circuit_e3t_ph1,180,0,0,0,180
20260217-202949_nzlqbjtg_counter_circuit_e3t_ph1,170,10,4,8,166
20260217-202949_qgvue5na_counter_circuit_e3t_ph1,190,10,22,20,168
20260217-221714_2trl4le1_counter_circuit_e3t_ph1,170,10,0,0,170
20260217-221714_fflvomor_counter_circuit_e3t_ph1,170,10,88,29,82
20260217-221714_pyigg3j4_counter_circuit_e3t_ph1,180,21,40,15,140
20260218-000203_7pq2b416_counter_circuit_e3t_ph1,170,10,52,23,118
20260218-000203_dlbnweos_counter_circuit_e3t_ph1,180,0,0,0,180
20260218-000203_qwwznk1d_counter_circuit_e3t_ph1,190,31,0,0,190
20260218-014637_jfzrgfsi_counter_circuit_e3t_ph1,180,21,4,12,176
20260218-014637_r5s6c56t_counter_circuit_e3t_ph1,180,21,82,31,98
20260218-014637_w1l5y0oi_counter_circuit_e3t_ph1,164,8,64,63,100
20260218-033107_rptfhjt2_counter_circuit_e3t_ph1,160,21,0,0,160
20260218-033108_bv8pf3sg_counter_circuit_e3t_ph1,150,10,0,0,150
20260218-033108_ki2jnp7f_counter_circuit_e3t_ph1,170,10,8,16,162
20260218-051815_y11jo363_counter_circuit_e3t_ph1,170,10,40,22,130
20260218-051816_9l2vtexn_counter_circuit_e3t_ph1,180,21,68,39,112
20260218-051816_y74m99pd_counter_circuit_e3t_ph1,160,0,12,35,148
20260218-070501_246fdcod_counter_circuit_e3t_ph1,160,0,160,0,0
20260218-070501_257kcbk0_counter_circuit_e3t_ph1,180,0,38,22,142
20260218-070501_uv51f7o2_counter_circuit_e3t_ph1,190,10,44,34,146
20260218-085155_5uiske2j_counter_circuit_e3t_ph1,170,10,8,10,162
20260218-085155_bdcxylgn_counter_circuit_e3t_ph1,150,10,14,9,136
20260218-085155_efo48d3a_counter_circuit_e3t_ph1,180,21,40,30,140
20260218-103720_qq7t5vla_counter_circuit_e3t_ph1,190,10,28,15,162
20260218-103721_e5ouqbjx_counter_circuit_e3t_ph1,160,21,4,8,156
20260218-122459_310uidyp_counter_circuit_e3t_ph1,150,10,0,0,150
20260218-122459_gh24gk6y_counter_circuit_e3t_ph1,180,21,12,13,168
20260218-122459_nce429tr_counter_circuit_e3t_ph1,160,0,0,0,160
20260218-141024_ua6aj543_counter_circuit_e3t_ph1,160,0,80,21,80
20260218-141025_1en33o5g_counter_circuit_e3t_ph1,180,42,2,6,178
20260218-141025_p9woxawa_counter_circuit_e3t_ph1,180,0,8,15,172
20260219-011145_7rb2zok1_counter_circuit_e3t_ph1,160,0,52,49,108
20260219-031441_2o9ndoup_counter_circuit_e3t_ph1,180,21,20,23,160
20260219-031442_5244hps1_counter_circuit_e3t_ph1,170,10,24,19,146
20260218-103720_w4oqvyz2_counter_circuit_e3t_ph1,180,21,24,21,156
20260219-011145_rlw9v4hm_counter_circuit_e3t_ph1,190,10,34,28,156
20260219-011145_yzyl159f_counter_circuit_e3t_ph1,164,8,45,68,119
20260219-031442_xq1il78h_counter_circuit_e3t_ph1,160,0,10,13,150
20260219-052622_75h4sa8f_counter_circuit_e3t_ph1,180,0,100,38,80
20260219-052622_8aw74sn8_counter_circuit_e3t_ph1,180,0,46,40,134
20260219-052622_h64upd19_counter_circuit_e3t_ph1,160,0,0,0,160
20260219-073334_658a3d1y_counter_circuit_e3t_ph1,160,21,4,12,156
20260219-073334_ltjfdprl_counter_circuit_e3t_ph1,160,0,12,13,148
20260219-073334_ulrzss9m_counter_circuit_e3t_ph1,150,31,2,6,148
20260219-093747_6l2c31vj_counter_circuit_e3t_ph1,170,31,66,39,104
20260219-093747_boljrazs_counter_circuit_e3t_ph1,170,10,102,31,68
20260219-093747_z06rs82d_counter_circuit_e3t_ph1,170,10,62,46,108
20260222-114633_yf8zrk8n_grounded_coord_simple_e3t_ph2,150,31,-98,48,248
20260222-114724_pykwplwy_counter_circuit_e3t_ph2,100,104,4,8,96
20260223-013300_87jj8c1l_grounded_coord_simple_e3t_ph1,161,21,-48,74,209
20260224-000543_f7kp5qv0_counter_circuit_e3t_ph2,178,6,168,9,10
20260224-050447_sbg4bzd0_counter_circuit_e3t_ph2,180,0,112,31,68
20260224-100237_7xwqlw83_grounded_coord_simple_e3t_ph2,160,27,56,60,104
20260224-144936_ch89h91s_grounded_coord_simple_e3t_ph2,146,44,-24,85,170
20260225-090922_nqb7lahb_grounded_coord_simple_e3t_ph1,50,78,-12,52,62
20260225-121208_377o3otw_grounded_coord_simple_e3t_ph1,124,72,-38,77,162
20260225-151100_ce3tscrx_counter_circuit_e3t_ph1,43,74,1,4,42
20260225-175719_udtk6oeb_counter_circuit_e3t_ph1,169,27,19,47,150
20260225-204306_xuwe4ki5_grounded_coord_simple_e3t_ph1,48,76,-15,45,63
20260225-234304_ltu9h4y3_grounded_coord_simple_e3t_ph1,106,76,-34,74,140
20260226-024332_9ph7wcq6_counter_circuit_e3t_ph1,20,45,0,1,20
20260226-053020_dnrcpb5u_counter_circuit_e3t_ph1,169,35,17,37,152
20260226-090144_cn5qfm72_grounded_coord_simple_e3t_ph1,118,74,-41,77,159
20260226-115742_j3ni629d_grounded_coord_simple_e3t_ph1,98,80,-13,72,111
20260226-145719_5i1a87z0_counter_circuit_e3t_ph1,48,73,8,30,40
20260226-174415_ueh0npkk_counter_circuit_e3t_ph1,165,23,58,63,107
20260226-203018_t168x8so_grounded_coord_simple_e3t_ph1,120,72,-24,95,144
20260226-232657_sx5l64zm_grounded_coord_simple_e3t_ph1,115,80,-6,83,121
20260227-050453_g0j4v7cu_grounded_coord_simple_e3t_ph1,92,79,-27,77,119
20260227-075923_p74z3v8z_grounded_coord_simple_e3t_ph1,136,67,-29,105,165
20260227-110108_sqekigi0_counter_circuit_e3t_ph1,201,18,67,74,134
20260227-134718_7b24m1w8_counter_circuit_e3t_ph1,191,43,28,41,163
20260227-163419_a2hhctvp_grounded_coord_simple_e3t_ph1,151,41,-28,104,179
20260227-193747_buc2j6yb_grounded_coord_simple_e3t_ph1,102,72,-30,73,132
20260227-223829_9uvgmo5x_counter_circuit_e3t_ph1,201,43,113,68,88
20260228-012504_05ze3x4n_counter_circuit_e3t_ph1,175,26,20,38,155
20260301-064019_8b1js1go_counter_circuit_e3t_ph1,75,71,2,9,73
20260301-092633_1be6bh8k_counter_circuit_e3t_ph1,154,25,18,37,136
20260301-124719_59sfq9b3_grounded_coord_simple_e3t_ph1,89,83,-12,77,101
20260301-141234_4tw3i70p_counter_circuit_e3t_ph2,195,12,145,41,50
20260301-191653_79wrl2wy_counter_circuit_e3t_ph2,207,10,198,8,9
20260302-001949_htukq2u9_counter_circuit_e3t_ph2,204,39,140,48,64
20260302-034540_iw4hd8q6_grounded_coord_simple_e3t_ph1,88,80,25,88,63
20260302-052140_gahhogiz_counter_circuit_e3t_ph2,212,10,201,11,11
