run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,20.0,0.10249999910593033,0.05249999836087227
cross,cross-8_1,seed-1,80.0,0.5949999690055847,0.20749999582767487
cross,cross-8_1,seed-2,240.0,0.574999988079071,0.5600000023841858
cross,cross-8_1,seed-3,180.0,0.4399999976158142,0.38749998807907104
cross,cross-8_1,seed-4,220.0,0.512499988079071,0.48499998450279236
cross,cross-8_1,mean,148.0,0.445000022649765,0.3384999930858612
cross,cross-8_9,seed-0,260.0,0.512499988079071,0.4650000035762787
cross,cross-8_9,seed-1,120.0,0.26249998807907104,0.73499995470047
cross,cross-8_9,seed-2,260.0,0.5525000095367432,0.47999998927116394
cross,cross-8_9,seed-3,260.0,0.5099999904632568,0.4749999940395355
cross,cross-8_9,seed-4,260.0,0.47999998927116394,0.47749999165534973
cross,cross-8_9,mean,232.0,0.4634999930858612,0.5264999866485596
cross,cross-8_5,seed-0,240.0,0.5424999594688416,0.47999998927116394
cross,cross-8_5,seed-1,240.0,0.550000011920929,0.4724999964237213
cross,cross-8_5,seed-2,240.0,0.5550000071525574,0.48499998450279236
cross,cross-8_5,seed-3,220.0,0.5274999737739563,0.5049999952316284
cross,cross-8_5,seed-4,240.0,0.5224999785423279,0.5174999833106995
cross,cross-8_5,mean,236.0,0.5394999980926514,0.492000013589859
cross,cross-8_4,seed-0,260.0,0.5349999666213989,0.5525000095367432
cross,cross-8_4,seed-1,160.0,0.6825000047683716,0.7074999809265137
cross,cross-8_4,seed-2,260.0,0.5249999761581421,0.5799999833106995
cross,cross-8_4,seed-3,160.0,0.7099999785423279,0.7249999642372131
cross,cross-8_4,seed-4,80.0,0.8549999594688416,0.8549999594688416
cross,cross-8_4,mean,184.0,0.6614999771118164,0.6839999556541443
cross,cross-8_3,seed-0,100.0,0.19749999046325684,0.8274999856948853
cross,cross-8_3,seed-1,240.0,0.4899999797344208,0.5674999952316284
cross,cross-8_3,seed-2,240.0,0.5,0.5974999666213989
cross,cross-8_3,seed-3,20.0,0.9599999785423279,0.949999988079071
cross,cross-8_3,seed-4,240.0,0.45499998331069946,0.5450000166893005
cross,cross-8_3,mean,168.0,0.5205000042915344,0.6974999904632568
cross,cross-8_0,seed-0,240.0,0.5575000047683716,0.5174999833106995
cross,cross-8_0,seed-1,240.0,0.5049999952316284,0.5
cross,cross-8_0,seed-2,120.0,0.7799999713897705,0.29499998688697815
cross,cross-8_0,seed-3,240.0,0.5299999713897705,0.5174999833106995
cross,cross-8_0,seed-4,240.0,0.5849999785423279,0.5699999928474426
cross,cross-8_0,mean,216.0,0.5914999842643738,0.47999998927116394
cross,cross-8_2,seed-0,160.0,0.3474999964237213,0.32499998807907104
cross,cross-8_2,seed-1,100.0,0.2449999898672104,0.23749999701976776
cross,cross-8_2,seed-2,0.0,0.009999999776482582,0.004999999888241291
cross,cross-8_2,seed-3,0.0,0.009999999776482582,0.004999999888241291
cross,cross-8_2,seed-4,180.0,0.42249998450279236,0.4025000035762787
cross,cross-8_2,mean,88.0,0.2070000022649765,0.19500000774860382
cross,cross-8_6,seed-0,240.0,0.5575000047683716,0.5299999713897705
cross,cross-8_6,seed-1,240.0,0.5674999952316284,0.5600000023841858
cross,cross-8_6,seed-2,240.0,0.5424999594688416,0.5774999856948853
cross,cross-8_6,seed-3,240.0,0.5849999785423279,0.5674999952316284
cross,cross-8_6,seed-4,240.0,0.48249998688697815,0.5424999594688416
cross,cross-8_6,mean,240.0,0.5470000505447388,0.5554999709129333
cross,cross-8_7,seed-0,160.0,0.7224999666213989,0.39499998092651367
cross,cross-8_7,seed-1,240.0,0.5600000023841858,0.5
cross,cross-8_7,seed-2,240.0,0.5824999809265137,0.5099999904632568
cross,cross-8_7,seed-3,240.0,0.6399999856948853,0.5724999904632568
cross,cross-8_7,seed-4,240.0,0.5774999856948853,0.5374999642372131
cross,cross-8_7,mean,224.0,0.6165000200271606,0.5029999613761902
cross,cross-1_8,seed-0,220.0,0.5199999809265137,0.48749998211860657
cross,cross-1_8,seed-1,240.0,0.5450000166893005,0.5475000143051147
cross,cross-1_8,seed-2,180.0,0.38749998807907104,0.44749999046325684
cross,cross-1_8,seed-3,240.0,0.6274999976158142,0.550000011920929
cross,cross-1_8,seed-4,220.0,0.4975000023841858,0.5024999976158142
cross,cross-1_8,mean,220.0,0.515500009059906,0.5070000290870667
cross,cross-1_9,seed-0,100.0,0.2199999988079071,0.22749999165534973
cross,cross-1_9,seed-1,40.0,0.0949999988079071,0.10249999910593033
cross,cross-1_9,seed-2,80.0,0.1850000023841858,0.1824999898672104
cross,cross-1_9,seed-3,40.0,0.09999999403953552,0.09999999403953552
cross,cross-1_9,seed-4,180.0,0.35999998450279236,0.3649999797344208
cross,cross-1_9,mean,88.0,0.19200001657009125,0.19550000131130219
cross,cross-1_5,seed-0,240.0,0.6449999809265137,0.5550000071525574
cross,cross-1_5,seed-1,240.0,0.637499988079071,0.6049999594688416
cross,cross-1_5,seed-2,240.0,0.6274999976158142,0.5699999928474426
cross,cross-1_5,seed-3,220.0,0.5824999809265137,0.5149999856948853
cross,cross-1_5,seed-4,140.0,0.3999999761581421,0.8050000071525574
cross,cross-1_5,mean,216.0,0.578499972820282,0.6100000143051147
cross,cross-1_4,seed-0,60.0,0.17999999225139618,0.14000000059604645
cross,cross-1_4,seed-1,180.0,0.45499998331069946,0.5099999904632568
cross,cross-1_4,seed-2,60.0,0.17499999701976776,0.887499988079071
cross,cross-1_4,seed-3,180.0,0.42499998211860657,0.4350000023841858
cross,cross-1_4,seed-4,120.0,0.2824999988079071,0.2824999988079071
cross,cross-1_4,mean,120.0,0.3035000264644623,0.4509999752044678
cross,cross-1_3,seed-0,240.0,0.5074999928474426,0.5849999785423279
cross,cross-1_3,seed-1,200.0,0.48749998211860657,0.699999988079071
cross,cross-1_3,seed-2,240.0,0.4699999988079071,0.6524999737739563
cross,cross-1_3,seed-3,240.0,0.5349999666213989,0.5999999642372131
cross,cross-1_3,seed-4,60.0,0.4749999940395355,0.1850000023841858
cross,cross-1_3,mean,196.0,0.4949999749660492,0.5444999933242798
cross,cross-1_0,seed-0,240.0,0.6875,0.6649999618530273
cross,cross-1_0,seed-1,240.0,0.6200000047683716,0.6024999618530273
cross,cross-1_0,seed-2,220.0,0.6324999928474426,0.5849999785423279
cross,cross-1_0,seed-3,220.0,0.612500011920929,0.6049999594688416
cross,cross-1_0,seed-4,240.0,0.637499988079071,0.5774999856948853
cross,cross-1_0,mean,232.0,0.6380000114440918,0.6069999933242798
cross,cross-1_2,seed-0,240.0,0.5600000023841858,0.6349999904632568
cross,cross-1_2,seed-1,240.0,0.5974999666213989,0.5949999690055847
cross,cross-1_2,seed-2,240.0,0.5699999928474426,0.5974999666213989
cross,cross-1_2,seed-3,260.0,0.5550000071525574,0.6424999833106995
cross,cross-1_2,seed-4,220.0,0.5049999952316284,0.675000011920929
cross,cross-1_2,mean,240.0,0.5575000047683716,0.6290000081062317
cross,cross-1_6,seed-0,80.0,0.16499999165534973,0.2149999886751175
cross,cross-1_6,seed-1,240.0,0.5174999833106995,0.6074999570846558
cross,cross-1_6,seed-2,160.0,0.3799999952316284,0.38999998569488525
cross,cross-1_6,seed-3,240.0,0.5575000047683716,0.5949999690055847
cross,cross-1_6,seed-4,160.0,0.3499999940395355,0.39499998092651367
cross,cross-1_6,mean,176.0,0.39400002360343933,0.4404999911785126
cross,cross-1_7,seed-0,20.0,0.07999999821186066,0.08749999850988388
cross,cross-1_7,seed-1,140.0,0.3700000047683716,0.38999998569488525
cross,cross-1_7,seed-2,20.0,0.07750000059604645,0.08249999582767487
cross,cross-1_7,seed-3,40.0,0.13750000298023224,0.14499999582767487
cross,cross-1_7,seed-4,20.0,0.08749999850988388,0.08500000089406967
cross,cross-1_7,mean,48.0,0.15049998462200165,0.15799999237060547
cross,cross-9_8,seed-0,200.0,0.4025000035762787,0.42499998211860657
cross,cross-9_8,seed-1,260.0,0.4350000023841858,0.4899999797344208
cross,cross-9_8,seed-2,100.0,0.1850000023841858,0.2474999874830246
cross,cross-9_8,seed-3,80.0,0.17249999940395355,0.1850000023841858
cross,cross-9_8,seed-4,260.0,0.4624999761581421,0.48249998688697815
cross,cross-9_8,mean,180.0,0.33150002360343933,0.3659999668598175
cross,cross-9_1,seed-0,160.0,0.3449999988079071,0.3349999785423279
cross,cross-9_1,seed-1,240.0,0.5099999904632568,0.5399999618530273
cross,cross-9_1,seed-2,240.0,0.492499977350235,0.5149999856948853
cross,cross-9_1,seed-3,220.0,0.4350000023841858,0.4724999964237213
cross,cross-9_1,seed-4,60.0,0.13750000298023224,0.14000000059604645
cross,cross-9_1,mean,184.0,0.3840000331401825,0.40049996972084045
cross,cross-9_5,seed-0,240.0,0.5224999785423279,0.550000011920929
cross,cross-9_5,seed-1,240.0,0.5924999713897705,0.5550000071525574
cross,cross-9_5,seed-2,240.0,0.5849999785423279,0.5324999690055847
cross,cross-9_5,seed-3,240.0,0.5899999737739563,0.5724999904632568
cross,cross-9_5,seed-4,240.0,0.5674999952316284,0.5399999618530273
cross,cross-9_5,mean,240.0,0.5715000033378601,0.550000011920929
cross,cross-9_4,seed-0,100.0,0.8199999928474426,0.8125
cross,cross-9_4,seed-1,260.0,0.5475000143051147,0.574999988079071
cross,cross-9_4,seed-2,260.0,0.5274999737739563,0.5724999904632568
cross,cross-9_4,seed-3,160.0,0.7249999642372131,0.7199999690055847
cross,cross-9_4,seed-4,80.0,0.8549999594688416,0.8349999785423279
cross,cross-9_4,mean,172.0,0.6949999928474426,0.703000009059906
cross,cross-9_3,seed-0,240.0,0.5174999833106995,0.6200000047683716
cross,cross-9_3,seed-1,240.0,0.5424999594688416,0.5999999642372131
cross,cross-9_3,seed-2,240.0,0.48249998688697815,0.5525000095367432
cross,cross-9_3,seed-3,240.0,0.5674999952316284,0.5924999713897705
