run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,140.0,0.48749998211860657,0.4624999761581421
cross,cross-8_1,seed-1,80.0,0.28999999165534973,0.26999998092651367
cross,cross-8_1,seed-2,240.0,0.7299999594688416,0.6775000095367432
cross,cross-8_1,seed-3,240.0,0.75,0.75
cross,cross-8_1,seed-4,140.0,0.9099999666213989,0.45249998569488525
cross,cross-8_1,mean,168.0,0.6335000395774841,0.5224999785423279
cross,cross-8_9,seed-0,240.0,0.7824999690055847,0.8374999761581421
cross,cross-8_9,seed-1,260.0,0.8075000047683716,0.8700000047683716
cross,cross-8_9,seed-2,240.0,0.762499988079071,0.7599999904632568
cross,cross-8_9,seed-3,220.0,0.7274999618530273,0.8075000047683716
cross,cross-8_9,seed-4,240.0,0.8075000047683716,0.8449999690055847
cross,cross-8_9,mean,240.0,0.7774999737739563,0.8240000009536743
cross,cross-8_5,seed-0,180.0,0.7299999594688416,0.7249999642372131
cross,cross-8_5,seed-1,40.0,0.949999988079071,0.9524999856948853
cross,cross-8_5,seed-2,160.0,0.637499988079071,0.6324999928474426
cross,cross-8_5,seed-3,180.0,0.5774999856948853,0.5649999976158142
cross,cross-8_5,seed-4,40.0,0.9474999904632568,0.9325000047683716
cross,cross-8_5,mean,120.0,0.768500030040741,0.7615000009536743
cross,cross-8_4,seed-0,280.0,0.8149999976158142,0.8324999809265137
cross,cross-8_4,seed-1,280.0,0.8025000095367432,0.8650000095367432
cross,cross-8_4,seed-2,240.0,0.8999999761581421,0.8524999618530273
cross,cross-8_4,seed-3,280.0,0.8524999618530273,0.8549999594688416
cross,cross-8_4,seed-4,240.0,0.7299999594688416,0.7849999666213989
cross,cross-8_4,mean,264.0,0.8199999928474426,0.8379999995231628
cross,cross-8_3,seed-0,260.0,0.824999988079071,0.7874999642372131
cross,cross-8_3,seed-1,260.0,0.8349999785423279,0.7749999761581421
cross,cross-8_3,seed-2,260.0,0.8199999928474426,0.7674999833106995
cross,cross-8_3,seed-3,240.0,0.8624999523162842,0.8624999523162842
cross,cross-8_3,seed-4,260.0,0.8399999737739563,0.8499999642372131
cross,cross-8_3,mean,256.0,0.8364999890327454,0.8084999918937683
cross,cross-8_0,seed-0,260.0,0.8424999713897705,0.8050000071525574
cross,cross-8_0,seed-1,280.0,0.7999999523162842,0.7649999856948853
cross,cross-8_0,seed-2,240.0,0.9024999737739563,0.875
cross,cross-8_0,seed-3,240.0,0.887499988079071,0.8474999666213989
cross,cross-8_0,seed-4,260.0,0.8149999976158142,0.7475000023841858
cross,cross-8_0,mean,256.0,0.8495000004768372,0.8080000281333923
cross,cross-8_2,seed-0,120.0,0.8849999904632568,0.38499999046325684
cross,cross-8_2,seed-1,260.0,0.8549999594688416,0.8050000071525574
cross,cross-8_2,seed-2,240.0,0.85999995470047,0.8125
cross,cross-8_2,seed-3,260.0,0.8025000095367432,0.8224999904632568
cross,cross-8_2,seed-4,220.0,0.8449999690055847,0.8974999785423279
cross,cross-8_2,mean,220.0,0.8495000004768372,0.7445000410079956
cross,cross-8_6,seed-0,140.0,0.8650000095367432,0.8799999952316284
cross,cross-8_6,seed-1,240.0,0.8799999952316284,0.7824999690055847
cross,cross-8_6,seed-2,280.0,0.8675000071525574,0.7425000071525574
cross,cross-8_6,seed-3,260.0,0.8824999928474426,0.7699999809265137
cross,cross-8_6,seed-4,280.0,0.8549999594688416,0.675000011920929
cross,cross-8_6,mean,240.0,0.8700000047683716,0.7699999809265137
cross,cross-8_7,seed-0,160.0,0.8050000071525574,0.7799999713897705
cross,cross-8_7,seed-1,220.0,0.7249999642372131,0.6775000095367432
cross,cross-8_7,seed-2,180.0,0.6899999976158142,0.7649999856948853
cross,cross-8_7,seed-3,160.0,0.6850000023841858,0.6574999690055847
cross,cross-8_7,seed-4,200.0,0.6725000143051147,0.6499999761581421
cross,cross-8_7,mean,184.0,0.715499997138977,0.7059999704360962
cross,cross-1_8,seed-0,100.0,0.8125,0.35749998688697815
cross,cross-1_8,seed-1,240.0,0.7475000023841858,0.8399999737739563
cross,cross-1_8,seed-2,240.0,0.7024999856948853,0.7199999690055847
cross,cross-1_8,seed-3,80.0,0.9199999570846558,0.3024999797344208
cross,cross-1_8,seed-4,140.0,0.44749999046325684,0.9099999666213989
cross,cross-1_8,mean,160.0,0.7260000109672546,0.6260000467300415
cross,cross-1_9,seed-0,180.0,0.5699999928474426,0.5724999904632568
cross,cross-1_9,seed-1,60.0,0.23999999463558197,0.22499999403953552
cross,cross-1_9,seed-2,60.0,0.20999999344348907,0.22749999165534973
cross,cross-1_9,seed-3,100.0,0.32499998807907104,0.2849999964237213
cross,cross-1_9,seed-4,80.0,0.35999998450279236,0.3024999797344208
cross,cross-1_9,mean,96.0,0.3410000205039978,0.32249999046325684
cross,cross-1_5,seed-0,60.0,0.29249998927116394,0.9174999594688416
cross,cross-1_5,seed-1,240.0,0.7649999856948853,0.6924999952316284
cross,cross-1_5,seed-2,240.0,0.7400000095367432,0.6850000023841858
cross,cross-1_5,seed-3,140.0,0.8624999523162842,0.8675000071525574
cross,cross-1_5,seed-4,180.0,0.5999999642372131,0.8149999976158142
cross,cross-1_5,mean,172.0,0.6519999504089355,0.7954999804496765
cross,cross-1_4,seed-0,240.0,0.6850000023841858,0.9124999642372131
cross,cross-1_4,seed-1,40.0,0.17999999225139618,0.19249999523162842
cross,cross-1_4,seed-2,180.0,0.5450000166893005,0.8949999809265137
cross,cross-1_4,seed-3,40.0,0.17999999225139618,0.19249999523162842
cross,cross-1_4,seed-4,240.0,0.7049999833106995,0.8374999761581421
cross,cross-1_4,mean,148.0,0.45900002121925354,0.6060000658035278
cross,cross-1_3,seed-0,160.0,0.550000011920929,0.6299999952316284
cross,cross-1_3,seed-1,120.0,0.4274999797344208,0.9249999523162842
cross,cross-1_3,seed-2,60.0,0.2524999976158142,0.9300000071525574
cross,cross-1_3,seed-3,80.0,0.29999998211860657,0.949999988079071
cross,cross-1_3,seed-4,260.0,0.7124999761581421,0.8299999833106995
cross,cross-1_3,mean,136.0,0.44849997758865356,0.8529999852180481
