run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,180.0,0.5525000095367432,0.6574999690055847
cross,cross-8_1,seed-1,180.0,0.5575000047683716,0.6574999690055847
cross,cross-8_1,seed-2,180.0,0.5399999618530273,0.6624999642372131
cross,cross-8_1,seed-3,180.0,0.5649999976158142,0.6549999713897705
cross,cross-8_1,seed-4,180.0,0.5625,0.6524999737739563
cross,cross-8_1,mean,180.0,0.5554999709129333,0.6570000052452087
cross,cross-8_9,seed-0,100.0,0.3050000071525574,0.3725000023841858
cross,cross-8_9,seed-1,180.0,0.492499977350235,0.6175000071525574
cross,cross-8_9,seed-2,180.0,0.512499988079071,0.6100000143051147
cross,cross-8_9,seed-3,180.0,0.44999998807907104,0.5899999737739563
cross,cross-8_9,seed-4,180.0,0.492499977350235,0.5924999713897705
cross,cross-8_9,mean,164.0,0.4505000114440918,0.5565000176429749
cross,cross-8_5,seed-0,180.0,0.4449999928474426,0.6850000023841858
cross,cross-8_5,seed-1,180.0,0.45249998569488525,0.6725000143051147
cross,cross-8_5,seed-2,160.0,0.4274999797344208,0.6574999690055847
cross,cross-8_5,seed-3,180.0,0.42249998450279236,0.6649999618530273
cross,cross-8_5,seed-4,180.0,0.4449999928474426,0.6924999952316284
cross,cross-8_5,mean,176.0,0.43849998712539673,0.6744999885559082
cross,cross-8_4,seed-0,0.0,0.9325000047683716,0.042500000447034836
cross,cross-8_4,seed-1,0.0,0.044999998062849045,0.03999999910593033
cross,cross-8_4,seed-2,0.0,0.9049999713897705,0.03999999910593033
cross,cross-8_4,seed-3,0.0,0.9325000047683716,0.04999999701976776
cross,cross-8_4,seed-4,0.0,0.044999998062849045,0.03749999776482582
cross,cross-8_4,mean,0.0,0.5720000267028809,0.041999995708465576
cross,cross-8_3,seed-0,0.0,0.8924999833106995,0.04999999701976776
cross,cross-8_3,seed-1,0.0,0.9149999618530273,0.03999999910593033
cross,cross-8_3,seed-2,0.0,0.5899999737739563,0.05249999836087227
cross,cross-8_3,seed-3,0.0,0.92249995470047,0.042500000447034836
cross,cross-8_3,seed-4,0.0,0.9174999594688416,0.044999998062849045
cross,cross-8_3,mean,0.0,0.8474999666213989,0.04600000008940697
cross,cross-8_0,seed-0,180.0,0.39499998092651367,0.6725000143051147
cross,cross-8_0,seed-1,180.0,0.4124999940395355,0.6924999952316284
cross,cross-8_0,seed-2,180.0,0.36249998211860657,0.6699999570846558
cross,cross-8_0,seed-3,180.0,0.35499998927116394,0.675000011920929
cross,cross-8_0,seed-4,180.0,0.36249998211860657,0.6574999690055847
cross,cross-8_0,mean,180.0,0.3774999976158142,0.6735000014305115
cross,cross-8_2,seed-0,0.0,0.14499999582767487,0.06749999523162842
cross,cross-8_2,seed-1,140.0,0.3125,0.5575000047683716
cross,cross-8_2,seed-2,40.0,0.17499999701976776,0.20250000059604645
cross,cross-8_2,seed-3,160.0,0.3075000047683716,0.6100000143051147
cross,cross-8_2,seed-4,20.0,0.1550000011920929,0.1525000035762787
cross,cross-8_2,mean,72.0,0.21900001168251038,0.31800001859664917
cross,cross-8_6,seed-0,180.0,0.4074999988079071,0.6175000071525574
cross,cross-8_6,seed-1,180.0,0.4099999964237213,0.6549999713897705
cross,cross-8_6,seed-2,180.0,0.4424999952316284,0.6725000143051147
cross,cross-8_6,seed-3,180.0,0.4624999761581421,0.675000011920929
cross,cross-8_6,seed-4,180.0,0.41749998927116394,0.6200000047683716
cross,cross-8_6,mean,180.0,0.42799997329711914,0.6480000615119934
cross,cross-8_7,seed-0,20.0,0.2800000011920929,0.3024999797344208
cross,cross-8_7,seed-1,20.0,0.1824999898672104,0.2149999886751175
cross,cross-8_7,seed-2,40.0,0.17000000178813934,0.2175000011920929
cross,cross-8_7,seed-3,40.0,0.17499999701976776,0.22499999403953552
cross,cross-8_7,seed-4,40.0,0.22999998927116394,0.4675000011920929
cross,cross-8_7,mean,32.0,0.20750001072883606,0.28550001978874207
cross,cross-1_8,seed-0,180.0,0.5149999856948853,0.6399999856948853
cross,cross-1_8,seed-1,160.0,0.5475000143051147,0.5974999666213989
cross,cross-1_8,seed-2,180.0,0.5399999618530273,0.612500011920929
cross,cross-1_8,seed-3,160.0,0.5149999856948853,0.5724999904632568
cross,cross-1_8,seed-4,160.0,0.4899999797344208,0.5899999737739563
cross,cross-1_8,mean,168.0,0.5214999914169312,0.6024999618530273
cross,cross-1_9,seed-0,200.0,0.5074999928474426,0.6299999952316284
cross,cross-1_9,seed-1,180.0,0.4975000023841858,0.6424999833106995
cross,cross-1_9,seed-2,180.0,0.48499998450279236,0.6474999785423279
cross,cross-1_9,seed-3,180.0,0.4975000023841858,0.6599999666213989
cross,cross-1_9,seed-4,180.0,0.5024999976158142,0.6549999713897705
cross,cross-1_9,mean,184.0,0.49799999594688416,0.6470000147819519
cross,cross-1_5,seed-0,180.0,0.4724999964237213,0.6649999618530273
cross,cross-1_5,seed-1,180.0,0.4949999749660492,0.6574999690055847
