run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,100.0,0.3024999797344208,0.47749999165534973
cross,cross-8_1,seed-1,100.0,0.3449999988079071,0.3075000047683716
cross,cross-8_1,seed-2,100.0,0.3974999785423279,0.3050000071525574
cross,cross-8_1,seed-3,80.0,0.35249999165534973,0.3075000047683716
cross,cross-8_1,seed-4,80.0,0.26499998569488525,0.25999999046325684
cross,cross-8_1,mean,92.0,0.33249998092651367,0.33149999380111694
cross,cross-8_9,seed-0,120.0,0.6049999594688416,0.5199999809265137
cross,cross-8_9,seed-1,20.0,0.14999999105930328,0.7799999713897705
cross,cross-8_9,seed-2,20.0,0.17499999701976776,0.8424999713897705
cross,cross-8_9,seed-3,20.0,0.14499999582767487,0.8125
cross,cross-8_9,seed-4,20.0,0.45499998331069946,0.8349999785423279
cross,cross-8_9,mean,40.0,0.3059999942779541,0.7580000162124634
cross,cross-8_5,seed-0,0.0,0.9749999642372131,0.08999999612569809
cross,cross-8_5,seed-1,20.0,0.9424999952316284,0.16749998927116394
cross,cross-8_5,seed-2,20.0,0.9449999928474426,0.17499999701976776
cross,cross-8_5,seed-3,20.0,0.9549999833106995,0.17000000178813934
cross,cross-8_5,seed-4,140.0,0.6449999809265137,0.6674999594688416
cross,cross-8_5,mean,40.0,0.8924999237060547,0.2540000081062317
cross,cross-8_4,seed-0,100.0,0.4050000011920929,0.3375000059604645
cross,cross-8_4,seed-1,20.0,0.17249999940395355,0.14749999344348907
cross,cross-8_4,seed-2,60.0,0.29999998211860657,0.3375000059604645
cross,cross-8_4,seed-3,100.0,0.4675000011920929,0.375
cross,cross-8_4,seed-4,140.0,0.4449999928474426,0.48749998211860657
cross,cross-8_4,mean,84.0,0.3580000102519989,0.3369999825954437
cross,cross-8_3,seed-0,60.0,0.35749998688697815,0.4350000023841858
cross,cross-8_3,seed-1,100.0,0.3449999988079071,0.3174999952316284
cross,cross-8_3,seed-2,80.0,0.3050000071525574,0.2775000035762787
cross,cross-8_3,seed-3,40.0,0.1525000035762787,0.20999999344348907
cross,cross-8_3,seed-4,60.0,0.3050000071525574,0.38499999046325684
cross,cross-8_3,mean,68.0,0.2929999828338623,0.32500001788139343
cross,cross-8_0,seed-0,160.0,0.7599999904632568,0.6800000071525574
cross,cross-8_0,seed-1,160.0,0.7824999690055847,0.6674999594688416
cross,cross-8_0,seed-2,60.0,0.8924999833106995,0.8624999523162842
cross,cross-8_0,seed-3,160.0,0.762499988079071,0.6674999594688416
cross,cross-8_0,seed-4,160.0,0.7649999856948853,0.699999988079071
cross,cross-8_0,mean,140.0,0.7925000190734863,0.7155000567436218
cross,cross-8_2,seed-0,40.0,0.2149999886751175,0.19749999046325684
cross,cross-8_2,seed-1,100.0,0.3125,0.3824999928474426
cross,cross-8_2,seed-2,40.0,0.17999999225139618,0.2775000035762787
cross,cross-8_2,seed-3,80.0,0.23250000178813934,0.3449999988079071
cross,cross-8_2,seed-4,60.0,0.23749999701976776,0.29249998927116394
cross,cross-8_2,mean,64.0,0.2355000078678131,0.29899999499320984
cross,cross-8_6,seed-0,140.0,0.3999999761581421,0.4375
cross,cross-8_6,seed-1,40.0,0.17499999701976776,0.27250000834465027
cross,cross-8_6,seed-2,20.0,0.39499998092651367,0.574999988079071
cross,cross-8_6,seed-3,20.0,0.2549999952316284,0.0949999988079071
cross,cross-8_6,seed-4,20.0,0.492499977350235,0.3649999797344208
cross,cross-8_6,mean,48.0,0.3434999883174896,0.3490000367164612
cross,cross-8_7,seed-0,120.0,0.73499995470047,0.7949999570846558
cross,cross-8_7,seed-1,120.0,0.7249999642372131,0.7799999713897705
cross,cross-8_7,seed-2,20.0,0.8899999856948853,0.14249999821186066
cross,cross-8_7,seed-3,20.0,0.8999999761581421,0.14999999105930328
cross,cross-8_7,seed-4,140.0,0.6725000143051147,0.7174999713897705
cross,cross-8_7,mean,84.0,0.7845000624656677,0.5170000195503235
cross,cross-1_8,seed-0,80.0,0.5349999666213989,0.26499998569488525
cross,cross-1_8,seed-1,60.0,0.1899999976158142,0.20499999821186066
cross,cross-1_8,seed-2,60.0,0.20999999344348907,0.32749998569488525
cross,cross-1_8,seed-3,40.0,0.19499999284744263,0.26999998092651367
cross,cross-1_8,seed-4,0.0,0.3024999797344208,0.2199999988079071
cross,cross-1_8,mean,48.0,0.2864999771118164,0.2574999928474426
cross,cross-1_9,seed-0,140.0,0.5824999809265137,0.5249999761581421
cross,cross-1_9,seed-1,120.0,0.5874999761581421,0.5525000095367432
cross,cross-1_9,seed-2,40.0,0.2224999964237213,0.23499999940395355
cross,cross-1_9,seed-3,120.0,0.5699999928474426,0.574999988079071
cross,cross-1_9,seed-4,120.0,0.574999988079071,0.5924999713897705
cross,cross-1_9,mean,108.0,0.5074999928474426,0.4960000216960907
cross,cross-1_5,seed-0,20.0,0.19999998807907104,0.20250000059604645
cross,cross-1_5,seed-1,40.0,0.2175000011920929,0.8149999976158142
cross,cross-1_5,seed-2,20.0,0.10999999940395355,0.8949999809265137
cross,cross-1_5,seed-3,20.0,0.20999999344348907,0.19249999523162842
cross,cross-1_5,seed-4,100.0,0.4975000023841858,0.4099999964237213
cross,cross-1_5,mean,40.0,0.24699997901916504,0.503000020980835
cross,cross-1_4,seed-0,80.0,0.7524999976158142,0.3824999928474426
cross,cross-1_4,seed-1,120.0,0.5774999856948853,0.5724999904632568
cross,cross-1_4,seed-2,140.0,0.6175000071525574,0.5824999809265137
cross,cross-1_4,seed-3,120.0,0.4274999797344208,0.41999998688697815
cross,cross-1_4,seed-4,80.0,0.39499998092651367,0.3774999976158142
cross,cross-1_4,mean,108.0,0.5540000200271606,0.46699997782707214
cross,cross-1_3,seed-0,140.0,0.5949999690055847,0.5724999904632568
cross,cross-1_3,seed-1,120.0,0.492499977350235,0.5274999737739563
cross,cross-1_3,seed-2,140.0,0.6024999618530273,0.5999999642372131
cross,cross-1_3,seed-3,140.0,0.6225000023841858,0.5525000095367432
cross,cross-1_3,seed-4,140.0,0.6349999904632568,0.550000011920929
cross,cross-1_3,mean,136.0,0.5895000100135803,0.5604999661445618
cross,cross-1_0,seed-0,0.0,0.05999999865889549,0.21249999105930328
cross,cross-1_0,seed-1,80.0,0.22499999403953552,0.2824999988079071
cross,cross-1_0,seed-2,120.0,0.35999998450279236,0.36249998211860657
cross,cross-1_0,seed-3,80.0,0.27250000834465027,0.3100000023841858
cross,cross-1_0,seed-4,0.0,0.05999999865889549,0.2149999886751175
cross,cross-1_0,mean,56.0,0.19550000131130219,0.27650001645088196
cross,cross-1_2,seed-0,120.0,0.6924999952316284,0.6899999976158142
cross,cross-1_2,seed-1,140.0,0.6524999737739563,0.5874999761581421
cross,cross-1_2,seed-2,140.0,0.6424999833106995,0.6225000023841858
cross,cross-1_2,seed-3,140.0,0.5774999856948853,0.6024999618530273
cross,cross-1_2,seed-4,140.0,0.6175000071525574,0.5724999904632568
cross,cross-1_2,mean,136.0,0.6365000605583191,0.6149999499320984
cross,cross-1_6,seed-0,140.0,0.6150000095367432,0.6299999952316284
cross,cross-1_6,seed-1,80.0,0.7699999809265137,0.762499988079071
cross,cross-1_6,seed-2,80.0,0.73499995470047,0.5
cross,cross-1_6,seed-3,40.0,0.23999999463558197,0.2224999964237213
cross,cross-1_6,seed-4,140.0,0.5874999761581421,0.6424999833106995
cross,cross-1_6,mean,96.0,0.5894999504089355,0.5515000224113464
cross,cross-1_7,seed-0,0.0,0.19999998807907104,0.14999999105930328
cross,cross-1_7,seed-1,80.0,0.2874999940395355,0.23250000178813934
cross,cross-1_7,seed-2,0.0,0.26499998569488525,0.39249998331069946
cross,cross-1_7,seed-3,100.0,0.4099999964237213,0.3649999797344208
cross,cross-1_7,seed-4,40.0,0.3799999952316284,0.38749998807907104
cross,cross-1_7,mean,44.0,0.3084999918937683,0.30550000071525574
cross,cross-9_8,seed-0,20.0,0.32249999046325684,0.45249998569488525
cross,cross-9_8,seed-1,20.0,0.11999999731779099,0.19499999284744263
cross,cross-9_8,seed-2,40.0,0.1824999898672104,0.7674999833106995
cross,cross-9_8,seed-3,100.0,0.3075000047683716,0.3725000023841858
cross,cross-9_8,seed-4,20.0,0.1574999988079071,0.29499998688697815
cross,cross-9_8,mean,40.0,0.21800000965595245,0.4165000021457672
cross,cross-9_1,seed-0,140.0,0.5174999833106995,0.625
cross,cross-9_1,seed-1,120.0,0.5550000071525574,0.5649999976158142
cross,cross-9_1,seed-2,120.0,0.512499988079071,0.5999999642372131
cross,cross-9_1,seed-3,140.0,0.5649999976158142,0.5849999785423279
cross,cross-9_1,seed-4,120.0,0.492499977350235,0.5049999952316284
cross,cross-9_1,mean,128.0,0.5285000205039978,0.5760000348091125
cross,cross-9_5,seed-0,60.0,0.3725000023841858,0.4399999976158142
cross,cross-9_5,seed-1,60.0,0.23499999940395355,0.3199999928474426
cross,cross-9_5,seed-2,100.0,0.4424999952316284,0.5525000095367432
cross,cross-9_5,seed-3,20.0,0.21249999105930328,0.23499999940395355
