run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,440.0,0.73499995470047,0.7699999809265137
cross,cross-8_1,seed-1,440.0,0.6850000023841858,0.79749995470047
cross,cross-8_1,seed-2,420.0,0.7049999833106995,0.7425000071525574
cross,cross-8_1,seed-3,440.0,0.7174999713897705,0.7949999570846558
cross,cross-8_1,seed-4,420.0,0.6974999904632568,0.7874999642372131
cross,cross-8_1,mean,432.0,0.7080000042915344,0.7785000205039978
cross,cross-8_9,seed-0,280.0,0.5099999904632568,0.2824999988079071
cross,cross-8_9,seed-1,280.0,0.5074999928474426,0.3449999988079071
cross,cross-8_9,seed-2,220.0,0.5099999904632568,0.3774999976158142
cross,cross-8_9,seed-3,300.0,0.5049999952316284,0.3449999988079071
cross,cross-8_9,seed-4,280.0,0.48499998450279236,0.28999999165534973
cross,cross-8_9,mean,272.0,0.5034999251365662,0.328000009059906
cross,cross-8_5,seed-0,400.0,0.5525000095367432,0.8224999904632568
cross,cross-8_5,seed-1,60.0,0.14749999344348907,0.3725000023841858
cross,cross-8_5,seed-2,60.0,0.14249999821186066,0.22499999403953552
cross,cross-8_5,seed-3,60.0,0.14000000059604645,0.41499999165534973
cross,cross-8_5,seed-4,60.0,0.1525000035762787,0.2224999964237213
cross,cross-8_5,mean,128.0,0.22699999809265137,0.4114999771118164
cross,cross-8_4,seed-0,440.0,0.8199999928474426,0.7574999928474426
cross,cross-8_4,seed-1,440.0,0.875,0.6899999976158142
cross,cross-8_4,seed-2,420.0,0.7724999785423279,0.7774999737739563
cross,cross-8_4,seed-3,440.0,0.8399999737739563,0.7274999618530273
cross,cross-8_4,seed-4,440.0,0.8574999570846558,0.7099999785423279
cross,cross-8_4,mean,436.0,0.8330000042915344,0.7325000166893005
cross,cross-8_3,seed-0,440.0,0.8725000023841858,0.6974999904632568
cross,cross-8_3,seed-1,440.0,0.7674999833106995,0.6674999594688416
cross,cross-8_3,seed-2,440.0,0.8774999976158142,0.7874999642372131
cross,cross-8_3,seed-3,440.0,0.8125,0.6725000143051147
cross,cross-8_3,seed-4,440.0,0.8100000023841858,0.7099999785423279
cross,cross-8_3,mean,440.0,0.828000009059906,0.7069999575614929
cross,cross-8_0,seed-0,400.0,0.625,0.7674999833106995
cross,cross-8_0,seed-1,440.0,0.6499999761581421,0.7849999666213989
cross,cross-8_0,seed-2,380.0,0.5924999713897705,0.7099999785423279
cross,cross-8_0,seed-3,400.0,0.6349999904632568,0.8125
cross,cross-8_0,seed-4,380.0,0.6024999618530273,0.7249999642372131
cross,cross-8_0,mean,400.0,0.6209999918937683,0.7599999904632568
cross,cross-8_2,seed-0,400.0,0.6024999618530273,0.8349999785423279
cross,cross-8_2,seed-1,400.0,0.6225000023841858,0.7999999523162842
cross,cross-8_2,seed-2,420.0,0.6725000143051147,0.8075000047683716
cross,cross-8_2,seed-3,480.0,0.7124999761581421,0.8449999690055847
cross,cross-8_2,seed-4,440.0,0.6524999737739563,0.8524999618530273
cross,cross-8_2,mean,428.0,0.6524999737739563,0.8280000686645508
cross,cross-8_6,seed-0,460.0,0.6649999618530273,0.7249999642372131
cross,cross-8_6,seed-1,440.0,0.7024999856948853,0.7425000071525574
cross,cross-8_6,seed-2,440.0,0.6949999928474426,0.7599999904632568
cross,cross-8_6,seed-3,460.0,0.6875,0.8174999952316284
cross,cross-8_6,seed-4,460.0,0.7074999809265137,0.7599999904632568
cross,cross-8_6,mean,452.0,0.6915000081062317,0.7610000371932983
cross,cross-8_7,seed-0,400.0,0.6974999904632568,0.6875
cross,cross-8_7,seed-1,400.0,0.6800000071525574,0.7024999856948853
cross,cross-8_7,seed-2,420.0,0.7199999690055847,0.7425000071525574
cross,cross-8_7,seed-3,380.0,0.6825000047683716,0.6949999928474426
cross,cross-8_7,seed-4,400.0,0.675000011920929,0.6850000023841858
cross,cross-8_7,mean,400.0,0.6910000443458557,0.7024999856948853
cross,cross-1_8,seed-0,420.0,0.6599999666213989,0.7249999642372131
cross,cross-1_8,seed-1,420.0,0.6074999570846558,0.7049999833106995
cross,cross-1_8,seed-2,440.0,0.6424999833106995,0.6474999785423279
cross,cross-1_8,seed-3,400.0,0.6175000071525574,0.6549999713897705
cross,cross-1_8,seed-4,420.0,0.6524999737739563,0.7299999594688416
cross,cross-1_8,mean,420.0,0.6359999775886536,0.6924999952316284
cross,cross-1_9,seed-0,300.0,0.38499999046325684,0.3725000023841858
cross,cross-1_9,seed-1,280.0,0.39249998331069946,0.35999998450279236
cross,cross-1_9,seed-2,260.0,0.3425000011920929,0.3700000047683716
cross,cross-1_9,seed-3,180.0,0.2874999940395355,0.2149999886751175
cross,cross-1_9,seed-4,220.0,0.3425000011920929,0.13249999284744263
cross,cross-1_9,mean,248.0,0.3499999940395355,0.2900000214576721
cross,cross-1_5,seed-0,400.0,0.5924999713897705,0.8399999737739563
cross,cross-1_5,seed-1,400.0,0.6024999618530273,0.8474999666213989
cross,cross-1_5,seed-2,380.0,0.6100000143051147,0.7549999952316284
cross,cross-1_5,seed-3,400.0,0.6449999809265137,0.8574999570846558
cross,cross-1_5,seed-4,400.0,0.637499988079071,0.8299999833106995
cross,cross-1_5,mean,396.0,0.6175000071525574,0.8260000348091125
cross,cross-1_4,seed-0,400.0,0.5824999809265137,0.6049999594688416
cross,cross-1_4,seed-1,420.0,0.574999988079071,0.6449999809265137
cross,cross-1_4,seed-2,380.0,0.5575000047683716,0.5724999904632568
cross,cross-1_4,seed-3,400.0,0.5724999904632568,0.6150000095367432
cross,cross-1_4,seed-4,400.0,0.574999988079071,0.612500011920929
cross,cross-1_4,mean,400.0,0.5724999904632568,0.6100000143051147
cross,cross-1_3,seed-0,420.0,0.6274999976158142,0.6399999856948853
cross,cross-1_3,seed-1,400.0,0.6175000071525574,0.6574999690055847
cross,cross-1_3,seed-2,400.0,0.6100000143051147,0.5799999833106995
cross,cross-1_3,seed-3,400.0,0.6024999618530273,0.625
cross,cross-1_3,seed-4,420.0,0.6150000095367432,0.6399999856948853
cross,cross-1_3,mean,408.0,0.6144999861717224,0.6284999847412109
cross,cross-1_0,seed-0,420.0,0.5399999618530273,0.8624999523162842
cross,cross-1_0,seed-1,420.0,0.5424999594688416,0.8499999642372131
cross,cross-1_0,seed-2,420.0,0.5349999666213989,0.8624999523162842
cross,cross-1_0,seed-3,420.0,0.5475000143051147,0.8424999713897705
cross,cross-1_0,seed-4,400.0,0.5274999737739563,0.8624999523162842
cross,cross-1_0,mean,416.0,0.5385000109672546,0.8559999465942383
cross,cross-1_2,seed-0,420.0,0.5600000023841858,0.8849999904632568
cross,cross-1_2,seed-1,420.0,0.512499988079071,0.9049999713897705
