run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,340.0,0.0,0.0
cross,cross-8_1,seed-1,340.0,0.0,0.0
cross,cross-8_1,seed-2,300.0,0.0,0.0
cross,cross-8_1,seed-3,240.0,0.0,0.0
cross,cross-8_1,seed-4,320.0,0.0,0.0
cross,cross-8_1,mean,308.0,0.0,0.0
cross,cross-8_9,seed-0,300.0,0.0,0.0
cross,cross-8_9,seed-1,300.0,0.0,0.0
cross,cross-8_9,seed-2,320.0,0.0,0.0
cross,cross-8_9,seed-3,320.0,0.0,0.0
cross,cross-8_9,seed-4,320.0,0.0,0.0
cross,cross-8_9,mean,312.0,0.0,0.0
cross,cross-8_5,seed-0,300.0,0.0,0.0
cross,cross-8_5,seed-1,280.0,0.0,0.0
cross,cross-8_5,seed-2,300.0,0.0,0.0
cross,cross-8_5,seed-3,260.0,0.0,0.0
cross,cross-8_5,seed-4,280.0,0.0,0.0
cross,cross-8_5,mean,284.0,0.0,0.0
cross,cross-8_4,seed-0,320.0,0.0,0.0
cross,cross-8_4,seed-1,340.0,0.0,0.0
cross,cross-8_4,seed-2,320.0,0.0,0.0
cross,cross-8_4,seed-3,320.0,0.0,0.0
cross,cross-8_4,seed-4,340.0,0.0,0.0
cross,cross-8_4,mean,328.0,0.0,0.0
cross,cross-8_3,seed-0,340.0,0.0,0.0
cross,cross-8_3,seed-1,340.0,0.0,0.0
cross,cross-8_3,seed-2,320.0,0.0,0.0
cross,cross-8_3,seed-3,340.0,0.0,0.0
cross,cross-8_3,seed-4,320.0,0.0,0.0
cross,cross-8_3,mean,332.0,0.0,0.0
cross,cross-8_0,seed-0,280.0,0.0,0.0
cross,cross-8_0,seed-1,260.0,0.0,0.0
cross,cross-8_0,seed-2,280.0,0.0,0.0
cross,cross-8_0,seed-3,280.0,0.0,0.0
cross,cross-8_0,seed-4,280.0,0.0,0.0
cross,cross-8_0,mean,276.0,0.0,0.0
cross,cross-8_2,seed-0,340.0,0.0,0.0
cross,cross-8_2,seed-1,340.0,0.0,0.0
cross,cross-8_2,seed-2,300.0,0.0,0.0
cross,cross-8_2,seed-3,340.0,0.0,0.0
cross,cross-8_2,seed-4,340.0,0.0,0.0
cross,cross-8_2,mean,332.0,0.0,0.0
cross,cross-8_6,seed-0,300.0,0.0,0.0
cross,cross-8_6,seed-1,320.0,0.0,0.0
cross,cross-8_6,seed-2,300.0,0.0,0.0
cross,cross-8_6,seed-3,300.0,0.0,0.0
cross,cross-8_6,seed-4,300.0,0.0,0.0
cross,cross-8_6,mean,304.0,0.0,0.0
cross,cross-8_7,seed-0,300.0,0.0,0.0
cross,cross-8_7,seed-1,300.0,0.0,0.0
cross,cross-8_7,seed-2,260.0,0.0,0.0
cross,cross-8_7,seed-3,300.0,0.0,0.0
cross,cross-8_7,seed-4,280.0,0.0,0.0
cross,cross-8_7,mean,288.0,0.0,0.0
cross,cross-1_8,seed-0,300.0,0.0,0.0
cross,cross-1_8,seed-1,320.0,0.0,0.0
cross,cross-1_8,seed-2,320.0,0.0,0.0
cross,cross-1_8,seed-3,320.0,0.0,0.0
cross,cross-1_8,seed-4,340.0,0.0,0.0
cross,cross-1_8,mean,320.0,0.0,0.0
cross,cross-1_9,seed-0,300.0,0.0,0.0
cross,cross-1_9,seed-1,320.0,0.0,0.0
cross,cross-1_9,seed-2,300.0,0.0,0.0
cross,cross-1_9,seed-3,320.0,0.0,0.0
cross,cross-1_9,seed-4,300.0,0.0,0.0
cross,cross-1_9,mean,308.0,0.0,0.0
cross,cross-1_5,seed-0,320.0,0.0,0.0
cross,cross-1_5,seed-1,320.0,0.0,0.0
cross,cross-1_5,seed-2,300.0,0.0,0.0
cross,cross-1_5,seed-3,320.0,0.0,0.0
cross,cross-1_5,seed-4,320.0,0.0,0.0
cross,cross-1_5,mean,316.0,0.0,0.0
cross,cross-1_4,seed-0,300.0,0.0,0.0
cross,cross-1_4,seed-1,300.0,0.0,0.0
cross,cross-1_4,seed-2,300.0,0.0,0.0
cross,cross-1_4,seed-3,300.0,0.0,0.0
cross,cross-1_4,seed-4,320.0,0.0,0.0
cross,cross-1_4,mean,304.0,0.0,0.0
cross,cross-1_3,seed-0,320.0,0.0,0.0
cross,cross-1_3,seed-1,320.0,0.0,0.0
cross,cross-1_3,seed-2,320.0,0.0,0.0
cross,cross-1_3,seed-3,320.0,0.0,0.0
cross,cross-1_3,seed-4,320.0,0.0,0.0
cross,cross-1_3,mean,320.0,0.0,0.0
cross,cross-1_0,seed-0,260.0,0.0,0.0
cross,cross-1_0,seed-1,260.0,0.0,0.0
cross,cross-1_0,seed-2,260.0,0.0,0.0
cross,cross-1_0,seed-3,280.0,0.0,0.0
cross,cross-1_0,seed-4,260.0,0.0,0.0
cross,cross-1_0,mean,264.0,0.0,0.0
cross,cross-1_2,seed-0,240.0,0.0,0.0
cross,cross-1_2,seed-1,320.0,0.0,0.0
cross,cross-1_2,seed-2,320.0,0.0,0.0
