run,policy_labels,annotation,total_reward,pred_acc_agent_0,pred_acc_agent_1
cross,cross-8_1,seed-0,20.0,0.0,0.0
cross,cross-8_1,seed-1,220.0,0.0,0.0
cross,cross-8_1,seed-2,240.0,0.0,0.0
cross,cross-8_1,seed-3,240.0,0.0,0.0
cross,cross-8_1,seed-4,220.0,0.0,0.0
cross,cross-8_1,mean,188.0,0.0,0.0
cross,cross-8_9,seed-0,240.0,0.0,0.0
cross,cross-8_9,seed-1,240.0,0.0,0.0
cross,cross-8_9,seed-2,240.0,0.0,0.0
cross,cross-8_9,seed-3,240.0,0.0,0.0
cross,cross-8_9,seed-4,260.0,0.0,0.0
cross,cross-8_9,mean,244.0,0.0,0.0
cross,cross-8_5,seed-0,200.0,0.0,0.0
cross,cross-8_5,seed-1,260.0,0.0,0.0
cross,cross-8_5,seed-2,240.0,0.0,0.0
cross,cross-8_5,seed-3,200.0,0.0,0.0
cross,cross-8_5,seed-4,240.0,0.0,0.0
cross,cross-8_5,mean,228.0,0.0,0.0
cross,cross-8_4,seed-0,240.0,0.0,0.0
cross,cross-8_4,seed-1,240.0,0.0,0.0
cross,cross-8_4,seed-2,220.0,0.0,0.0
cross,cross-8_4,seed-3,140.0,0.0,0.0
cross,cross-8_4,seed-4,220.0,0.0,0.0
cross,cross-8_4,mean,212.0,0.0,0.0
cross,cross-8_3,seed-0,260.0,0.0,0.0
cross,cross-8_3,seed-1,280.0,0.0,0.0
cross,cross-8_3,seed-2,260.0,0.0,0.0
cross,cross-8_3,seed-3,260.0,0.0,0.0
cross,cross-8_3,seed-4,260.0,0.0,0.0
cross,cross-8_3,mean,264.0,0.0,0.0
cross,cross-8_0,seed-0,180.0,0.0,0.0
cross,cross-8_0,seed-1,240.0,0.0,0.0
cross,cross-8_0,seed-2,240.0,0.0,0.0
cross,cross-8_0,seed-3,260.0,0.0,0.0
cross,cross-8_0,seed-4,220.0,0.0,0.0
cross,cross-8_0,mean,228.0,0.0,0.0
cross,cross-8_2,seed-0,240.0,0.0,0.0
cross,cross-8_2,seed-1,260.0,0.0,0.0
cross,cross-8_2,seed-2,240.0,0.0,0.0
cross,cross-8_2,seed-3,240.0,0.0,0.0
cross,cross-8_2,seed-4,260.0,0.0,0.0
cross,cross-8_2,mean,248.0,0.0,0.0
cross,cross-8_6,seed-0,220.0,0.0,0.0
cross,cross-8_6,seed-1,260.0,0.0,0.0
cross,cross-8_6,seed-2,200.0,0.0,0.0
cross,cross-8_6,seed-3,240.0,0.0,0.0
cross,cross-8_6,seed-4,260.0,0.0,0.0
cross,cross-8_6,mean,236.0,0.0,0.0
cross,cross-8_7,seed-0,240.0,0.0,0.0
cross,cross-8_7,seed-1,240.0,0.0,0.0
cross,cross-8_7,seed-2,240.0,0.0,0.0
cross,cross-8_7,seed-3,200.0,0.0,0.0
cross,cross-8_7,seed-4,220.0,0.0,0.0
cross,cross-8_7,mean,228.0,0.0,0.0
cross,cross-1_8,seed-0,240.0,0.0,0.0
cross,cross-1_8,seed-1,240.0,0.0,0.0
cross,cross-1_8,seed-2,240.0,0.0,0.0
cross,cross-1_8,seed-3,260.0,0.0,0.0
cross,cross-1_8,seed-4,260.0,0.0,0.0
cross,cross-1_8,mean,248.0,0.0,0.0
cross,cross-1_9,seed-0,160.0,0.0,0.0
cross,cross-1_9,seed-1,160.0,0.0,0.0
cross,cross-1_9,seed-2,140.0,0.0,0.0
cross,cross-1_9,seed-3,160.0,0.0,0.0
cross,cross-1_9,seed-4,160.0,0.0,0.0
cross,cross-1_9,mean,156.0,0.0,0.0
cross,cross-1_5,seed-0,180.0,0.0,0.0
cross,cross-1_5,seed-1,140.0,0.0,0.0
cross,cross-1_5,seed-2,100.0,0.0,0.0
cross,cross-1_5,seed-3,120.0,0.0,0.0
cross,cross-1_5,seed-4,200.0,0.0,0.0
cross,cross-1_5,mean,148.0,0.0,0.0
cross,cross-1_4,seed-0,200.0,0.0,0.0
cross,cross-1_4,seed-1,220.0,0.0,0.0
cross,cross-1_4,seed-2,220.0,0.0,0.0
cross,cross-1_4,seed-3,200.0,0.0,0.0
cross,cross-1_4,seed-4,200.0,0.0,0.0
cross,cross-1_4,mean,208.0,0.0,0.0
cross,cross-1_3,seed-0,240.0,0.0,0.0
cross,cross-1_3,seed-1,200.0,0.0,0.0
cross,cross-1_3,seed-2,240.0,0.0,0.0
cross,cross-1_3,seed-3,260.0,0.0,0.0
cross,cross-1_3,seed-4,240.0,0.0,0.0
cross,cross-1_3,mean,236.0,0.0,0.0
cross,cross-1_0,seed-0,160.0,0.0,0.0
cross,cross-1_0,seed-1,160.0,0.0,0.0
cross,cross-1_0,seed-2,180.0,0.0,0.0
cross,cross-1_0,seed-3,160.0,0.0,0.0
cross,cross-1_0,seed-4,160.0,0.0,0.0
cross,cross-1_0,mean,164.0,0.0,0.0
cross,cross-1_2,seed-0,140.0,0.0,0.0
cross,cross-1_2,seed-1,140.0,0.0,0.0
cross,cross-1_2,seed-2,120.0,0.0,0.0
cross,cross-1_2,seed-3,160.0,0.0,0.0
cross,cross-1_2,seed-4,120.0,0.0,0.0
cross,cross-1_2,mean,136.0,0.0,0.0
cross,cross-1_6,seed-0,100.0,0.0,0.0
cross,cross-1_6,seed-1,160.0,0.0,0.0
cross,cross-1_6,seed-2,60.0,0.0,0.0
cross,cross-1_6,seed-3,180.0,0.0,0.0
cross,cross-1_6,seed-4,160.0,0.0,0.0
cross,cross-1_6,mean,132.0,0.0,0.0
cross,cross-1_7,seed-0,200.0,0.0,0.0
cross,cross-1_7,seed-1,180.0,0.0,0.0
cross,cross-1_7,seed-2,160.0,0.0,0.0
cross,cross-1_7,seed-3,180.0,0.0,0.0
cross,cross-1_7,seed-4,200.0,0.0,0.0
cross,cross-1_7,mean,184.0,0.0,0.0
cross,cross-9_8,seed-0,240.0,0.0,0.0
cross,cross-9_8,seed-1,220.0,0.0,0.0
cross,cross-9_8,seed-2,200.0,0.0,0.0
cross,cross-9_8,seed-3,240.0,0.0,0.0
cross,cross-9_8,seed-4,260.0,0.0,0.0
cross,cross-9_8,mean,232.0,0.0,0.0
cross,cross-9_1,seed-0,160.0,0.0,0.0
cross,cross-9_1,seed-1,140.0,0.0,0.0
cross,cross-9_1,seed-2,140.0,0.0,0.0
cross,cross-9_1,seed-3,160.0,0.0,0.0
cross,cross-9_1,seed-4,180.0,0.0,0.0
cross,cross-9_1,mean,156.0,0.0,0.0
cross,cross-9_5,seed-0,0.0,0.0,0.0
cross,cross-9_5,seed-1,0.0,0.0,0.0
cross,cross-9_5,seed-2,0.0,0.0,0.0
cross,cross-9_5,seed-3,0.0,0.0,0.0
cross,cross-9_5,seed-4,0.0,0.0,0.0
cross,cross-9_5,mean,0.0,0.0,0.0
cross,cross-9_4,seed-0,40.0,0.0,0.0
cross,cross-9_4,seed-1,20.0,0.0,0.0
cross,cross-9_4,seed-2,0.0,0.0,0.0
cross,cross-9_4,seed-3,0.0,0.0,0.0
cross,cross-9_4,seed-4,0.0,0.0,0.0
cross,cross-9_4,mean,12.0,0.0,0.0
cross,cross-9_3,seed-0,220.0,0.0,0.0
cross,cross-9_3,seed-1,240.0,0.0,0.0
cross,cross-9_3,seed-2,220.0,0.0,0.0
cross,cross-9_3,seed-3,240.0,0.0,0.0
cross,cross-9_3,seed-4,240.0,0.0,0.0
cross,cross-9_3,mean,232.0,0.0,0.0
cross,cross-9_0,seed-0,0.0,0.0,0.0
cross,cross-9_0,seed-1,0.0,0.0,0.0
cross,cross-9_0,seed-2,0.0,0.0,0.0
cross,cross-9_0,seed-3,0.0,0.0,0.0
cross,cross-9_0,seed-4,0.0,0.0,0.0
cross,cross-9_0,mean,0.0,0.0,0.0
cross,cross-9_2,seed-0,0.0,0.0,0.0
cross,cross-9_2,seed-1,0.0,0.0,0.0
cross,cross-9_2,seed-2,0.0,0.0,0.0
cross,cross-9_2,seed-3,0.0,0.0,0.0
cross,cross-9_2,seed-4,0.0,0.0,0.0
cross,cross-9_2,mean,0.0,0.0,0.0
cross,cross-9_6,seed-0,0.0,0.0,0.0
cross,cross-9_6,seed-1,0.0,0.0,0.0
cross,cross-9_6,seed-2,0.0,0.0,0.0
cross,cross-9_6,seed-3,0.0,0.0,0.0
cross,cross-9_6,seed-4,0.0,0.0,0.0
cross,cross-9_6,mean,0.0,0.0,0.0
cross,cross-9_7,seed-0,140.0,0.0,0.0
cross,cross-9_7,seed-1,160.0,0.0,0.0
cross,cross-9_7,seed-2,20.0,0.0,0.0
cross,cross-9_7,seed-3,140.0,0.0,0.0
cross,cross-9_7,seed-4,120.0,0.0,0.0
cross,cross-9_7,mean,116.0,0.0,0.0
cross,cross-5_8,seed-0,240.0,0.0,0.0
cross,cross-5_8,seed-1,260.0,0.0,0.0
cross,cross-5_8,seed-2,240.0,0.0,0.0
cross,cross-5_8,seed-3,200.0,0.0,0.0
cross,cross-5_8,seed-4,240.0,0.0,0.0
cross,cross-5_8,mean,236.0,0.0,0.0
cross,cross-5_1,seed-0,180.0,0.0,0.0
cross,cross-5_1,seed-1,180.0,0.0,0.0
cross,cross-5_1,seed-2,200.0,0.0,0.0
cross,cross-5_1,seed-3,160.0,0.0,0.0
cross,cross-5_1,seed-4,180.0,0.0,0.0
cross,cross-5_1,mean,180.0,0.0,0.0
cross,cross-5_9,seed-0,0.0,0.0,0.0
cross,cross-5_9,seed-1,0.0,0.0,0.0
cross,cross-5_9,seed-2,0.0,0.0,0.0
