run_name,sp-mean,sp-std,xp-mean,xp-std,gap
20260309-071714_1q48zbfd_cramped_room_sp,252,14,219,41,33
20260309-082323_eg53rz4l_asymm_advantages_sp,496,12,485,30,11
20260309-095624_4nj6ahl4_coord_ring_sp,319,35,146,98,173
20260309-110831_n6azalhi_forced_coord_sp,182,19,52,67,130
20260309-121923_1x1bjbc5_counter_circuit_sp,203,41,61,61,142
20260309-142621_genx798o_cramped_room_e3t,242,13,209,61,33
20260309-171541_lomludhr_coord_ring_e3t,216,69,165,85,51
20260309-203511_fjvm0sg0_forced_coord_e3t,176,9,124,71,52
20260309-234546_6wfwbmfv_cramped_room_fcp,225,69,249,15,-24
20260309-235315_a229nt2i_counter_circuit_e3t,137,33,81,48,56
20260310-011253_fao1ejiu_asymm_advantages_fcp,492,12,488,16,4
20260310-025845_beo670p0_coord_ring_fcp,77,117,118,112,-41
20260310-043022_nmirwdsr_forced_coord_fcp,193,11,189,14,4
20260310-060205_y9a60a1c_counter_circuit_fcp,0,0,0,0,0
20260310-094749_cte0jhfz_asymm_advantages_e3t,412,59,380,97,32
20260310-154047_tbd5cv0m_counter_circuit_fcp,176,9,142,31,34
20260310-172204_q190qyvl_cramped_room_fcp,250,13,244,38,6
20260310-185135_xrx5jra3_coord_ring_fcp,331,10,310,23,21
20260310-225635_1vsn752f_counter_circuit_fcp,0,0,0,0,0
20260311-004013_wossriuq_cramped_room_fcp,254,10,247,16,7
20260311-020827_95qrwbbz_asymm_advantages_fcp,494,14,492,17,2
20260311-035402_7cadskb8_coord_ring_fcp,84,109,127,105,-43
20260311-052449_eety1mwv_forced_coord_fcp,187,24,188,17,-1
